otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00017190,0.00017720,0.00017070,0.00017280,687196206.00000000,1609545599999,119728.09487960,1779,336316445.00000000,58711.87254780,0
1609545600000,0.00017370,0.00021620,0.00017160,0.00017880,4493997842.00000000,1609631999999,845054.66065640,7812,2079415117.00000000,392931.02766290,0
1609632000000,0.00017850,0.00018750,0.00017370,0.00018490,3130266586.00000000,1609718399999,560393.48962290,5840,1496789765.00000000,268695.75154400,0
1609718400000,0.00018480,0.00019290,0.00017000,0.00017500,3202775974.00000000,1609804799999,572326.07995900,6253,1460421211.00000000,262276.86067810,0
1609804800000,0.00017500,0.00018270,0.00017150,0.00017930,1909058474.00000000,1609891199999,336540.04787330,4270,927938988.00000000,163973.43588180,0
1609891200000,0.00018010,0.00019150,0.00017400,0.00018360,3157627223.00000000,1609977599999,574823.25737680,6436,1599926950.00000000,292573.51599620,0
1609977600000,0.00018330,0.00020150,0.00018250,0.00019380,4486093433.00000000,1610063999999,865943.96329870,9054,2377711487.00000000,459949.69851500,0
1610064000000,0.00019390,0.00020050,0.00018240,0.00019600,2894620098.00000000,1610150399999,558096.18022880,6203,1483030077.00000000,287358.02434700,0
1610150400000,0.00019590,0.00064030,0.00019450,0.00043030,93090502515.00000000,1610236799999,41016104.03247070,181810,49503369523.00000000,21744402.45882870,0
1610236800000,0.00043020,0.00062370,0.00042140,0.00053360,26638627219.00000000,1610323199999,13669290.51075310,82079,14149243989.00000000,7301777.11151250,0
1610323200000,0.00053360,0.00053810,0.00034790,0.00043180,12318798605.00000000,1610409599999,5118840.38375810,35982,6107525588.00000000,2552622.45999090,0
1610409600000,0.00043060,0.00048810,0.00038900,0.00043410,7170841550.00000000,1610495999999,3090241.17884800,25439,3822648962.00000000,1650949.91353920,0
1610496000000,0.00043410,0.00045170,0.00041120,0.00044690,3308188890.00000000,1610582399999,1435195.04606620,13809,1862214762.00000000,808130.79281400,0
1610582400000,0.00044950,0.00045120,0.00041020,0.00041850,3574542753.00000000,1610668799999,1514761.71272380,11158,1634433570.00000000,694173.12654970,0
1610668800000,0.00042060,0.00042090,0.00035910,0.00040240,4758456818.00000000,1610755199999,1843404.12870320,15745,1934856757.00000000,750340.65587360,0
1610755200000,0.00040160,0.00040450,0.00037670,0.00038060,2438712277.00000000,1610841599999,952472.00009330,8647,1186445215.00000000,463779.14347900,0
1610841600000,0.00037900,0.00039830,0.00036590,0.00038070,2082820195.00000000,1610927999999,790241.94769450,7600,1003642750.00000000,381531.13247230,0
1610928000000,0.00038080,0.00038400,0.00036310,0.00037600,2784265513.00000000,1611014399999,1037116.23234410,8026,1299294335.00000000,484482.59247970,0
1611014400000,0.00037680,0.00039850,0.00036570,0.00038140,3606940392.00000000,1611100799999,1377934.06346770,11400,1805027805.00000000,690940.20373760,0
1611100800000,0.00038130,0.00040000,0.00036420,0.00038050,2148793488.00000000,1611187199999,817237.81884390,8366,1084444075.00000000,413331.21506540,0
1611187200000,0.00038050,0.00038210,0.00031090,0.00031090,2601650733.00000000,1611273599999,891734.76175390,7234,1101476924.00000000,376733.20352310,0
1611273600000,0.00031040,0.00034610,0.00026470,0.00032170,4705796595.00000000,1611359999999,1425824.97761640,11144,2404205835.00000000,727688.66715280,0
1611360000000,0.00032160,0.00040000,0.00031580,0.00036800,7579764101.00000000,1611446399999,2766331.29313570,21099,4044574453.00000000,1479389.22768220,0
1611446400000,0.00036750,0.00057000,0.00035940,0.00047990,26349098919.00000000,1611532799999,12651097.77710460,72563,13585382215.00000000,6528340.73754860,0
1611532800000,0.00047840,0.00055400,0.00042860,0.00044850,8447313648.00000000,1611619199999,4014005.28934530,27414,4082946451.00000000,1954623.67519060,0
1611619200000,0.00045120,0.00049150,0.00042690,0.00046000,4776656086.00000000,1611705599999,2176256.34929570,15990,2367105398.00000000,1084861.97228340,0
1611705600000,0.00045890,0.00046250,0.00038760,0.00040520,2907451765.00000000,1611791999999,1203937.46833770,9919,1194082733.00000000,495815.74044430,0
1611792000000,0.00040660,0.00048840,0.00040110,0.00043680,5764159918.00000000,1611878399999,2517816.62418490,20721,2843992208.00000000,1244055.28427930,0
1611878400000,0.00043770,0.00045510,0.00041000,0.00043380,5672745873.00000000,1611964799999,2451897.35722350,17920,2582310916.00000000,1116536.11963320,0
1611964800000,0.00043580,0.00045500,0.00040590,0.00042310,3880079674.00000000,1612051199999,1638128.93725580,12591,1801348739.00000000,762223.11710690,0
1612051200000,0.00042220,0.00046000,0.00039920,0.00042860,8392147520.00000000,1612137599999,3585473.15894890,25435,4121946006.00000000,1771782.33816380,0
1612137600000,0.00042860,0.00043950,0.00040500,0.00042290,4219654999.00000000,1612223999999,1768878.09364180,16066,2086165858.00000000,876500.36001460,0
1612224000000,0.00042260,0.00044200,0.00041730,0.00043590,3603127531.00000000,1612310399999,1546688.18987190,15060,1850026321.00000000,795122.04273340,0
1612310400000,0.00043590,0.00052670,0.00043020,0.00049600,11103826017.00000000,1612396799999,5270962.68780890,38145,5700447610.00000000,2702180.04507420,0
1612396800000,0.00049600,0.00049990,0.00043740,0.00045610,6678357040.00000000,1612483199999,3086549.25570780,22323,3078317608.00000000,1425198.41078610,0
1612483200000,0.00045600,0.00048380,0.00044280,0.00048230,4388044946.00000000,1612569599999,2044727.14255320,17563,2048842983.00000000,956589.02693970,0
1612569600000,0.00048310,0.00048580,0.00045340,0.00046810,4469714642.00000000,1612655999999,2091546.79773380,16475,2128162343.00000000,997331.13066650,0
1612656000000,0.00046800,0.00055000,0.00046250,0.00053350,13697374874.00000000,1612742399999,7028679.38842050,46446,6943439807.00000000,3571760.52704880,0
1612742400000,0.00053350,0.00076060,0.00048970,0.00066370,21183946274.00000000,1612828799999,13426476.18091520,61826,11288728510.00000000,7175990.06934890,0
1612828800000,0.00066250,0.00135000,0.00065620,0.00103420,82137525819.00000000,1612915199999,81093593.75459000,281238,44060776616.00000000,43435375.45561230,0
1612915200000,0.00103420,0.00103700,0.00081130,0.00089380,21217647222.00000000,1613001599999,18840632.92031590,92641,10305744745.00000000,9166440.88863110,0
1613001600000,0.00089380,0.00108120,0.00088930,0.00097690,16576347920.00000000,1613087999999,15922320.65589100,74578,8261716186.00000000,7927241.29625880,0
1613088000000,0.00097560,0.00108640,0.00097000,0.00106480,10872794109.00000000,1613174399999,11187561.09720980,59032,5480709372.00000000,5649100.14733030,0
1613174400000,0.00106430,0.00107770,0.00090000,0.00103200,8813077616.00000000,1613260799999,9020620.64647990,53955,4258022064.00000000,4363627.96822340,0
1613260800000,0.00103240,0.00103970,0.00093010,0.00096600,5279365143.00000000,1613347199999,5216884.88245670,32002,2593219985.00000000,2569594.35286400,0
1613347200000,0.00096820,0.00103000,0.00081500,0.00094380,7676059401.00000000,1613433599999,7217201.58021190,41315,3866372312.00000000,3646041.59946990,0
1613433600000,0.00094100,0.00099630,0.00090510,0.00096700,4722761047.00000000,1613519999999,4556274.62942270,28186,2277953900.00000000,2198520.91887190,0
1613520000000,0.00096700,0.00134760,0.00091840,0.00112550,29240773990.00000000,1613606399999,34189950.83973720,116648,15918972594.00000000,18657935.13582200,0
1613606400000,0.00112550,0.00129650,0.00108700,0.00121620,12217441193.00000000,1613692799999,14397045.81772010,73759,6348215635.00000000,7490280.60500620,0
1613692800000,0.00121630,0.00174510,0.00119000,0.00138320,23890721990.00000000,1613779199999,34038022.12073690,117780,12971859968.00000000,18520394.52587870,0
1613779200000,0.00137620,0.00207990,0.00133600,0.00180200,40408170655.00000000,1613865599999,71288662.41942160,199739,20909327322.00000000,37100863.19953020,0
1613865600000,0.00180190,0.00296570,0.00166870,0.00242540,61499074522.00000000,1613951999999,145451917.03631330,338240,31742104185.00000000,75203604.04699940,0
1613952000000,0.00242500,0.00340000,0.00210000,0.00307930,50675383231.00000000,1614038399999,142171841.45006040,357239,26302746377.00000000,74133458.75079050,0
1614038400000,0.00307900,0.00315020,0.00185520,0.00257540,34267642893.00000000,1614124799999,85533940.67868530,211757,16774145336.00000000,42016342.44686980,0
1614124800000,0.00256470,0.00280000,0.00232100,0.00248800,16735927625.00000000,1614211199999,42299453.73283960,123460,8612703662.00000000,21697901.91334070,0
1614211200000,0.00248280,0.00253340,0.00217270,0.00219990,9134277866.00000000,1614297599999,21717617.19152780,66229,4717995914.00000000,11233912.88780120,0
1614297600000,0.00219990,0.00240010,0.00195000,0.00218240,10303799197.00000000,1614383999999,22213122.38182600,67874,5300168572.00000000,11444838.86064170,0
1614384000000,0.00218240,0.00226000,0.00202990,0.00206000,6018473675.00000000,1614470399999,12885031.03471610,50200,3122999751.00000000,6690011.51037810,0
1614470400000,0.00206800,0.00209900,0.00165900,0.00184200,10137766010.00000000,1614556799999,18495101.19969060,65900,5049050931.00000000,9195007.58547540,0
1614556800000,0.00184360,0.00211990,0.00179540,0.00207920,11521696874.00000000,1614643199999,22521145.54025600,73842,5725555203.00000000,11210244.45400730,0
1614643200000,0.00207810,0.00219830,0.00185190,0.00202480,8688349978.00000000,1614729599999,17608690.86187590,62606,4577974997.00000000,9279893.24509380,0
1614729600000,0.00202460,0.00211500,0.00198000,0.00210720,5566921059.00000000,1614815999999,11456292.78334110,47430,2941712914.00000000,6056942.00209690,0
1614816000000,0.00209940,0.00213920,0.00190000,0.00197590,5255898420.00000000,1614902399999,10516692.29164960,42164,2732795844.00000000,5468289.13994230,0
1614902400000,0.00197590,0.00198290,0.00182400,0.00194500,4738058518.00000000,1614988799999,9020256.37576680,39766,2382325982.00000000,4537194.73114670,0
1614988800000,0.00194500,0.00210000,0.00190000,0.00202880,6629883001.00000000,1615075199999,13347310.89326010,55600,3490453366.00000000,7032017.45499720,0
1615075200000,0.00202880,0.00208000,0.00199060,0.00204550,4034982542.00000000,1615161599999,8176206.84722680,38049,1939984376.00000000,3932621.03820360,0
1615161600000,0.00204550,0.00207400,0.00194270,0.00200760,6226789358.00000000,1615247999999,12432822.88298320,47680,3229154282.00000000,6450000.56071940,0
1615248000000,0.00200760,0.00260950,0.00198000,0.00226440,17294258268.00000000,1615334399999,38799255.12369440,124755,8722297716.00000000,19598293.41143910,0
1615334400000,0.00226440,0.00265450,0.00222540,0.00239070,17422057910.00000000,1615420799999,42695968.33206010,145152,9152253586.00000000,22439235.67912770,0
1615420800000,0.00239080,0.00239990,0.00220000,0.00235700,8280151965.00000000,1615507199999,18983729.60541560,67628,4202292219.00000000,9636479.07286500,0
1615507200000,0.00235710,0.00237950,0.00212370,0.00221790,7369768035.00000000,1615593599999,16443287.42868930,67138,3712178268.00000000,8275930.13601790,0
1615593600000,0.00221280,0.00415000,0.00219030,0.00344050,71879022368.00000000,1615679999999,237825645.38051990,490568,37778955352.00000000,125132085.80209460,0
1615680000000,0.00344050,0.00448000,0.00311000,0.00375500,43640525839.00000000,1615766399999,168196720.64436620,382951,22431434135.00000000,86634907.71472620,0
1615766400000,0.00375500,0.00396500,0.00325000,0.00340930,15771444563.00000000,1615852799999,55758788.29556000,164176,7892250232.00000000,27924975.45965310,0
1615852800000,0.00340920,0.00355370,0.00316200,0.00352540,10320404802.00000000,1615939199999,34597500.57278380,110993,5257430293.00000000,17647552.91207970,0
1615939200000,0.00352540,0.00353760,0.00310000,0.00346700,8916342231.00000000,1616025599999,29691885.05183900,93066,4407315875.00000000,14689595.61596700,0
1616025600000,0.00346640,0.00390000,0.00331000,0.00373700,10707245872.00000000,1616111999999,38197341.01002690,125972,5653085916.00000000,20207494.97154330,0
1616112000000,0.00373700,0.00597490,0.00372600,0.00564860,51731850339.00000000,1616198399999,256995095.19206770,553147,27597878689.00000000,136945446.85661480,0
1616198400000,0.00565860,0.00799000,0.00565070,0.00610120,54833338951.00000000,1616284799999,384288309.38411470,730942,28693980001.00000000,200939171.01028200,0
