otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.20920000,0.22200000,0.20770000,0.21250000,899196.51000000,1609545599999,193063.95242300,3214,455849.98000000,98137.74257000,0
1609545600000,0.21100000,0.21340000,0.19890000,0.20580000,1007518.39000000,1609631999999,209531.14061000,2674,512282.40000000,106721.62231200,0
1609632000000,0.20540000,0.22600000,0.20430000,0.22000000,1435882.55000000,1609718399999,308745.84863100,3759,723749.13000000,155577.14537700,0
1609718400000,0.21920000,0.23280000,0.19800000,0.21630000,1873550.50000000,1609804799999,407280.05636700,5264,981306.99000000,214709.15477600,0
1609804800000,0.21630000,0.24000000,0.20760000,0.23220000,1948502.82000000,1609891199999,431619.23317400,5081,944409.42000000,210054.14981400,0
1609891200000,0.23220000,0.26500000,0.22900000,0.25510000,3308612.46000000,1609977599999,805105.57938300,8993,1749609.87000000,427207.10824700,0
1609977600000,0.25680000,0.28900000,0.24200000,0.25040000,3512050.83000000,1610063999999,942699.22351300,9027,1678513.23000000,451459.84078500,0
1610064000000,0.25040000,0.26410000,0.23000000,0.24890000,2221131.41000000,1610150399999,549108.90669900,5878,1082832.80000000,268298.90580100,0
1610150400000,0.24880000,0.28670000,0.24230000,0.27530000,2624487.95000000,1610236799999,698988.21870400,6993,1300749.47000000,347264.84604000,0
1610236800000,0.27540000,0.29970000,0.25300000,0.27160000,3724197.65000000,1610323199999,1039953.11349400,9205,1710724.71000000,479049.85794500,0
1610323200000,0.27150000,0.27280000,0.20260000,0.23970000,3568189.44000000,1610409599999,829132.20721900,10427,1590297.77000000,370553.12446600,0
1610409600000,0.23970000,0.26660000,0.22890000,0.24210000,2031523.58000000,1610495999999,503182.08583700,6230,972764.74000000,241510.07071100,0
1610496000000,0.24220000,0.26270000,0.23100000,0.25970000,1418772.74000000,1610582399999,353306.77994000,4572,714091.43000000,178124.46732300,0
1610582400000,0.26180000,0.27180000,0.25060000,0.25360000,1751185.70000000,1610668799999,455133.53090900,5113,822530.30000000,214037.35093600,0
1610668800000,0.25480000,0.27180000,0.23600000,0.25960000,2150408.14000000,1610755199999,555555.40510300,6055,1032933.26000000,267697.38207500,0
1610755200000,0.25960000,0.27940000,0.25550000,0.26940000,2152968.35000000,1610841599999,581950.22540200,6509,1024028.64000000,277137.26412600,0
1610841600000,0.27160000,0.28310000,0.25280000,0.28040000,2188458.11000000,1610927999999,594702.59605400,5712,999931.23000000,271742.77862700,0
1610928000000,0.28040000,0.29140000,0.26600000,0.29060000,2207417.43000000,1611014399999,623307.19017800,5190,969113.90000000,273827.34612400,0
1611014400000,0.29060000,0.33000000,0.28720000,0.31480000,4368314.61000000,1611100799999,1345125.81034400,11429,2153664.60000000,665084.53049900,0
1611100800000,0.31490000,0.31770000,0.26250000,0.29480000,3377562.52000000,1611187199999,967204.22547200,7778,1638799.77000000,468194.26126300,0
1611187200000,0.29480000,0.29980000,0.25770000,0.26620000,3114885.48000000,1611273599999,855369.62632100,7594,1372492.05000000,377550.61639000,0
1611273600000,0.26580000,0.32770000,0.24480000,0.31360000,3975476.41000000,1611359999999,1151148.58323800,10604,2057641.94000000,598774.77239800,0
1611360000000,0.31280000,0.49600000,0.30140000,0.38790000,25118651.86000000,1611446399999,10049522.90961700,53408,12682974.98000000,5097025.84420300,0
1611446400000,0.38780000,0.39620000,0.32510000,0.34770000,10348597.55000000,1611532799999,3677707.08759400,24096,5047931.69000000,1796084.17246500,0
