otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.21920000,0.29970000,0.19800000,0.27160000,19212533.62000000,1610323199999,4874754.33133400,50441,9448146.49000000,2398043.86340800,0
1610323200000,0.27150000,0.28310000,0.20260000,0.28040000,15261506.06000000,1610927999999,3872962.83046400,44618,7156577.37000000,1820802.43826400,0
1610928000000,0.28040000,0.49600000,0.24480000,0.34770000,52510905.86000000,1611532799999,18669385.43276400,120099,25922618.93000000,9276541.54334200,0
1611532800000,0.34860000,0.37210000,0.27450000,0.29860000,23642305.87000000,1612137599999,7507850.02454000,67103,10966578.37000000,3485420.48566000,0
1612137600000,0.30010000,0.46000000,0.29200000,0.38650000,47268420.51000000,1612742399999,18439479.44527100,132166,23752601.28000000,9300711.21268800,0
1612742400000,0.38720000,0.81530000,0.38390000,0.71520000,59730602.00000000,1613347199999,35968733.39949000,237152,30086805.57000000,18168538.26224600,0
1613347200000,0.71410000,0.78000000,0.58360000,0.68180000,34684552.49000000,1613951999999,23997470.58952500,171293,16891945.50000000,11692330.86111300,0
1613952000000,0.68330000,0.69250000,0.41600000,0.48720000,27212143.24000000,1614556799999,13966141.51725100,101562,13173660.50000000,6755811.39669100,0
1614556800000,0.49010000,0.69430000,0.48810000,0.65020000,24952502.14000000,1615161599999,14131099.97211400,105587,12333356.41000000,6981738.88559500,0
1615161600000,0.65070000,1.08100000,0.62220000,0.83220000,72922878.61000000,1615766399999,59624461.90776400,299626,36886175.41000000,30272807.63807300,0
1615766400000,0.83260000,0.98000000,0.78990000,0.83950000,40299429.10000000,1616371199999,35731425.76484300,185231,19778655.42000000,17564998.99925300,0
1616371200000,0.83690000,1.03530000,0.77440000,0.92590000,43933975.38000000,1616975999999,39499500.85589600,192646,21929228.49000000,19752262.34547300,0
1616976000000,0.92800000,1.35490000,0.88660000,1.29740000,62502441.76000000,1617580799999,69535885.05913100,295764,31940505.26000000,35607474.84039800,0
1617580800000,1.29730000,1.60000000,1.10440000,1.36140000,64863072.81000000,1618185599999,89676308.67710100,313480,33418417.19000000,46256079.38430100,0
1618185600000,1.36130000,1.99990000,1.19130000,1.50610000,122818934.06000000,1618790399999,191249602.51989400,512322,62949115.31000000,98367108.37040700,0
1618790400000,1.50500000,1.65000000,0.78430000,0.89200000,61426209.15000000,1619395199999,72821431.25283000,254464,31195105.63000000,36955088.32727600,0
1619395200000,0.89200000,1.21980000,0.87580000,1.13940000,39382921.86000000,1619999999999,42596769.40396100,187184,19870414.79000000,21489069.72727600,0
1620000000000,1.13940000,1.56740000,1.01240000,1.28800000,83635826.16000000,1620604799999,107493578.05025700,341103,44701233.46000000,57781076.68116800,0
1620604800000,1.29060000,1.31410000,0.85840000,0.90450000,33440499.73000000,1621209599999,35559105.11482000,152079,16823995.73000000,17901258.49902100,0
1621209600000,0.90550000,0.90890000,0.42880000,0.47330000,45840858.90000000,1621814399999,30504346.55386000,160919,23670181.53000000,15725001.83314400,0
1621814400000,0.47460000,0.66360000,0.46040000,0.57880000,58892603.72000000,1622419199999,33354302.57689600,124550,29491638.43000000,16729004.62236500,0
1622419200000,0.57760000,0.69780000,0.54740000,0.59270000,29405055.77000000,1623023999999,17937004.99877500,81645,15241525.44000000,9318151.43961500,0
1623024000000,0.59100000,0.60290000,0.46950000,0.49480000,17072631.18000000,1623628799999,8841259.08210400,55571,8819351.13000000,4567294.42121400,0
1623628800000,0.49530000,0.57880000,0.42880000,0.50340000,42269331.65000000,1624233599999,21606589.97610800,109318,22292222.06000000,11434208.28355800,0
1624233600000,0.50490000,0.56200000,0.34000000,0.36850000,56687511.75000000,1624838399999,25443481.50209700,138143,28786981.95000000,12930954.92454600,0
1624838400000,0.36910000,0.40980000,0.36060000,0.38690000,14129201.88000000,1625443199999,5406660.62908400,37349,7130770.59000000,2727540.75037100,0
1625443200000,0.38640000,0.45500000,0.35960000,0.38110000,29725429.30000000,1626047999999,11890440.43498700,65318,14473895.94000000,5803313.63204700,0
1626048000000,0.38060000,0.38610000,0.34530000,0.35260000,14727352.98000000,1626652799999,5362724.63322000,34209,7302306.76000000,2658602.68706100,0
1626652800000,0.35240000,0.36210000,0.31250000,0.35590000,12450897.16000000,1627257599999,4244111.81501600,31729,6253338.45000000,2130997.82379900,0
1627257600000,0.35620000,0.43250000,0.35480000,0.39240000,35690106.53000000,1627862399999,14133117.08324300,85517,17634076.66000000,6991839.22709100,0
1627862400000,0.39050000,0.54840000,0.38020000,0.47890000,44765077.03000000,1628467199999,20478921.91010200,114388,22865188.80000000,10446327.24262600,0
1628467200000,0.47970000,0.70000000,0.47010000,0.61170000,49217107.93000000,1629071999999,28867489.56200400,130686,25031991.98000000,14746525.95487500,0
1629072000000,0.61160000,0.64110000,0.53820000,0.62910000,18422248.90000000,1629676799999,10914806.00147800,71733,9015394.56000000,5342436.90579400,0
1629676800000,0.62910000,0.70790000,0.57120000,0.63100000,41577680.58000000,1630281599999,26649221.87363000,150544,21573067.81000000,13833742.74513100,0
1630281600000,0.63160000,0.74200000,0.60220000,0.68740000,28693194.08000000,1630886399999,18762227.76641000,105528,14537571.07000000,9519995.39662100,0
1630886400000,0.68770000,0.72400000,0.47290000,0.57570000,37788045.22000000,1631491199999,21580110.59564300,102748,19235804.99000000,10958343.48416900,0
1631491200000,0.57810000,0.61630000,0.49500000,0.52340000,21766504.00000000,1632095999999,11766054.10850000,61307,10986361.00000000,5948886.21160000,0
1632096000000,0.52520000,0.68500000,0.39970000,0.47040000,93130587.91000000,1632700799999,48932583.28807400,187721,46525271.10000000,24482364.46484400,0
1632700800000,0.47060000,0.51040000,0.40880000,0.47310000,34992416.00000000,1633305599999,16101362.27040000,84941,17339702.00000000,8004015.31050000,0
1633305600000,0.47340000,0.75600000,0.43460000,0.54180000,83482816.69000000,1633910399999,46346110.74315800,187398,43220164.53000000,23986351.29553000,0
1633910400000,0.54200000,0.71770000,0.49670000,0.60080000,49818959.00000000,1634515199999,28903823.43870000,134226,25630218.00000000,14920559.26840000,0
1634515200000,0.60070000,0.64350000,0.55820000,0.57370000,26560241.00000000,1635119999999,15794761.10100000,77788,13298303.00000000,7928589.52740000,0
1635120000000,0.57460000,0.63620000,0.51260000,0.56450000,19421547.00000000,1635724799999,11126671.28080000,64066,9657226.00000000,5553696.87510000,0
1635724800000,0.56480000,0.71000000,0.54570000,0.57260000,23747184.00000000,1636329599999,14026666.43660000,62814,11854061.00000000,7052866.95370000,0
1636329600000,0.57260000,0.63400000,0.54730000,0.56990000,24233340.00000000,1636934399999,14214269.37440000,65958,12598599.00000000,7400587.94800000,0
1636934400000,0.57130000,0.58680000,0.46210000,0.53730000,22737135.00000000,1637539199999,12025853.07770000,62357,11115493.00000000,5881471.76200000,0
1637539200000,0.53730000,0.69000000,0.49470000,0.52930000,26843725.00000000,1638143999999,15317304.74400000,83136,13135690.00000000,7516779.50990000,0
1638144000000,0.52930000,2.02000000,0.49980000,0.70760000,834504719.74000000,1638748799999,961082374.20963900,2518309,422875442.40000000,489016340.72071300,0
1638748800000,0.70770000,1.27220000,0.66170000,0.87850000,156778379.00000000,1639353599999,156333700.46810000,563408,79622272.00000000,79333668.46130000,0
