otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.32790000,0.36590000,0.32130000,0.34830000,15773348.75000000,1609545599999,5470450.55120200,28605,7990115.90000000,2772714.43380700,0
1609545600000,0.34830000,0.35000000,0.32150000,0.33060000,12821584.07000000,1609631999999,4327228.01212300,22948,6200845.60000000,2093017.42039300,0
1609632000000,0.33100000,0.41900000,0.32880000,0.39540000,30573096.84000000,1609718399999,11722882.16925600,47829,16309989.16000000,6255275.69951700,0
1609718400000,0.39570000,0.45450000,0.36600000,0.39650000,32247257.92000000,1609804799999,12813035.16148000,55707,16342799.22000000,6501861.78311000,0
1609804800000,0.39660000,0.48120000,0.36000000,0.44920000,37075148.48000000,1609891199999,15249549.63912100,62732,19495104.01000000,8054919.99956700,0
1609891200000,0.44910000,0.50000000,0.42540000,0.45030000,32888813.28000000,1609977599999,15284001.66893700,60286,16613709.32000000,7734230.87934900,0
1609977600000,0.45080000,0.49040000,0.40480000,0.43010000,25224604.78000000,1610063999999,11437954.20156800,45540,12300746.87000000,5591884.29869400,0
1610064000000,0.43010000,0.45000000,0.38000000,0.41860000,23700309.58000000,1610150399999,9941230.93469400,37797,11880696.77000000,4999714.12568200,0
1610150400000,0.41830000,0.47770000,0.40060000,0.45970000,20832167.61000000,1610236799999,9285320.33055400,37826,11014010.65000000,4909363.85294700,0
1610236800000,0.45970000,0.48500000,0.40690000,0.43730000,23260745.21000000,1610323199999,10472960.25210400,44458,11456537.22000000,5171376.68967700,0
1610323200000,0.43720000,0.43780000,0.31110000,0.38320000,29937311.17000000,1610409599999,11155652.65678500,46665,14413481.91000000,5373269.82649600,0
1610409600000,0.38270000,0.41110000,0.35220000,0.39450000,16590646.92000000,1610495999999,6409187.71126500,27088,8433328.87000000,3259128.86802200,0
1610496000000,0.39390000,0.43990000,0.37190000,0.43360000,15382577.66000000,1610582399999,6379541.41442800,27662,8294643.84000000,3440305.66606900,0
1610582400000,0.43290000,0.45480000,0.42140000,0.44080000,12039989.15000000,1610668799999,5306369.81369700,20823,5883484.29000000,2597072.89139100,0
1610668800000,0.44100000,0.49490000,0.41000000,0.48390000,24166531.20000000,1610755199999,11007824.94971100,43042,12026208.29000000,5488698.74666000,0
1610755200000,0.48330000,0.58430000,0.47260000,0.53290000,31293796.10000000,1610841599999,16839084.56865200,61533,16096366.83000000,8658116.29312300,0
1610841600000,0.53110000,0.61410000,0.49650000,0.57680000,29883538.32000000,1610927999999,16478049.99239600,58388,15321745.21000000,8470714.71748300,0
1610928000000,0.57670000,0.62100000,0.55500000,0.57420000,17766027.18000000,1611014399999,10456375.25676500,40224,8897423.45000000,5233013.31602000,0
1611014400000,0.57430000,0.64850000,0.55020000,0.58970000,28800430.40000000,1611100799999,17169387.23906000,58267,14791112.59000000,8826863.27941200,0
1611100800000,0.58950000,0.63320000,0.53000000,0.59340000,22455207.80000000,1611187199999,13065296.19459800,47972,10584748.18000000,6172062.03087100,0
1611187200000,0.59360000,0.60000000,0.46500000,0.47590000,27756565.04000000,1611273599999,14351992.09697400,51037,13060332.91000000,6760590.84181800,0
