otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.11320000,0.12650000,0.11190000,0.12080000,6268698.72000000,1609545599999,742879.02039900,7692,3166842.43000000,376421.82670700,0
1609545600000,0.12080000,0.12680000,0.11670000,0.12340000,6822083.83000000,1609631999999,826314.53972000,8340,3078304.01000000,374207.22086100,0
1609632000000,0.12330000,0.13190000,0.11820000,0.12960000,9563666.06000000,1609718399999,1195384.83150700,9319,4171410.28000000,521299.98592700,0
1609718400000,0.12960000,0.13990000,0.11300000,0.13150000,14365152.29000000,1609804799999,1846880.15874000,13510,6924613.44000000,896662.43011400,0
1609804800000,0.13150000,0.13980000,0.12080000,0.13270000,7337102.20000000,1609891199999,956382.82972400,9916,3441585.92000000,450120.00506600,0
1609891200000,0.13260000,0.14980000,0.12930000,0.14240000,16996539.03000000,1609977599999,2391268.84627600,23666,8279062.30000000,1165479.07122100,0
1609977600000,0.14250000,0.18130000,0.14200000,0.16310000,27902495.84000000,1610063999999,4553535.34648500,37246,13840550.48000000,2265289.24782100,0
1610064000000,0.16320000,0.17500000,0.15050000,0.16690000,22846316.21000000,1610150399999,3712417.47375000,31495,11129145.18000000,1812831.86527600,0
1610150400000,0.16690000,0.17800000,0.16000000,0.17520000,21392112.76000000,1610236799999,3626326.92817700,33134,11373407.83000000,1932867.84687100,0
1610236800000,0.17510000,0.18100000,0.14540000,0.15930000,20423128.94000000,1610323199999,3370196.38687000,32052,9854877.21000000,1628985.37386200,0
1610323200000,0.15930000,0.15980000,0.13100000,0.14550000,19483173.27000000,1610409599999,2782572.65924900,28043,8777070.09000000,1251185.09407400,0
1610409600000,0.14540000,0.15140000,0.13440000,0.13900000,11175523.03000000,1610495999999,1603087.30469600,21742,5784477.18000000,828858.43457300,0
1610496000000,0.13910000,0.15150000,0.13340000,0.15000000,9094583.03000000,1610582399999,1304777.78014200,19644,4322626.69000000,617174.20772300,0
1610582400000,0.15050000,0.15630000,0.14200000,0.15400000,12661717.71000000,1610668799999,1870139.54831800,21371,6643085.44000000,982282.71968900,0
1610668800000,0.15410000,0.16000000,0.13570000,0.14920000,18554335.12000000,1610755199999,2788794.09638900,28346,7841011.95000000,1182169.92123900,0
1610755200000,0.14900000,0.17000000,0.14660000,0.16240000,18962738.13000000,1610841599999,3008450.05844000,27665,9633849.84000000,1531251.51356900,0
1610841600000,0.16240000,0.18040000,0.14820000,0.17360000,19744313.18000000,1610927999999,3256894.44676600,30427,9738395.89000000,1608377.45333400,0
1610928000000,0.17370000,0.18240000,0.16620000,0.17560000,18034591.96000000,1611014399999,3131030.68195000,29849,8951546.49000000,1556366.20202900,0
1611014400000,0.17560000,0.18000000,0.16000000,0.16210000,13702809.39000000,1611100799999,2361893.72672500,24070,6892406.25000000,1191405.08653200,0
1611100800000,0.16210000,0.17510000,0.15240000,0.17210000,14947492.16000000,1611187199999,2432624.96684400,24134,7464121.66000000,1216491.87873900,0
1611187200000,0.17250000,0.21450000,0.16840000,0.17840000,51005993.53000000,1611273599999,9784774.94563000,60469,25700072.46000000,4951774.11475600,0
1611273600000,0.17810000,0.19460000,0.15210000,0.17870000,25959523.49000000,1611359999999,4525056.68969500,35646,12110825.10000000,2113059.52117600,0
1611360000000,0.17880000,0.18530000,0.16880000,0.18090000,15860113.60000000,1611446399999,2832336.03816200,25210,7762661.56000000,1387832.31990300,0
1611446400000,0.18070000,0.19890000,0.17850000,0.18600000,17704569.75000000,1611532799999,3364907.10261300,32922,8910444.33000000,1694057.35928300,0
1611532800000,0.18610000,0.19600000,0.17880000,0.19030000,14347617.54000000,1611619199999,2713319.99184300,28050,7068126.95000000,1338547.76165500,0
1611619200000,0.19030000,0.21620000,0.18570000,0.20050000,26683282.87000000,1611705599999,5383255.68989600,40703,14087858.71000000,2842243.95204000,0
1611705600000,0.20050000,0.20160000,0.17000000,0.17660000,17086549.62000000,1611791999999,3125096.90187600,32350,8049680.24000000,1473641.05585600,0
1611792000000,0.17660000,0.19300000,0.16990000,0.18260000,14058262.98000000,1611878399999,2603854.62308000,28539,7129223.44000000,1319134.58637300,0
1611878400000,0.18260000,0.18730000,0.17420000,0.17840000,14590809.97000000,1611964799999,2613670.92977600,27771,6213091.06000000,1113926.67802700,0
1611964800000,0.17850000,0.18860000,0.17230000,0.18380000,13095890.77000000,1612051199999,2362713.87478600,26527,6546668.22000000,1181953.81876500,0
1612051200000,0.18380000,0.22220000,0.18320000,0.20470000,24067176.62000000,1612137599999,4813949.70010700,41326,12555520.28000000,2516451.97433200,0
1612137600000,0.20470000,0.23150000,0.19650000,0.23030000,20728886.12000000,1612223999999,4479162.39524600,38742,10367202.13000000,2242969.06966300,0
1612224000000,0.23030000,0.24200000,0.22010000,0.22840000,13132987.84000000,1612310399999,3051227.47245000,33979,6532312.45000000,1518280.66443600,0
1612310400000,0.22850000,0.23360000,0.22500000,0.22800000,12028729.50000000,1612396799999,2747426.50685400,27135,6425653.77000000,1468096.80246500,0
1612396800000,0.22830000,0.23730000,0.21740000,0.22530000,13382247.10000000,1612483199999,3054670.69995200,28714,6505206.93000000,1485008.47144300,0
1612483200000,0.22510000,0.24550000,0.21300000,0.24390000,24268692.44000000,1612569599999,5555334.56750300,41174,11550452.83000000,2645035.59014100,0
1612569600000,0.24410000,0.25230000,0.22000000,0.23100000,15390522.28000000,1612655999999,3580375.94798300,29690,7991170.10000000,1864721.88011100,0
1612656000000,0.23070000,0.24440000,0.21500000,0.23650000,15357469.76000000,1612742399999,3561714.83202200,35987,7975142.08000000,1853493.26579400,0
1612742400000,0.23630000,0.35370000,0.23570000,0.30750000,53392339.20000000,1612828799999,15806663.54717500,77161,27069984.92000000,8007766.29041900,0
1612828800000,0.30750000,0.56000000,0.24230000,0.43980000,153895676.31000000,1612915199999,62547052.60293200,169010,83604332.34000000,34212071.82886900,0
1612915200000,0.43980000,0.57280000,0.34900000,0.37580000,133676058.08000000,1613001599999,58840790.23590000,176155,65841036.59000000,29109433.57025000,0
1613001600000,0.37680000,0.44000000,0.35510000,0.38920000,41316269.59000000,1613087999999,16550913.99633900,66918,19966960.22000000,8005003.56367900,0
1613088000000,0.39090000,0.43480000,0.37320000,0.41390000,29289780.79000000,1613174399999,11756667.27337400,50746,14507001.69000000,5835497.51041500,0
1613174400000,0.41350000,0.43640000,0.36810000,0.40190000,24457788.05000000,1613260799999,9822314.52367800,46728,11021251.08000000,4432774.88670700,0
1613260800000,0.40040000,0.41100000,0.36500000,0.36590000,14973571.02000000,1613347199999,5865896.23146600,31659,7152468.03000000,2810596.57988400,0
1613347200000,0.36510000,0.41200000,0.30700000,0.37300000,29488421.25000000,1613433599999,10961396.63406800,51858,14655658.87000000,5479634.62063900,0
1613433600000,0.37300000,0.40880000,0.36310000,0.39380000,17522148.35000000,1613519999999,6843251.95498000,31189,8270810.29000000,3235531.12600600,0
1613520000000,0.39450000,0.41000000,0.36620000,0.39040000,20823790.87000000,1613606399999,8093551.64651000,32206,10322334.12000000,4020585.06234100,0
1613606400000,0.39160000,0.42900000,0.38900000,0.40180000,15896015.39000000,1613692799999,6486027.66546200,32462,8142807.62000000,3325325.44472100,0
1613692800000,0.40360000,0.40810000,0.36770000,0.37880000,20863620.51000000,1613779199999,8049205.28558000,34653,10292777.97000000,3978656.94607900,0
1613779200000,0.37880000,0.40800000,0.36310000,0.37760000,25478332.11000000,1613865599999,9883037.77252500,49205,12951405.76000000,5033916.24534700,0
1613865600000,0.37760000,0.47980000,0.36860000,0.40810000,56439686.06000000,1613951999999,24288755.69193800,91055,28796578.68000000,12403047.57270900,0
1613952000000,0.40870000,0.41190000,0.31690000,0.37070000,26213313.10000000,1614038399999,9803162.76603200,41711,11880382.55000000,4464725.02654200,0
1614038400000,0.37180000,0.37590000,0.23100000,0.28640000,36472758.91000000,1614124799999,10450661.58609700,34495,16866915.94000000,4808006.61083600,0
1614124800000,0.28660000,0.32740000,0.26660000,0.30560000,16416984.16000000,1614211199999,4980066.32537400,25197,8206169.36000000,2490862.35393300,0
1614211200000,0.30400000,0.33240000,0.27760000,0.27940000,15301976.37000000,1614297599999,4685877.58338000,22169,7635669.89000000,2344585.98959100,0
1614297600000,0.28110000,0.29000000,0.25300000,0.27260000,19411558.73000000,1614383999999,5306569.47158300,21270,9620268.68000000,2633788.89625700,0
1614384000000,0.27170000,0.29000000,0.26590000,0.27230000,10016326.42000000,1614470399999,2792973.81592600,13606,4886543.61000000,1365172.24244500,0
1614470400000,0.27300000,0.42000000,0.25680000,0.34010000,189302376.81000000,1614556799999,64649069.43728300,185137,97016032.55000000,33146208.18239200,0
1614556800000,0.33970000,0.37700000,0.31030000,0.34720000,52271802.79000000,1614643199999,17692655.08262200,73281,25726821.36000000,8732487.23693400,0
1614643200000,0.34770000,0.41160000,0.33900000,0.37320000,31695444.43000000,1614729599999,11840669.36220900,53504,16902776.64000000,6328121.24652300,0
1614729600000,0.37340000,0.43980000,0.36830000,0.40080000,25546409.10000000,1614815999999,10491161.40786200,45087,12566399.08000000,5171384.29856800,0
1614816000000,0.40120000,0.56780000,0.39170000,0.53700000,78633944.40000000,1614902399999,38774561.47710200,125175,41847700.50000000,20677744.04155900,0
1614902400000,0.53700000,0.53990000,0.41970000,0.46130000,49933232.88000000,1614988799999,22790079.48146900,85362,24493362.13000000,11186464.06133100,0
1614988800000,0.46230000,0.49290000,0.43820000,0.45770000,17493069.71000000,1615075199999,8068523.53988600,42450,8575042.31000000,3963931.97762200,0
1615075200000,0.45800000,0.65500000,0.45500000,0.59460000,58707510.91000000,1615161599999,33787324.53089700,126461,31009327.63000000,17904366.86324300,0
1615161600000,0.59270000,0.72000000,0.53240000,0.68240000,57359900.97000000,1615247999999,35989454.17703500,137978,28868858.64000000,18193544.67875000,0
1615248000000,0.67970000,0.98830000,0.67360000,0.79210000,111276101.84000000,1615334399999,92981424.67504200,253218,56578633.22000000,47380844.81130600,0
1615334400000,0.79200000,0.89000000,0.70160000,0.74580000,47026678.75000000,1615420799999,36380236.51136200,117266,22348829.41000000,17363067.52324900,0
1615420800000,0.74760000,0.95100000,0.72070000,0.91690000,41052000.64000000,1615507199999,35350306.52200100,120001,20893574.86000000,18027464.57582200,0
1615507200000,0.91960000,0.98000000,0.80760000,0.82600000,30120077.93000000,1615593599999,26722627.27398300,91244,14032727.42000000,12509914.39519500,0
1615593600000,0.82390000,0.90770000,0.78100000,0.80740000,22463122.65000000,1615679999999,18650825.58260800,79956,10662564.39000000,8876059.91891900,0
1615680000000,0.80930000,0.81610000,0.72820000,0.73330000,22588370.57000000,1615766399999,17432424.08219500,62603,10377787.30000000,8018178.27128100,0
1615766400000,0.73750000,1.26000000,0.72410000,1.15280000,93793324.53000000,1615852799999,93439633.27286000,250429,48544274.92000000,48394928.29806400,0
1615852800000,1.15370000,1.36700000,0.95270000,1.01390000,84489045.52000000,1615939199999,96618405.18038200,246107,41695638.20000000,47907666.90242100,0
1615939200000,1.01310000,1.14600000,0.98010000,1.03290000,30056807.94000000,1616025599999,31553443.63115800,104839,14454106.33000000,15191507.44772800,0
