otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.12960000,0.18130000,0.11300000,0.15930000,131262847.27000000,1610323199999,20457007.97002200,181019,64843242.36000000,10152235.84023100,0
1610323200000,0.15930000,0.18040000,0.13100000,0.17360000,109676383.47000000,1610927999999,16614715.89400000,177238,52740517.08000000,8001299.34420100,0
1610928000000,0.17370000,0.21450000,0.15210000,0.18600000,157215093.88000000,1611532799999,28432624.15161900,232300,77792077.85000000,14110986.48241800,0
1611532800000,0.18610000,0.22220000,0.16990000,0.20470000,123929590.37000000,1612137599999,23615861.71136400,225266,61650168.90000000,11785899.82704800,0
1612137600000,0.20470000,0.25230000,0.19650000,0.23650000,114289535.04000000,1612742399999,26029912.42201000,235421,57347140.29000000,13077605.74405300,0
1612742400000,0.23630000,0.57280000,0.23570000,0.36590000,451001483.04000000,1613347199999,181190298.41086400,618377,229163034.87000000,92413144.23022300,0
1613347200000,0.36510000,0.47980000,0.30700000,0.40810000,186512014.54000000,1613951999999,74605226.65106300,322628,93432373.31000000,37476697.01784200,0
1613952000000,0.40870000,0.42000000,0.23100000,0.34010000,313135294.50000000,1614556799999,102668380.98567500,343585,156111982.58000000,51253349.30199600,0
1614556800000,0.33970000,0.65500000,0.31030000,0.59460000,314281414.22000000,1615161599999,143444974.88204700,551320,161121429.65000000,73964499.72578000,0
1615161600000,0.59270000,0.98830000,0.53240000,0.73330000,331886253.35000000,1615766399999,263507298.82422600,862266,163762975.24000000,130369074.17452200,0
1615766400000,0.73750000,1.36700000,0.72410000,0.96050000,284733422.52000000,1616371199999,298411978.82064300,880075,142182895.29000000,149246179.02496600,0
1616371200000,0.96220000,1.59000000,0.75100000,1.38200000,183038720.75000000,1616975999999,207625078.71404400,580472,93866493.13000000,107229382.70459500,0
1616976000000,1.38450000,2.36700000,1.30500000,1.96070000,251149529.40000000,1617580799999,465130520.19148700,1288938,126354538.01000000,234224130.03786900,0
1617580800000,1.96070000,3.39000000,1.83120000,2.56130000,325945919.26000000,1618185599999,899825984.49290100,2136827,162908055.91000000,450450952.55643300,0
1618185600000,2.56210000,2.82080000,1.59850000,1.95460000,184489281.74000000,1618790399999,427570336.69865000,1108132,88640349.79000000,205866747.96215900,0
1618790400000,1.95630000,2.25000000,1.37890000,1.51530000,182418147.03000000,1619395199999,324687343.48833400,926191,89640642.66000000,159865944.91038500,0
1619395200000,1.51750000,2.06820000,1.48910000,1.79800000,108042949.63000000,1619999999999,197767098.85274700,708607,52178879.57000000,95615218.65798200,0
1620000000000,1.79800000,1.94780000,1.46800000,1.55960000,140419742.97000000,1620604799999,235159612.86516600,784800,67508621.29000000,113228701.70483300,0
1620604800000,1.55980000,1.67390000,1.11020000,1.19980000,144046809.19000000,1621209599999,197880923.64882300,678384,69683192.23000000,95875552.90101900,0
1621209600000,1.20050000,1.27480000,0.45590000,0.56960000,194165296.62000000,1621814399999,161879736.50769000,555799,95194459.68000000,79526207.33639200,0
1621814400000,0.56890000,1.45000000,0.54920000,1.13380000,368592991.17000000,1622419199999,393148667.64702000,1234441,189345937.54000000,202500963.01168800,0
1622419200000,1.13210000,1.20010000,0.85390000,0.94590000,144121213.34000000,1623023999999,148807911.42727400,538063,71869135.37000000,74279320.47787000,0
1623024000000,0.94610000,0.99560000,0.68110000,0.77560000,144997787.90000000,1623628799999,117718345.65400800,420473,72968367.22000000,59286694.98058200,0
1623628800000,0.77590000,1.08340000,0.76000000,0.86590000,178180785.38000000,1624233599999,160136129.81146100,573020,92220630.38000000,82852656.53327500,0
1624233600000,0.86740000,0.90360000,0.54010000,0.68320000,151615704.06000000,1624838399999,104114980.28538800,415179,76636077.70000000,52599439.19213000,0
1624838400000,0.68320000,0.73210000,0.61140000,0.67270000,84147180.42000000,1625443199999,56682595.63735500,254607,41494141.97000000,27939305.59809000,0
1625443200000,0.67220000,0.81000000,0.61240000,0.76190000,166874105.07000000,1626047999999,119294798.41843100,413101,85428095.34000000,61134885.89957300,0
1626048000000,0.76300000,0.95790000,0.66730000,0.70840000,216962057.56000000,1626652799999,172676595.26663800,552927,108744452.77000000,86599804.49009600,0
1626652800000,0.70800000,0.85880000,0.56220000,0.79700000,165839349.38000000,1627257599999,119081960.18499900,365438,86831187.09000000,62457313.90510900,0
1627257600000,0.79700000,0.85980000,0.71470000,0.77870000,137148801.65000000,1627862399999,108738156.75526800,365108,69339761.10000000,55016786.21973700,0
1627862400000,0.77870000,0.91000000,0.75130000,0.80040000,153078986.24000000,1628467199999,126307675.36143900,445582,77844675.11000000,64433711.04946500,0
1628467200000,0.80080000,1.11460000,0.76500000,1.06570000,211727776.24000000,1629071999999,203753020.67449400,734081,104498861.22000000,100596411.57740300,0
1629072000000,1.06640000,1.19990000,0.90000000,1.18260000,197213969.07000000,1629676799999,209103092.07353100,773976,97805222.35000000,103876474.44476900,0
1629676800000,1.18170000,1.19800000,0.96600000,1.05450000,161190208.19000000,1630281599999,173444438.66502000,624165,77768112.83000000,83737063.88680800,0
1630281600000,1.05390000,1.38800000,1.04660000,1.33770000,252557678.04000000,1630886399999,306120265.74856900,929438,126040369.37000000,152954916.41509800,0
1630886400000,1.33780000,1.41000000,0.85560000,0.99710000,172203847.38000000,1631491199999,183920902.87457900,655204,83050984.10000000,88856968.52163500,0
1631491200000,0.99650000,1.24000000,0.87000000,1.01470000,154565986.00000000,1632095999999,163784831.80790000,556203,75660571.00000000,80315933.99040000,0
