otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,4.70000000,5.22000000,3.11300000,3.41600000,931497.53500000,1610323199999,3710254.83873300,29019,369939.03200000,1483446.10516700,0
1610323200000,3.40000000,7.14000000,2.36800000,4.20900000,5278907.16400000,1610927999999,26378929.74006400,173825,2692666.39200000,13605556.65714000,0
1610928000000,4.21100000,4.99000000,3.63600000,3.78000000,1175292.63900000,1611532799999,4903622.71267100,46238,523965.02300000,2201125.91819000,0
1611532800000,3.78000000,4.15000000,3.20000000,3.47900000,1268138.39600000,1612137599999,4485444.19758600,37952,548690.71000000,1952178.26545200,0
1612137600000,3.47900000,5.00000000,3.34500000,4.10800000,1806638.57900000,1612742399999,7378440.08057100,44660,883043.09800000,3624063.50484800,0
1612742400000,4.10800000,8.49000000,4.10300000,6.76200000,3691256.84700000,1613347199999,22694314.13162500,140358,1791201.40800000,11028215.19627500,0
1613347200000,6.74900000,8.88000000,5.12100000,6.96300000,2348258.88700000,1613951999999,17207440.81118900,95042,1110336.90800000,8187614.81276300,0
1613952000000,6.99900000,7.02700000,4.00000000,4.61600000,2080429.25400000,1614556799999,10418860.95289900,71126,1042820.90800000,5246299.14831700,0
1614556800000,4.62100000,8.33300000,4.27000000,6.37800000,7145728.63400000,1615161599999,46755752.60408900,248761,3572914.44700000,23546431.31140400,0
1615161600000,6.27400000,12.75200000,5.88000000,10.66200000,9743625.48000000,1615766399999,85821958.86644700,423912,4843620.38000000,42952071.86642600,0
1615766400000,10.67200000,11.28000000,8.01300000,8.29500000,2187596.77300000,1616371199999,20867193.22477000,122186,1050820.06600000,10050935.61593700,0
1616371200000,8.28400000,12.25000000,7.40000000,9.90900000,7714299.30400000,1616975999999,79807704.79278500,344122,3788469.89800000,39306840.89215800,0
1616976000000,9.91900000,13.50000000,9.71800000,10.40000000,2144896.09300000,1617580799999,23515146.57654100,134516,1040638.68200000,11418357.49543500,0
1617580800000,10.40000000,17.00000000,9.70000000,12.33600000,5425472.18300000,1618185599999,69903643.79468700,343952,2609119.03300000,33672160.65531200,0
1618185600000,12.33700000,14.80800000,9.58600000,10.05500000,3567282.22200000,1618790399999,44920503.46497100,217479,1733216.05800000,21952496.35567500,0
1618790400000,10.08000000,11.42700000,7.30000000,7.87400000,1800450.42000000,1619395199999,16551970.94290200,94382,864473.07500000,7949580.54535900,0
1619395200000,7.87200000,10.99900000,7.80800000,9.85000000,1813832.39700000,1619999999999,17429078.80662200,98552,909034.11100000,8731636.58299400,0
1620000000000,9.82100000,10.58900000,8.36700000,8.59500000,1783311.06700000,1620604799999,16504952.19298900,100285,868592.69200000,8034596.45615600,0
1620604800000,8.61500000,16.50000000,7.43600000,12.11600000,10922214.31000000,1621209599999,126576904.68747200,505542,5457982.35300000,63634866.44714300,0
