otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,2.47420000,2.76820000,2.43970000,2.54320000,4559805.74000000,1609545599999,11924791.84417600,45906,2244758.75000000,5870358.60803500,0
1609545600000,2.54320000,2.72970000,2.45830000,2.54220000,4624705.76000000,1609631999999,11899894.85056200,47194,2271358.09000000,5842284.64592200,0
1609632000000,2.54080000,3.07140000,2.48530000,3.04980000,8579911.11000000,1609718399999,23146037.60389700,74258,4187220.23000000,11299066.29463300,0
1609718400000,3.05290000,3.47770000,2.68420000,3.29380000,16490998.82000000,1609804799999,51168518.64573300,152051,8398711.54000000,26068759.50678200,0
1609804800000,3.29270000,3.76000000,3.14230000,3.51410000,17127483.26000000,1609891199999,59486281.77835800,149951,8803637.22000000,30578742.56460700,0
1609891200000,3.51300000,3.94400000,3.34700000,3.70820000,9949278.94000000,1609977599999,36425241.52793900,107031,5018447.39000000,18381983.82113200,0
1609977600000,3.71000000,3.94000000,3.30870000,3.50800000,8847354.90000000,1610063999999,32749997.49299800,98997,4387376.21000000,16255884.33412700,0
1610064000000,3.50850000,3.57920000,3.08640000,3.40390000,7029121.78000000,1610150399999,23769369.83889700,77941,3513920.93000000,11888989.44316200,0
1610150400000,3.40430000,3.83670000,3.30100000,3.70780000,6939860.91000000,1610236799999,24893253.63366800,72522,3397460.54000000,12188697.57698700,0
1610236800000,3.70890000,4.14150000,3.23020000,3.65260000,12845737.28000000,1610323199999,48545245.39169900,122190,6513240.57000000,24663498.57870300,0
1610323200000,3.65260000,3.67080000,2.60000000,3.09740000,11620934.95000000,1610409599999,35292845.89295000,113415,5760388.49000000,17497124.22604200,0
1610409600000,3.09350000,3.27800000,2.87920000,2.99820000,5247194.26000000,1610495999999,16063673.63017700,54510,2695466.52000000,8254211.53766500,0
1610496000000,2.99600000,3.28400000,2.89030000,3.24590000,3857505.81000000,1610582399999,12076112.44956700,41027,1884688.14000000,5897883.28359600,0
1610582400000,3.24740000,3.38270000,3.07980000,3.24510000,5259943.72000000,1610668799999,17078438.31898600,53512,2431421.10000000,7896423.05622000,0
1610668800000,3.24520000,3.89520000,3.21430000,3.60400000,13712341.54000000,1610755199999,48087433.21487800,133170,6702597.51000000,23525616.15717700,0
1610755200000,3.60330000,3.87530000,3.45370000,3.54990000,10441595.99000000,1610841599999,38510221.16871000,100596,5157443.43000000,19029391.42715100,0
1610841600000,3.54920000,3.80000000,3.33510000,3.72360000,7773244.36000000,1610927999999,27895628.60606900,77541,3940185.76000000,14150940.01594800,0
1610928000000,3.72200000,4.44440000,3.64350000,4.21000000,17251007.11000000,1611014399999,71197652.81351200,161459,8703388.02000000,35931605.45464300,0
1611014400000,4.21890000,4.34250000,3.81230000,3.85390000,7993911.82000000,1611100799999,32306327.27711200,84605,3882818.98000000,15691221.72093000,0
1611100800000,3.85380000,4.02980000,3.48100000,3.83530000,6646941.69000000,1611187199999,24745869.95619600,71374,3247088.42000000,12091144.69779200,0
1611187200000,3.83380000,3.85200000,3.18980000,3.20040000,8181252.01000000,1611273599999,28372341.46425000,82647,3689932.85000000,12793708.29151700,0
1611273600000,3.20000000,3.51070000,2.95400000,3.35660000,5908988.59000000,1611359999999,19318685.71355300,63641,2843487.39000000,9305554.92572000,0
1611360000000,3.35380000,3.76900000,3.30000000,3.62900000,8841047.97000000,1611446399999,31037934.65754100,77149,4373939.08000000,15356030.14615600,0
1611446400000,3.62750000,3.87560000,3.44650000,3.58880000,7734020.63000000,1611532799999,28285907.68886200,74107,3828080.80000000,14007949.23669700,0
1611532800000,3.58880000,3.83710000,3.49860000,3.54390000,8901574.48000000,1611619199999,32676240.99032900,116376,4330013.56000000,15901499.03028000,0
