otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,3.05290000,4.14150000,2.68420000,3.65260000,79229835.89000000,1610323199999,277037908.30929200,780683,40032794.40000000,140026555.82550000,0
1610323200000,3.65260000,3.89520000,2.60000000,3.72360000,57912760.63000000,1610927999999,195004353.28133700,573771,28572190.95000000,96251589.70379900,0
1610928000000,3.72200000,4.44440000,2.95400000,3.58880000,62557169.82000000,1611532799999,235264719.57102600,614982,30568735.54000000,115177214.47345500,0
1611532800000,3.58880000,3.83710000,3.05360000,3.52370000,51135770.18000000,1612137599999,179192260.96979100,575981,24731167.33000000,86727955.20174700,0
1612137600000,3.52370000,5.49740000,3.38300000,4.62050000,106353210.57000000,1612742399999,473629447.18898900,1047927,52786790.51000000,235370985.17783500,0
1612742400000,4.62350000,7.97410000,4.48850000,6.69030000,100881179.09000000,1613347199999,606263021.10076500,1140145,51127949.08000000,308131034.41299100,0
1613347200000,6.69000000,6.94000000,5.50600000,6.33250000,54105115.13000000,1613951999999,344897032.24374900,686669,26758153.20000000,170615305.78697700,0
1613952000000,6.33720000,6.35000000,3.77500000,4.26480000,48366249.17000000,1614556799999,233160982.68773000,549441,23876413.98000000,115012911.01156300,0
1614556800000,4.26840000,5.26080000,4.20610000,5.12800000,35347582.73000000,1615161599999,169107073.44684300,437414,17681230.38000000,84634545.66248100,0
1615161600000,5.12860000,5.52840000,4.78140000,5.06650000,36252611.06000000,1615766399999,187956249.84995700,446651,18021287.17000000,93462987.22427900,0
1615766400000,5.06720000,6.35850000,4.77890000,5.57710000,39639785.07000000,1616371199999,221112549.81686500,510423,20304407.41000000,113432111.41056100,0
1616371200000,5.57410000,6.21290000,4.69270000,5.88200000,38299768.12000000,1616975999999,209226830.07536500,524628,19374500.59000000,105960279.00467400,0
1616976000000,5.87780000,8.40000000,5.84130000,7.84510000,63853103.07000000,1617580799999,458953717.76603200,1045870,32732293.54000000,235394675.08917000,0
1617580800000,7.84940000,11.33700000,7.84490000,9.61930000,98531765.16000000,1618185599999,949413080.10182800,1808106,50501547.55000000,486827389.66171000,0
1618185600000,9.61610000,10.65790000,6.75000000,8.42100000,48705684.95000000,1618790399999,451506812.41149600,1179705,24685690.60000000,229161454.98798100,0
1618790400000,8.42680000,9.18710000,5.57420000,6.19730000,56419480.34000000,1619395199999,408663529.05265300,1449868,28342396.15000000,205647676.28241800,0
1619395200000,6.19580000,8.21600000,6.10010000,7.83790000,28822983.04000000,1619999999999,213357912.34008500,883182,14775834.56000000,109321156.79231200,0
1620000000000,7.83730000,15.35000000,7.81670000,11.62740000,125562768.24000000,1620604799999,1418607784.31432300,2901365,63964007.11000000,722782355.75250000,0
1620604800000,11.62240000,12.56580000,8.71530000,9.32330000,79479914.23000000,1621209599999,840347922.13514300,2217058,39908743.75000000,422187526.34353100,0
1621209600000,9.31470000,9.31620000,3.37630000,4.28210000,93073223.15000000,1621814399999,587733586.80631900,2177422,46713311.21000000,295162225.42513800,0
1621814400000,4.28560000,7.99430000,4.24030000,6.06600000,104328779.07000000,1622419199999,666285531.02019500,2120791,52883057.93000000,337642181.30554600,0
1622419200000,6.06480000,7.09150000,5.65280000,6.02970000,46922293.83000000,1623023999999,296036144.13597400,1332735,23811066.34000000,150235030.08459100,0
1623024000000,6.03240000,6.19710000,4.35000000,5.05000000,39219462.21000000,1623628799999,200479603.83735700,737606,19820865.30000000,101322398.69872300,0
1623628800000,5.04830000,5.58030000,4.14930000,4.57790000,31245038.74000000,1624233599999,155539471.09300400,814292,15466999.05000000,76967511.46041800,0
1624233600000,4.57930000,4.61460000,2.89200000,3.71510000,49068474.88000000,1624838399999,176904332.65301000,837254,24562483.23000000,88573912.98487400,0
1624838400000,3.71560000,4.65040000,3.61530000,4.52990000,34338114.86000000,1625443199999,143892243.03449500,855179,17198818.29000000,72074247.10473900,0
1625443200000,4.53050000,4.87500000,3.82860000,4.16320000,34955780.51000000,1626047999999,152303066.34688000,544616,17657554.32000000,76887628.52344100,0
1626048000000,4.16400000,4.28150000,3.55450000,3.65440000,33059114.87000000,1626652799999,125735602.61851000,662780,16470215.47000000,62613340.24542500,0
1626652800000,3.65570000,3.80960000,3.04130000,3.77930000,32171167.62000000,1627257599999,111557394.78193300,515205,16132983.45000000,55924199.62442600,0
1627257600000,3.77930000,4.77840000,3.68010000,4.29910000,37320810.69000000,1627862399999,153983509.61288400,799779,18684816.64000000,77136537.52417500,0
1627862400000,4.29990000,5.36310000,4.06000000,4.76770000,38360299.02000000,1628467199999,178018538.12748600,804578,19144231.25000000,88847935.53813200,0
1628467200000,4.76800000,5.78000000,4.60080000,5.68680000,37506221.15000000,1629071999999,197873675.40167800,1015022,18498538.34000000,97588326.87361600,0
1629072000000,5.68670000,6.58160000,4.92010000,6.27230000,60078278.40000000,1629676799999,350576895.48351800,1395897,30219301.26000000,176350307.24261800,0
1629676800000,6.27140000,7.35000000,5.73200000,6.64800000,62320336.05000000,1630281599999,405968104.46604200,1560716,31274112.23000000,203713061.65396000,0
1630281600000,6.65000000,9.12000000,6.07900000,8.97000000,59475061.80000000,1630886399999,422088247.39039700,1404811,30356274.93000000,215696314.78619500,0
1630886400000,8.97100000,10.27980000,6.50000000,9.46500000,126647913.42000000,1631491199999,1114749008.23387900,3593176,63672338.03000000,560580791.18679900,0
1631491200000,9.46300000,10.13600000,7.99400000,9.67000000,65003143.80000000,1632095999999,581348682.62280000,1675838,32180734.40000000,287858332.80400000,0
1632096000000,9.67000000,11.44400000,7.79600000,9.08000000,163783146.64000000,1632700799999,1560642390.60263500,4107046,81881194.75000000,780028246.10762500,0
1632700800000,9.07600000,17.97700000,8.70900000,16.54100000,148248385.26000000,1633305599999,1854819680.91476800,4449737,74724617.86000000,935756955.16238800,0
1633305600000,16.54100000,18.21200000,12.47100000,12.88200000,103954308.55000000,1633910399999,1569850378.45954100,3314153,51280211.00000000,775334992.35378100,0
1633910400000,12.88100000,15.94700000,12.71000000,13.79100000,74106715.10000000,1634515199999,1067286181.07660000,2211393,36958175.20000000,532446293.65510000,0
1634515200000,13.79100000,16.23400000,13.62900000,14.33700000,46608346.20000000,1635119999999,680571937.27440000,1699899,23147745.00000000,338101632.47950000,0
1635120000000,14.33600000,15.31400000,11.90200000,13.41100000,53889081.50000000,1635724799999,731139326.27450000,1559496,26933116.70000000,365349415.69010000,0
1635724800000,13.41000000,20.12400000,13.33400000,16.46200000,139701934.65000000,1636329599999,2288294994.67115000,5960646,69611678.21000000,1140580255.10753000,0
1636329600000,16.46100000,19.70000000,11.52600000,11.83500000,217981175.20000000,1636934399999,3266509079.38470000,7072963,110941539.10000000,1663728276.84110000,0
1636934400000,11.83800000,11.85600000,8.78300000,9.49900000,125444454.90000000,1637539199999,1272252457.83870000,2792412,61972810.60000000,628495897.48200000,0
1637539200000,9.50200000,9.52500000,7.45000000,8.10100000,68216891.80000000,1638143999999,588231731.04490000,1707506,34037074.90000000,293347850.26180000,0
1638144000000,8.10000000,9.31100000,4.77600000,6.22800000,99785875.40000000,1638748799999,743249224.48108000,2543219,49940381.86000000,371678992.60616000,0
1638748800000,6.22800000,6.55300000,5.67600000,6.45500000,24747242.30000000,1639353599999,148967166.63460000,390090,12417552.50000000,74738732.07270000,0
