otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.18540000,0.19670000,0.18350000,0.19330000,1099168.53000000,1609545599999,209542.29650600,3315,523104.16000000,99700.33075900,0
1609545600000,0.19380000,0.22200000,0.19200000,0.20490000,8338617.12000000,1609631999999,1729918.92902700,20150,4161589.60000000,862266.61093600,0
1609632000000,0.20480000,0.21450000,0.18990000,0.20250000,2320230.70000000,1609718399999,462406.67246000,6090,1123226.86000000,224854.27236100,0
1609718400000,0.20360000,0.20800000,0.17060000,0.19080000,3679837.13000000,1609804799999,704333.03937600,9754,1519910.22000000,291809.20572100,0
1609804800000,0.19080000,0.19910000,0.18000000,0.19810000,1577335.50000000,1609891199999,297506.52476600,4754,723727.72000000,137024.55263500,0
1609891200000,0.19760000,0.21730000,0.19190000,0.20880000,2912808.16000000,1609977599999,592240.88698900,8146,1542015.33000000,313614.61557000,0
1609977600000,0.20890000,0.26160000,0.20400000,0.22620000,7795089.74000000,1610063999999,1784225.09075000,18504,3653784.71000000,839738.99722100,0
1610064000000,0.22630000,0.23730000,0.19620000,0.21780000,3454165.82000000,1610150399999,740169.75331300,8302,1634567.35000000,350858.90985800,0
1610150400000,0.21890000,0.24880000,0.20510000,0.23130000,9229471.18000000,1610236799999,2061167.96304200,16804,4490380.99000000,1002826.79168200,0
1610236800000,0.23180000,0.26330000,0.20300000,0.23120000,6290171.43000000,1610323199999,1472028.37063500,14273,2851794.95000000,671318.00832400,0
1610323200000,0.23230000,0.25140000,0.18920000,0.23830000,13613486.12000000,1610409599999,2973515.06418500,27915,5875864.96000000,1291566.04033900,0
1610409600000,0.23820000,0.23850000,0.20900000,0.21820000,6094421.57000000,1610495999999,1351516.28395800,12269,2902711.76000000,645344.25470700,0
1610496000000,0.21730000,0.23120000,0.19610000,0.22550000,2529859.75000000,1610582399999,545057.55284600,6582,1191605.60000000,257299.81680400,0
