otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.50280000,0.68500000,0.42000000,0.65360000,332622669.84000000,1610323199999,188854289.01997000,527160,167701787.92000000,95248932.44708300,0
1610323200000,0.65360000,0.69470000,0.47350000,0.67270000,282011817.23000000,1610927999999,167456349.02283800,431278,139927199.65000000,83111309.45659400,0
1610928000000,0.67190000,0.72940000,0.51000000,0.61090000,236532468.69000000,1611532799999,147539849.91516000,378498,117125250.92000000,72978802.11396400,0
1611532800000,0.61110000,0.64220000,0.52190000,0.57920000,200599350.35000000,1612137599999,117142909.62715200,352861,97453181.44000000,56922935.27024200,0
1612137600000,0.57910000,0.69650000,0.56170000,0.69350000,292504888.83000000,1612742399999,184850586.28059900,537110,141389955.38000000,89451923.66851400,0
1612742400000,0.69340000,1.36670000,0.66200000,1.16370000,740167200.93000000,1613347199999,742931809.38667300,1437992,366244692.83000000,367720580.72163900,0
1613347200000,1.16350000,1.59390000,0.88510000,1.41370000,706693089.13000000,1613951999999,882887066.05383400,1553982,350703406.23000000,438797402.34050000,0
1613952000000,1.41480000,1.42600000,0.78000000,0.84730000,642919493.98000000,1614556799999,653939572.92590500,1141817,316400636.28000000,321674200.87676500,0
1614556800000,0.84700000,1.09000000,0.83820000,1.04890000,415622490.28000000,1615161599999,404470792.17331000,787527,208519582.09000000,202962798.99003200,0
1615161600000,1.04920000,1.24000000,1.00430000,1.06550000,401898181.11000000,1615766399999,449678933.33705500,983476,196929811.33000000,220297254.45324700,0
1615766400000,1.06590000,1.29000000,0.98220000,1.18350000,478563834.86000000,1616371199999,567714310.98208300,1275835,240411875.90000000,285412060.09280800,0
1616371200000,1.18280000,1.70920000,1.11820000,1.51670000,655916409.97000000,1616975999999,892399258.17425400,2102789,330837482.84000000,450551248.83662300,0
1616976000000,1.51630000,1.92720000,1.45650000,1.75360000,449501650.17200000,1617580799999,761225231.79891100,1649497,228343901.13200000,386949331.33316400,0
1617580800000,1.75360000,2.18250000,1.67570000,1.97090000,473673282.14900000,1618185599999,909285570.14978260,2026284,240132932.74900000,461153128.39348860,0
1618185600000,1.97140000,2.59060000,1.49790000,2.36970000,533477191.18100000,1618790399999,1107289734.35828190,2658852,271542768.20100000,564515419.66388390,0
1618790400000,2.36930000,2.54980000,1.24010000,1.33910000,690163381.30000000,1619395199999,1252472122.42169400,2786728,346065981.59000000,629422807.85931800,0
1619395200000,1.33910000,1.88740000,1.31950000,1.88190000,484977706.51000000,1619999999999,818782458.16120200,1937845,240754071.71000000,406347477.57814100,0
1620000000000,1.88190000,2.95830000,1.69010000,2.69340000,857149312.66000000,1620604799999,2013833422.14402650,3851697,435835018.56000000,1024303248.08765460,0
1620604800000,2.69290000,2.73800000,1.85660000,1.97800000,502155174.50000000,1621209599999,1129848446.92597600,2383324,249227397.73000000,560904026.49844000,0
1621209600000,1.97790000,1.97980000,0.73730000,0.91740000,775971677.65000000,1621814399999,1051421909.20037100,2897430,388398923.58000000,526536162.18146400,0
1621814400000,0.91720000,1.32880000,0.87400000,1.05500000,454130449.94000000,1622419199999,505478764.98001200,1376745,230035087.95000000,256162908.17692500,0
1622419200000,1.05490000,1.26580000,0.99770000,1.10570000,242603202.25000000,1623023999999,273366392.47713900,791102,121955976.68000000,137356571.84471100,0
1623024000000,1.10600000,1.12970000,0.85030000,0.95110000,201069527.56000000,1623628799999,193365561.33205900,574606,100392045.96000000,96640101.94414200,0
1623628800000,0.95050000,0.98880000,0.77290000,0.83250000,134208497.15000000,1624233599999,120384293.75644200,386116,67145367.03000000,60246157.72159800,0
1624233600000,0.83230000,0.83840000,0.50880000,0.62980000,289791605.13000000,1624838399999,180925178.40507200,588880,144069735.97000000,89926461.92861900,0
1624838400000,0.62990000,0.76430000,0.62450000,0.72060000,179646763.59000000,1625443199999,125749587.01675400,407035,91104684.67000000,63759394.43092800,0
1625443200000,0.72090000,0.78640000,0.66280000,0.70310000,158652375.39000000,1626047999999,113468986.46762700,355890,80235108.14000000,57404990.24480100,0
1626048000000,0.70320000,0.72200000,0.61050000,0.66110000,157071906.28000000,1626652799999,104523281.85484800,303764,79105180.55000000,52623476.89150700,0
1626652800000,0.66110000,0.67490000,0.54750000,0.66990000,172814504.07000000,1627257599999,106766182.07583200,339420,86199281.11000000,53239967.93217500,0
1627257600000,0.66980000,0.87880000,0.65720000,0.79940000,261852832.31000000,1627862399999,202831808.14434500,649517,132609711.96000000,102769955.46182200,0
1627862400000,0.79950000,0.93990000,0.77300000,0.87230000,200879932.94000000,1628467199999,171555891.74679200,562663,100006990.11000000,85422460.51806500,0
1628467200000,0.87260000,1.14000000,0.86060000,1.13280000,223463361.44000000,1629071999999,221791047.60267400,792990,111580315.26000000,110781082.61658300,0
1629072000000,1.13230000,1.16050000,0.94210000,1.13390000,208632913.55000000,1629676799999,221424865.71592100,732162,104182488.09000000,110540200.12020600,0
1629676800000,1.13390000,1.28540000,0.98930000,1.07540000,211807182.14000000,1630281599999,236739115.39846100,769225,105153855.37000000,117591996.23758400,0
1630281600000,1.07540000,1.32690000,1.00800000,1.32520000,203809003.85000000,1630886399999,234818710.46948400,867484,102148609.05000000,117744170.47412400,0
1630886400000,1.32510000,1.32810000,0.83010000,1.01180000,290313623.30000000,1631491199999,303512467.25117200,885967,142704956.12000000,149206445.88069200,0
1631491200000,1.01220000,1.06000000,0.90270000,0.97680000,145717634.00000000,1632095999999,144796649.53850000,457363,72475815.00000000,72043540.32750000,0
1632096000000,0.97660000,0.97770000,0.73080000,0.78560000,209042726.48000000,1632700799999,174780071.62945200,628025,105682417.81000000,88342506.83713900,0
1632700800000,0.78530000,0.93100000,0.70860000,0.90390000,177436277.46000000,1633305599999,141333811.31947700,461692,89369001.75000000,71194689.19227500,0
1633305600000,0.90450000,1.14670000,0.82640000,0.96480000,300050196.00000000,1633910399999,294452032.06430000,999579,149235980.00000000,146464194.55300000,0
1633910400000,0.96470000,1.04570000,0.88290000,0.93820000,235868477.00000000,1634515199999,225870698.86260000,726122,116628943.00000000,111704753.12590000,0
1634515200000,0.93860000,1.01960000,0.89670000,0.94590000,156430164.00000000,1635119999999,149549899.48110000,536380,77607394.00000000,74220854.05810000,0
1635120000000,0.94600000,1.12460000,0.78000000,1.04420000,242542077.00000000,1635724799999,231788658.09350000,976640,123394256.00000000,118015764.04490000,0
1635724800000,1.04450000,1.16940000,0.95010000,1.06330000,224164389.00000000,1636329599999,240205940.02530000,1036074,111988001.00000000,120036735.05760000,0
1636329600000,1.06330000,1.23400000,0.98390000,1.11210000,211095521.00000000,1636934399999,232136244.32450000,942372,104970828.00000000,115529839.64770000,0
1636934400000,1.11230000,1.11630000,0.89950000,0.98260000,167945287.00000000,1637539199999,166488767.92150000,602317,85608130.00000000,84833459.31120000,0
1637539200000,0.98260000,1.09550000,0.90820000,0.99120000,200843995.00000000,1638143999999,198576598.58980000,763997,101351775.00000000,100163220.11450000,0
1638144000000,0.99140000,1.09600000,0.60350000,0.73260000,260031472.95000000,1638748799999,234910830.07852000,866628,129264638.92000000,116584333.28838800,0
1638748800000,0.73300000,0.76260000,0.66110000,0.75560000,38015061.00000000,1639353599999,26990332.53140000,113700,19047531.00000000,13528111.77940000,0
