otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,2.14770000,2.30000000,2.05000000,2.10480000,222122.44000000,1609545599999,474247.93832900,3667,99048.28000000,212095.52595200,0
1609545600000,2.11640000,2.23000000,2.07420000,2.13980000,243300.39000000,1609631999999,524955.31705500,3893,120653.08000000,261256.18481100,0
1609632000000,2.13870000,2.53300000,2.10010000,2.46500000,389181.92000000,1609718399999,884214.14703300,5535,234168.69000000,534395.46888500,0
1609718400000,2.46510000,2.69000000,2.10000000,2.39350000,605444.81000000,1609804799999,1449017.88666400,8848,315500.55000000,762217.51729100,0
1609804800000,2.40810000,2.68000000,2.31240000,2.61000000,444309.12000000,1609891199999,1124763.41255100,7914,239624.24000000,609431.82016800,0
1609891200000,2.61000000,2.76460000,2.50000000,2.64400000,408742.05000000,1609977599999,1080181.44591400,6308,202420.42000000,536151.92570900,0
1609977600000,2.64520000,2.74800000,2.37010000,2.56000000,362014.74000000,1610063999999,939058.64515200,6214,203434.61000000,527777.25712600,0
1610064000000,2.56270000,2.64000000,2.30000000,2.49000000,263164.42000000,1610150399999,649349.01130900,4899,132236.57000000,327892.88375800,0
1610150400000,2.49000000,2.66990000,2.38020000,2.60330000,263107.54000000,1610236799999,665249.15878300,4497,120948.93000000,306968.62442600,0
1610236800000,2.59500000,2.87000000,2.23530000,2.48770000,382939.14000000,1610323199999,989374.16652700,6572,191721.89000000,500881.45065900,0
1610323200000,2.48770000,2.48770000,1.85400000,2.24590000,410172.32000000,1610409599999,872174.03448800,7069,180549.78000000,385466.24076800,0
1610409600000,2.23350000,2.39000000,2.00110000,2.15170000,200078.58000000,1610495999999,443501.21285300,3748,92322.89000000,205111.51572000,0
1610496000000,2.15110000,2.42900000,2.01960000,2.32260000,277667.53000000,1610582399999,612679.58575000,4560,137202.53000000,302274.63572300,0
1610582400000,2.34460000,2.58740000,2.28260000,2.40730000,231700.02000000,1610668799999,561037.33110500,4108,121009.28000000,292584.83728900,0
1610668800000,2.42000000,2.51000000,2.24020000,2.44430000,236169.31000000,1610755199999,568299.65566400,4196,113558.77000000,274511.48877400,0
1610755200000,2.44440000,2.75000000,2.38220000,2.64930000,388220.55000000,1610841599999,999209.96002600,6554,195977.52000000,505778.90476300,0
1610841600000,2.64930000,2.99600000,2.42430000,2.84030000,590883.92000000,1610927999999,1608733.69399600,9429,288251.91000000,784624.42576900,0
1610928000000,2.85410000,3.13000000,2.83400000,3.06550000,693516.28000000,1611014399999,2085174.00038000,14540,375220.54000000,1129850.22880600,0
1611014400000,3.07860000,3.29000000,2.84190000,2.88230000,608228.85000000,1611100799999,1883363.42151600,11810,316278.82000000,981106.13767900,0
1611100800000,2.88190000,2.96030000,2.55830000,2.93810000,431180.59000000,1611187199999,1190042.03831500,9361,209621.62000000,579455.47375000,0
1611187200000,2.96020000,3.00000000,2.38000000,2.46040000,366049.26000000,1611273599999,976419.14755400,8804,168162.22000000,448443.57746000,0
1611273600000,2.46100000,3.03130000,2.32000000,2.76730000,714402.16000000,1611359999999,1991635.98851700,11726,405973.02000000,1139501.90131800,0
1611360000000,2.76770000,2.87000000,2.62000000,2.72880000,308418.24000000,1611446399999,844345.71453900,7075,153904.86000000,421319.57449100,0
1611446400000,2.72860000,3.09000000,2.71740000,2.91570000,312541.64000000,1611532799999,911561.29240600,8708,153163.28000000,445853.70187900,0
1611532800000,2.91590000,3.09000000,2.74170000,2.80000000,356759.18000000,1611619199999,1059925.87607700,9030,183259.68000000,546580.66047600,0
1611619200000,2.79980000,3.04120000,2.61000000,2.98110000,298061.58000000,1611705599999,845321.61296500,8146,151081.33000000,430720.80573400,0
