otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.23050000,0.32560000,0.22370000,0.29090000,66232999.88000000,1610323199999,18332566.45158600,81786,32474483.11000000,9001142.50295500,0
1610323200000,0.29120000,0.31580000,0.22290000,0.30230000,53839331.56000000,1610927999999,14720229.55787800,68364,26543860.18000000,7261209.04751600,0
1610928000000,0.30240000,0.34380000,0.25300000,0.29490000,93325727.55000000,1611532799999,28115021.60560500,115125,46393664.07000000,13991303.74289800,0
1611532800000,0.29500000,0.33000000,0.26230000,0.30770000,82293297.67000000,1612137599999,24419924.31968000,119539,38974221.01000000,11557814.42960900,0
1612137600000,0.30780000,0.48800000,0.29190000,0.40410000,163403947.24000000,1612742399999,63023757.39787500,337445,82684781.95000000,32009747.52357500,0
1612742400000,0.40480000,0.78590000,0.40040000,0.63160000,178233753.71000000,1613347199999,102208007.59840100,388567,90408629.73000000,51965394.41937000,0
1613347200000,0.63020000,0.75000000,0.50090000,0.67970000,137395038.65000000,1613951999999,86040933.70508500,321484,72156778.28000000,45198590.08723100,0
1613952000000,0.67970000,0.68410000,0.42000000,0.45150000,85930338.27000000,1614556799999,44314206.81019000,140316,43765611.26000000,22552865.06847800,0
1614556800000,0.45200000,0.52740000,0.44900000,0.50120000,50065574.73000000,1615161599999,24408182.25490400,98173,25855866.97000000,12610831.43762300,0
1615161600000,0.50100000,0.80000000,0.48870000,0.62490000,179952735.64000000,1615766399999,113735592.07968300,426170,90444273.28000000,57155417.74525700,0
1615766400000,0.62460000,0.92000000,0.57870000,0.81520000,183125636.75000000,1616371199999,134216289.30853800,448220,94002210.64000000,69098656.81749600,0
1616371200000,0.81600000,0.83680000,0.55770000,0.67590000,203191132.61000000,1616975999999,142280724.78042800,436905,102754600.46000000,71943797.59195100,0
1616976000000,0.67590000,0.86000000,0.66700000,0.82970000,157716511.69000000,1617580799999,114262709.51619300,366096,78372215.11000000,56830313.82428600,0
1617580800000,0.82870000,1.04000000,0.70010000,0.80160000,222970615.53000000,1618185599999,186524871.46118200,605329,110594017.73000000,92542546.35867100,0
