otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1967.85000000,2100.85000000,1843.50000000,1879.53000000,12819.93228300,1610323199999,24923095.67503632,133006,6338.22801900,12333861.41436571,0
1610323200000,1877.68000000,1894.02000000,1823.99000000,1837.39000000,10030.39467200,1610927999999,18669410.54784710,116672,4981.92228400,9285310.71592692,0
1610928000000,1838.09000000,1898.78000000,1835.00000000,1858.99000000,9635.69650100,1611532799999,18016481.99378613,91821,5000.82470400,9356699.45949295,0
1611532800000,1858.51000000,1883.13000000,1841.92000000,1878.12000000,6589.85747000,1612137599999,12265295.44823660,94442,3192.22805600,5945083.22908484,0
1612137600000,1878.11000000,1886.36000000,1801.00000000,1836.06000000,11706.16526300,1612742399999,21491365.31285179,189417,5974.19636700,10967951.73194689,0
1612742400000,1836.04000000,1875.00000000,1818.00000000,1839.29000000,15235.16130400,1613347199999,28169335.92002120,172823,8063.37143300,14917462.03666718,0
1613347200000,1839.30000000,1854.54000000,1771.11000000,1823.04000000,14805.06891300,1613951999999,26835612.91317234,152559,8292.16053400,15038675.73651725,0
1613952000000,1823.05000000,1850.00000000,1730.00000000,1744.61000000,31649.15642000,1614556799999,56795145.25891245,246796,15867.52088300,28510498.62461226,0
1614556800000,1744.61000000,1768.63000000,1687.57000000,1717.20000000,13859.95809700,1615161599999,23915076.73390720,117057,6983.17353800,12059905.64653703,0
1615161600000,1718.72000000,1753.26000000,1693.84000000,1734.93000000,12230.01068600,1615766399999,21146230.08147285,90477,6327.04293500,10948702.28486964,0
1615766400000,1735.90000000,1767.92000000,1726.33000000,1746.58000000,11763.09070600,1616371199999,20550250.45737918,76566,6114.40414900,10692039.66359265,0
1616371200000,1748.25000000,1771.83000000,1713.54000000,1746.57000000,12870.92926900,1616975999999,22430004.98267528,83168,6103.68457400,10624996.49101473,0
1616976000000,1747.57000000,1806.76000000,1689.00000000,1747.87000000,12121.12605500,1617580799999,20965584.82304810,75506,6249.98734300,10812066.93074825,0
1617580800000,1747.64000000,1785.00000000,1733.93000000,1755.46000000,14328.41451000,1618185599999,25154428.66021305,75875,7471.80858200,13126178.38294100,0
1618185600000,1755.53000000,1805.99000000,1738.83000000,1799.95000000,23654.16491400,1618790399999,41903994.64181030,97715,13090.21109000,23183764.80537558,0
1618790400000,1800.40000000,1833.00000000,1770.55000000,1781.65000000,42174.14621800,1619395199999,75823769.73790599,149025,21313.89136900,38344178.60240331,0
1619395200000,1781.65000000,1804.68000000,1774.49000000,1785.98000000,22144.40242400,1619999999999,39587385.68382347,71651,11124.46158200,19893843.07725122,0
1620000000000,1784.51000000,1899.00000000,1778.68000000,1891.67000000,23818.78876300,1620604799999,43317664.04249596,83615,12470.17156400,22706596.09038046,0
1620604800000,1892.14000000,2039.52000000,1804.73000000,1944.81000000,45037.03251700,1621209599999,84432440.43946266,159727,21366.32578500,40158304.90291858,0
1621209600000,1942.08000000,2035.00000000,1845.00000000,1894.60000000,107178.21301700,1621814399999,203052573.90474262,296571,52507.63821900,99575494.79257130,0
1621814400000,1894.48000000,1939.50000000,1872.77000000,1914.16000000,52571.26726000,1622419199999,99997539.73194725,155578,25808.86265900,49124159.04428849,0
1622419200000,1914.49000000,1930.00000000,1867.26000000,1898.54000000,29833.71783800,1623023999999,56774682.78196448,88339,14556.97969500,27713122.16995439,0
1623024000000,1898.71000000,1925.00000000,1876.50000000,1881.06000000,30860.60734800,1623628799999,58489047.85661977,105641,14602.06063900,27694379.36780571,0
1623628800000,1881.99000000,1883.07000000,1760.00000000,1778.00000000,28687.10657000,1624233599999,52041189.92482794,82177,12466.14288800,22615966.85105195,0
1624233600000,1778.00000000,1802.71000000,1766.80000000,1790.49000000,34647.13487800,1624838399999,61802997.46430973,111014,16925.83211000,30205860.46910564,0
1624838400000,1791.74000000,1815.00000000,1757.58000000,1795.44000000,21958.84801300,1625443199999,39091843.35937001,64448,10169.25177500,18114673.09517116,0
1625443200000,1795.13000000,1831.36000000,1788.00000000,1811.69000000,17891.76906100,1626047999999,32335025.20122960,58237,9045.35188600,16351397.83509116,0
1626048000000,1811.69000000,1841.00000000,1797.33000000,1817.43000000,20869.88473300,1626652799999,38047956.86698577,46174,7664.16978800,13965022.14594846,0
1626652800000,1818.56000000,1834.74000000,1785.46000000,1810.17000000,21696.39895900,1627257599999,39318850.45434998,64036,11881.58901300,21531829.76148385,0
1627257600000,1810.44000000,1840.00000000,1796.88000000,1814.13000000,17446.05101600,1627862399999,31660169.59453147,63117,8476.25763800,15397231.64238092,0
1627862400000,1814.71000000,1835.93000000,1700.36000000,1731.66000000,20062.69657000,1628467199999,35767436.61557587,73740,8575.02549700,15308834.01647397,0
1628467200000,1731.66000000,1790.00000000,1718.11000000,1779.79000000,16986.73844800,1629071999999,29813372.99641453,56514,8373.02723800,14708196.42795102,0
1629072000000,1779.79000000,1802.00000000,1753.47000000,1781.70000000,13035.51743200,1629676799999,23280119.00630176,46041,6452.50484300,11529902.89006312,0
1629676800000,1781.59000000,1825.00000000,1780.85000000,1819.00000000,10608.42648100,1630281599999,19124539.30457913,33556,5154.31130000,9298406.27695431,0
1630281600000,1819.00000000,1837.96000000,1803.00000000,1828.00000000,11619.61710000,1630886399999,21156410.08760000,36383,5416.73169200,9870182.92205000,0
1630886400000,1829.00000000,1847.31000000,1778.00000000,1793.00000000,20316.27943300,1631491199999,36647700.89259323,67792,10012.12703300,18070924.90869830,0
1631491200000,1794.00000000,1813.00000000,1755.00000000,1764.00000000,15403.38880000,1632095999999,27477782.05946195,47428,7170.88548600,12802589.40635600,0
1632096000000,1764.00000000,1792.00000000,1744.00000000,1757.00000000,25168.03866700,1632700799999,44496146.24179421,70039,12237.36443300,21651992.78261900,0
1632700800000,1757.00000000,1774.00000000,1730.00000000,1771.00000000,12801.99776500,1633305599999,22454594.91660941,33734,5932.43030000,10417842.26390000,0
1633305600000,1772.00000000,1784.00000000,1730.00000000,1758.00000000,12158.80700000,1633910399999,21444134.11200000,33373,6065.90400000,10706725.12030000,0
1633910400000,1759.00000000,1810.00000000,1755.00000000,1776.00000000,13471.07750000,1634515199999,23926814.06680000,35991,6730.33730000,11965474.62500000,0
1634515200000,1776.00000000,1819.00000000,1764.00000000,1801.00000000,11847.82830000,1635119999999,21166567.83040000,32606,5812.62340000,10396248.47530000,0
1635120000000,1802.00000000,1820.00000000,1775.00000000,1779.00000000,11627.67710000,1635724799999,20865139.33110000,35725,5485.65000000,9849967.95570000,0
1635724800000,1779.00000000,1825.00000000,1762.00000000,1817.00000000,11285.16790000,1636329599999,20227573.31050000,38894,5685.70810000,10204282.40910000,0
