otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.99850000,0.99860000,0.99710000,0.99740000,3201261.87000000,1609545599999,3194764.61293700,4241,1433990.24000000,1431082.61642300,0
1609545600000,0.99750000,0.99980000,0.99630000,0.99890000,8699187.86000000,1609631999999,8683196.42998000,10754,3661645.65000000,3655350.71478400,0
1609632000000,0.99900000,1.00140000,0.99720000,0.99870000,10218805.72000000,1609718399999,10209632.71941900,15518,5213435.38000000,5209020.45016300,0
1609718400000,0.99870000,1.00480000,0.97810000,0.99940000,12237617.49000000,1609804799999,12225946.74197500,17176,5797466.71000000,5792153.33137800,0
1609804800000,0.99940000,0.99990000,0.99520000,0.99660000,11721759.99000000,1609891199999,11707032.74369600,14558,4572009.18000000,4565986.94981700,0
1609891200000,0.99660000,1.00030000,0.99500000,0.99760000,10477912.03000000,1609977599999,10452237.12457700,10481,4828466.70000000,4816837.68490500,0
1609977600000,0.99750000,1.18000000,0.99490000,0.99870000,15127499.58000000,1610063999999,15120740.14841600,13495,7097522.20000000,7097428.38564300,0
1610064000000,0.99870000,1.00260000,0.99650000,0.99920000,14788519.73000000,1610150399999,14774843.26899000,13664,6833902.83000000,6827779.79607600,0
1610150400000,0.99900000,0.99980000,0.99500000,0.99630000,12190688.54000000,1610236799999,12171503.05103700,10326,6174403.28000000,6164974.08469000,0
1610236800000,0.99630000,1.01000000,0.99520000,0.99980000,23872005.44000000,1610323199999,23831001.05911500,18950,11571144.80000000,11551431.55376100,0
1610323200000,1.00020000,1.05000000,0.99930000,0.99950000,25786929.91000000,1610409599999,25824899.87239500,23580,13500799.63000000,13522429.21080400,0
1610409600000,0.99950000,1.00490000,0.99880000,1.00060000,10703875.31000000,1610495999999,10706392.62548400,10565,5542512.00000000,5543938.86876400,0
1610496000000,1.00050000,1.00350000,0.99940000,0.99970000,13080995.07000000,1610582399999,13088798.75807500,11315,7134246.87000000,7138588.88790000,0
1610582400000,0.99980000,1.00300000,0.99880000,1.00090000,14282972.12000000,1610668799999,14285334.54705200,11110,7472895.79000000,7474166.32750900,0
1610668800000,1.00100000,1.00760000,0.99850000,0.99990000,9360262.58000000,1610755199999,9367635.04531600,9700,4871693.01000000,4875970.94077500,0
1610755200000,1.00000000,1.00300000,0.99800000,1.00000000,7108412.95000000,1610841599999,7106793.32531300,7799,4095635.04000000,4094853.05861300,0
1610841600000,1.00000000,1.00240000,0.99930000,1.00030000,7889155.98000000,1610927999999,7890287.60556700,4857,4473503.81000000,4474412.05532400,0
1610928000000,1.00030000,1.00080000,0.99810000,0.99980000,4177579.16000000,1611014399999,4177420.52279300,3031,2004333.95000000,2004343.40657400,0
1611014400000,0.99950000,1.00150000,0.99750000,1.00030000,9524035.98000000,1611100799999,9515782.79946500,6140,5119666.15000000,5115609.27937800,0
1611100800000,0.99960000,1.00240000,0.99840000,0.99940000,11381234.97000000,1611187199999,11377994.52948600,9546,7566851.91000000,7565002.61639800,0
1611187200000,0.99940000,1.03000000,0.99850000,1.00080000,9755078.52000000,1611273599999,9761933.86107700,10248,5638183.21000000,5642704.26954800,0
1611273600000,1.00080000,1.01200000,0.99830000,0.99910000,12601196.04000000,1611359999999,12598347.40293000,15488,7970751.51000000,7969059.18942300,0
1611360000000,0.99900000,0.99950000,0.99870000,0.99930000,4653969.50000000,1611446399999,4649538.17083400,4114,2742184.46000000,2739667.90993600,0
1611446400000,0.99930000,1.00100000,0.99870000,0.99890000,5485435.86000000,1611532799999,5481379.02315100,5071,3488882.20000000,3486466.09705900,0
1611532800000,0.99890000,1.00070000,0.99870000,1.00000000,5049126.99000000,1611619199999,5047422.56376800,4716,3117668.72000000,3116675.34375300,0
1611619200000,0.99990000,1.00120000,0.99870000,0.99890000,8227217.62000000,1611705599999,8222229.98808700,8954,5119246.20000000,5116321.89781000,0
1611705600000,0.99900000,1.00110000,0.99770000,0.99820000,10462091.53000000,1611791999999,10449844.56872500,7461,6750808.80000000,6743039.54885800,0
1611792000000,0.99820000,1.00070000,0.99730000,0.99740000,4751706.15000000,1611878399999,4744845.19024000,3509,2187002.64000000,2183887.60242600,0
1611878400000,0.99760000,1.00100000,0.99500000,0.99960000,16216754.31000000,1611964799999,16186003.20704300,9424,7885540.78000000,7871360.41944000,0
1611964800000,0.99960000,1.00010000,0.97200000,0.99890000,4964931.69000000,1612051199999,4962202.15760500,4704,2899461.56000000,2898197.72239500,0
1612051200000,0.99880000,1.00240000,0.99840000,0.99920000,7953699.67000000,1612137599999,7949612.55984700,4627,5204452.82000000,5201767.88122400,0
1612137600000,0.99920000,1.00090000,0.99850000,0.99960000,4669548.22000000,1612223999999,4667002.48499400,5780,2296214.19000000,2295016.32605100,0
1612224000000,0.99960000,1.00080000,0.99850000,0.99910000,6553352.54000000,1612310399999,6548803.57645500,5240,2961313.23000000,2959375.13724200,0
1612310400000,0.99910000,0.99980000,0.99800000,0.99880000,9569096.22000000,1612396799999,9557662.75826500,6609,5126348.15000000,5120358.52525700,0
1612396800000,0.99880000,0.99960000,0.93880000,0.99890000,8783852.03000000,1612483199999,8765149.24290800,6271,3666084.51000000,3661434.29382600,0
1612483200000,0.99890000,1.00100000,0.99810000,0.99900000,6723005.14000000,1612569599999,6715138.01615900,4597,3281495.04000000,3277851.37922800,0
1612569600000,0.99900000,0.99970000,0.97200000,0.99820000,7570979.20000000,1612655999999,7557229.85095900,6034,3536982.79000000,3533089.14579700,0
1612656000000,0.99830000,0.99930000,0.99780000,0.99810000,6159318.54000000,1612742399999,6151359.79440500,5633,3519799.57000000,3515367.15809500,0
1612742400000,0.99810000,1.00130000,0.98540000,0.99890000,12876621.10000000,1612828799999,12856917.83720900,8619,7534157.25000000,7523046.73963500,0
1612828800000,0.99900000,1.00100000,0.99690000,0.99870000,11815066.77000000,1612915199999,11801620.04330500,10066,8061972.23000000,8052965.82111800,0
1612915200000,0.99890000,1.00200000,0.99720000,0.99920000,10847910.72000000,1613001599999,10835661.60449800,7918,6647203.91000000,6639973.96616600,0
1613001600000,0.99920000,1.00100000,0.99220000,0.99930000,12503548.34000000,1613087999999,12493861.21429100,8355,7418547.35000000,7413079.78740700,0
1613088000000,0.99930000,1.00060000,0.99020000,0.99800000,17242360.49000000,1613174399999,17219321.14249300,14554,9146288.91000000,9134375.30588100,0
1613174400000,0.99780000,0.99990000,0.99740000,0.99890000,12080287.43000000,1613260799999,12062719.82727900,6403,8359271.96000000,8347182.14205700,0
1613260800000,0.99890000,0.99990000,0.99790000,0.99890000,11821816.45000000,1613347199999,11810793.50891000,6723,6991387.56000000,6985042.05777800,0
