otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.02333000,0.02500000,0.02316000,0.02426000,12095621.90000000,1609545599999,291549.44522300,3577,5135066.80000000,124337.36485000,0
1609545600000,0.02413000,0.02530000,0.02200000,0.02356000,25617437.50000000,1609631999999,605957.32347600,6150,11227175.90000000,266390.60790100,0
1609632000000,0.02356000,0.02692000,0.02350000,0.02642000,25565596.10000000,1609718399999,648200.45825800,7189,13692690.20000000,347788.07780300,0
1609718400000,0.02643000,0.02700000,0.02323000,0.02483000,29289021.00000000,1609804799999,743144.58558200,7669,12601823.60000000,321213.26836300,0
1609804800000,0.02485000,0.02700000,0.02400000,0.02435000,32684848.10000000,1609891199999,822906.38897800,8242,15726628.20000000,398287.74194200,0
1609891200000,0.02439000,0.02900000,0.02400000,0.02787000,56102410.20000000,1609977599999,1484178.99929000,14539,28380118.30000000,758755.88491900,0
1609977600000,0.02788000,0.03085000,0.02640000,0.02757000,58570899.00000000,1610063999999,1681301.16934600,15048,28203181.50000000,812698.37284300,0
1610064000000,0.02766000,0.03520000,0.02571000,0.03175000,53621151.40000000,1610150399999,1616224.15180800,15711,27201050.70000000,827359.18495300,0
1610150400000,0.03175000,0.03409000,0.03086000,0.03102000,59144975.30000000,1610236799999,1908019.65165100,14278,28654981.30000000,927013.10925400,0
1610236800000,0.03103000,0.03298000,0.02687000,0.02887000,47877221.90000000,1610323199999,1465161.74511800,11549,21505572.60000000,659680.40644100,0
1610323200000,0.02886000,0.02886000,0.02320000,0.02616000,28581944.70000000,1610409599999,721871.12845300,9134,11678770.10000000,295326.78419900,0
1610409600000,0.02607000,0.02750000,0.02364000,0.02550000,16593494.50000000,1610495999999,429063.09348500,5371,7522118.20000000,194642.63245100,0
1610496000000,0.02550000,0.02773000,0.02424000,0.02721000,19900624.70000000,1610582399999,521860.95912700,5507,9472447.10000000,248624.31238600,0
1610582400000,0.02722000,0.02779000,0.02579000,0.02612000,20491581.90000000,1610668799999,548515.17091700,5193,9951863.60000000,267216.71658800,0
1610668800000,0.02612000,0.02857000,0.02550000,0.02753000,28467508.00000000,1610755199999,774035.88603000,7521,12599250.50000000,343037.41886000,0
1610755200000,0.02754000,0.03223000,0.02741000,0.03061000,49299785.70000000,1610841599999,1486326.14115300,13413,24461766.40000000,739611.69271800,0
1610841600000,0.03062000,0.03116000,0.02800000,0.03049000,26033152.20000000,1610927999999,772131.73625000,7313,12336564.90000000,367670.59160900,0
1610928000000,0.03049000,0.03450000,0.02990000,0.03300000,54268353.70000000,1611014399999,1724674.19086400,14256,25643824.50000000,816779.20092300,0
1611014400000,0.03309000,0.03567000,0.03141000,0.03143000,53498298.80000000,1611100799999,1778904.85074600,13218,25010069.20000000,832699.54775800,0
1611100800000,0.03142000,0.03232000,0.02852000,0.03070000,28852227.00000000,1611187199999,872579.24710100,7747,13748822.90000000,416743.23944000,0
1611187200000,0.03069000,0.03968000,0.03000000,0.03701000,112688687.70000000,1611273599999,3853071.57138900,21086,54120203.50000000,1853113.96233000,0
1611273600000,0.03700000,0.03900000,0.03200000,0.03389000,111093195.90000000,1611359999999,3996383.39029600,23482,52054265.90000000,1880392.32810300,0
1611360000000,0.03392000,0.03780000,0.03333000,0.03671000,41763583.00000000,1611446399999,1482250.04445000,11474,18938745.70000000,675277.99986800,0
1611446400000,0.03653000,0.03677000,0.03250000,0.03447000,49806784.80000000,1611532799999,1727096.11952100,12678,23131410.10000000,802554.89648900,0
1611532800000,0.03424000,0.04256000,0.03424000,0.03829000,78339736.70000000,1611619199999,2997461.38968500,18596,40531672.90000000,1555465.42821400,0
1611619200000,0.03829000,0.04392000,0.03469000,0.04268000,72727674.00000000,1611705599999,2867646.33695400,20830,34918104.70000000,1386733.95147000,0
1611705600000,0.04268000,0.04500000,0.03720000,0.03863000,68214180.70000000,1611791999999,2741297.09165000,19656,29125425.80000000,1179201.57671700,0
1611792000000,0.03863000,0.04260000,0.03760000,0.03798000,42247818.10000000,1611878399999,1676393.92192400,12685,21957777.40000000,871712.16445500,0
1611878400000,0.03798000,0.04100000,0.03522000,0.04019000,64441478.80000000,1611964799999,2422098.51331200,18440,27466055.70000000,1038106.79355800,0
1611964800000,0.04019000,0.04300000,0.03577000,0.03788000,49242686.00000000,1612051199999,1930531.12266100,15403,23341469.30000000,916851.48089400,0
1612051200000,0.03789000,0.04100000,0.03623000,0.03960000,33311789.80000000,1612137599999,1272667.49839300,12805,16176599.80000000,620644.35619700,0
1612137600000,0.03939000,0.04000000,0.03700000,0.03773000,23797976.90000000,1612223999999,906529.61760800,9023,10577855.50000000,403364.25009800,0
1612224000000,0.03773000,0.04406000,0.03700000,0.04011000,85670261.60000000,1612310399999,3503605.22138400,22998,40515001.50000000,1655980.66581400,0
1612310400000,0.04017000,0.04820000,0.03870000,0.04713000,73439694.20000000,1612396799999,3199913.36977600,23327,39443915.00000000,1731292.37810600,0
1612396800000,0.04713000,0.05834000,0.04555000,0.04815000,174407762.00000000,1612483199999,8938008.06207300,52760,86384008.70000000,4432934.06175200,0
1612483200000,0.04809000,0.06189000,0.04772000,0.05623000,159923215.10000000,1612569599999,9061187.96873800,49131,91989874.40000000,5246027.67461500,0
1612569600000,0.05654000,0.05740000,0.04812000,0.05267000,63279907.90000000,1612655999999,3285238.14881700,28554,29347934.70000000,1528589.18475900,0
1612656000000,0.05240000,0.05500000,0.04598000,0.04994000,39343243.70000000,1612742399999,1987155.65349000,20170,17777287.40000000,898774.27315700,0
1612742400000,0.04991000,0.05767000,0.04890000,0.05490000,68124809.50000000,1612828799999,3662328.04280000,25753,33850860.20000000,1826776.36015500,0
1612828800000,0.05491000,0.06989000,0.05293000,0.06688000,128546540.60000000,1612915199999,8252844.64194900,48681,65165742.60000000,4182500.64003800,0
1612915200000,0.06696000,0.07990000,0.05630000,0.07851000,156808691.10000000,1613001599999,10624247.27086700,54141,81502034.40000000,5569924.29743700,0
1613001600000,0.07818000,0.08527000,0.07157000,0.07551000,117664922.10000000,1613087999999,9141032.22765100,51919,58019952.60000000,4522378.27362500,0
1613088000000,0.07558000,0.09180000,0.07200000,0.08425000,125326652.00000000,1613174399999,10692748.91213600,51134,62789881.70000000,5366329.50679100,0
1613174400000,0.08430000,0.10450000,0.08012000,0.09096000,100964514.44000000,1613260799999,9322029.33817780,42921,49572446.94000000,4597069.73313880,0
1613260800000,0.09097000,0.09400000,0.07700000,0.07886000,53838342.10000000,1613347199999,4567429.31659400,26536,25633319.40000000,2180881.95639700,0
1613347200000,0.07889000,0.08300000,0.06250000,0.07214000,72307634.40000000,1613433599999,5362360.90962100,31476,34239674.40000000,2531939.27027400,0
1613433600000,0.07215000,0.08380000,0.06900000,0.07328000,47133688.30000000,1613519999999,3574629.20314500,22253,23293044.00000000,1772162.17465500,0
1613520000000,0.07329000,0.08000000,0.06400000,0.07255000,51569309.00000000,1613606399999,3717038.02274200,23885,24884119.30000000,1808079.08038000,0
1613606400000,0.07295000,0.07997000,0.07246000,0.07715000,38983085.90000000,1613692799999,2979844.17045100,23434,18685128.20000000,1429570.88339300,0
1613692800000,0.07748000,0.07895000,0.07252000,0.07541000,39213465.60000000,1613779199999,2959342.29717400,20630,18797146.30000000,1422640.37815100,0
1613779200000,0.07544000,0.08134000,0.06680000,0.06939000,55635143.20000000,1613865599999,4165440.25719600,25601,27602402.50000000,2073108.01500800,0
1613865600000,0.06940000,0.07703000,0.06800000,0.07326000,30240532.70000000,1613951999999,2198025.49791000,18446,16272864.20000000,1185261.65500800,0
1613952000000,0.07326000,0.07400000,0.05306000,0.06447000,40390073.00000000,1614038399999,2617015.81397700,20308,17862021.60000000,1154582.59543700,0
1614038400000,0.06447000,0.06451000,0.04307000,0.05000000,52519688.60000000,1614124799999,2690319.87174600,18267,23927567.00000000,1229282.61117500,0
1614124800000,0.05000000,0.06645000,0.04716000,0.06178000,62461311.00000000,1614211199999,3672720.69834100,21726,27587365.60000000,1626264.20673900,0
1614211200000,0.06178000,0.06178000,0.05297000,0.05300000,37129158.60000000,1614297599999,2148861.65450800,14750,15637792.80000000,909557.27744200,0
1614297600000,0.05306000,0.05667000,0.04700000,0.05059000,22947248.80000000,1614383999999,1183498.03531900,9979,10630302.60000000,550113.86785500,0
