otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1616112000000,9.38000000,17.60000000,9.38000000,9.61300000,9479325.48100000,1616198399999,105253813.70318200,187330,4666535.24600000,52024483.17928900,0
1616198400000,9.61000000,10.10000000,8.48000000,8.50400000,2192529.69700000,1616284799999,20062133.91589400,50193,1012189.03000000,9273215.01092400,0
1616284800000,8.50900000,9.00000000,7.65300000,8.00400000,1184122.25200000,1616371199999,9643897.29147200,24288,541728.76000000,4413132.10455100,0
1616371200000,8.00700000,8.64000000,7.55100000,7.60100000,1091718.34200000,1616457599999,8912648.18294200,22510,504708.36500000,4128021.37228800,0
1616457600000,7.59000000,7.69200000,6.50000000,7.10200000,827157.99300000,1616543999999,5983566.88224700,16250,438301.91800000,3179061.88618500,0
1616544000000,7.09800000,7.33300000,6.30000000,6.31500000,1383803.04900000,1616630399999,9428247.41080800,26155,616866.13000000,4206551.23650500,0
1616630400000,6.32200000,6.66300000,5.68000000,6.04800000,1044187.04100000,1616716799999,6223553.67138600,31913,479944.62700000,2861886.75013800,0
1616716800000,6.03700000,6.96800000,5.89200000,6.81000000,1802136.96900000,1616803199999,11653838.78121200,44878,900205.39800000,5826783.63438800,0
1616803200000,6.81700000,6.87700000,6.37700000,6.50200000,608804.06600000,1616889599999,4016448.15109800,13680,273563.08200000,1804981.58638200,0
1616889600000,6.50700000,7.98000000,6.45600000,7.27800000,1787674.44500000,1616975999999,13068790.17650000,31877,857920.03000000,6266977.09678300,0
1616976000000,7.27900000,7.89900000,7.15000000,7.31700000,1081884.69800000,1617062399999,8155715.46214000,22003,500998.96200000,3781059.69851800,0
1617062400000,7.31500000,8.61100000,7.16800000,8.33500000,1106842.19400000,1617148799999,8791688.81862000,22782,575720.41300000,4571688.08798300,0
1617148800000,8.35200000,9.09900000,8.00000000,8.27900000,1112530.78800000,1617235199999,9425008.79624200,24769,558385.73800000,4749941.09733500,0
1617235200000,8.27800000,8.99900000,8.10600000,8.73100000,591046.69100000,1617321599999,5002626.51782000,14031,320385.65500000,2715195.96006100,0
1617321600000,8.73100000,10.96000000,8.73100000,9.58300000,2328608.51500000,1617407999999,22695718.29862900,60269,1235151.27700000,12033794.03499200,0
1617408000000,9.57600000,10.16600000,8.38000000,8.39000000,991045.13200000,1617494399999,9240235.41971800,20992,484760.71200000,4535629.06269000,0
1617494400000,8.38100000,9.09400000,8.31900000,9.09000000,501321.72900000,1617580799999,4322714.44304100,12362,273209.75000000,2356705.67959700,0
1617580800000,9.08400000,9.13700000,8.49400000,8.60100000,461444.86600000,1617667199999,4054170.80685300,9563,185283.35300000,1625234.34990800,0
1617667200000,8.60400000,8.68100000,8.10100000,8.22200000,473915.92800000,1617753599999,3967644.65080900,17118,173492.69500000,1448866.34634500,0
1617753600000,8.22200000,8.23600000,7.19700000,7.32800000,757747.58400000,1617839999999,5818078.01828600,12972,298874.62500000,2286938.28729500,0
1617840000000,7.32500000,8.13300000,7.30900000,7.72700000,551641.19100000,1617926399999,4280324.33640100,12285,295836.08600000,2290642.15524400,0
1617926400000,7.72700000,8.09200000,7.68000000,7.78400000,1463297.78400000,1618012799999,11580191.79502000,31407,783346.40300000,6206524.28669100,0
1618012800000,7.78400000,8.05400000,7.36500000,7.50400000,2976238.38600000,1618099199999,23100819.59231800,43588,1626599.72600000,12623633.46927500,0
1618099200000,7.50500000,8.05500000,7.38100000,7.98500000,4666051.76700000,1618185599999,35606562.02207500,42974,2685064.42800000,20501760.64371900,0
1618185600000,7.99400000,8.81300000,7.76300000,8.05000000,862354.15600000,1618271999999,7181802.80850000,16140,396034.82200000,3293417.28292900,0
1618272000000,8.05100000,8.40200000,7.92000000,8.39200000,498645.60400000,1618358399999,4064330.19433000,9525,267001.81700000,2181543.55199200,0
1618358400000,8.38800000,8.70000000,7.80000000,8.10700000,724897.33100000,1618444799999,5892645.26155700,10979,312673.66400000,2545457.58976300,0
1618444800000,8.11400000,8.73900000,8.03500000,8.39600000,441218.24400000,1618531199999,3673698.58744900,9451,225609.89100000,1878038.42156100,0
1618531200000,8.38700000,8.40100000,7.31400000,7.50800000,544950.87900000,1618617599999,4225507.86457700,10447,248425.71100000,1927864.61457300,0
1618617600000,7.50600000,7.58300000,7.29500000,7.35500000,486336.42700000,1618703999999,3620723.30593700,9395,261019.57500000,1944201.57940100,0
1618704000000,7.35500000,7.35500000,6.08600000,6.32700000,691266.35000000,1618790399999,4513487.15231100,17939,321979.05400000,2104324.10426400,0
1618790400000,6.32700000,6.67800000,5.85600000,5.95100000,595751.51600000,1618876799999,3765390.37090600,20324,289021.28200000,1832271.98508100,0
1618876800000,5.95100000,6.25000000,5.59300000,6.14300000,538970.28600000,1618963199999,3169150.27555100,10544,228714.27800000,1347400.10252600,0
1618963200000,6.14300000,6.64000000,5.88100000,6.15300000,620047.17700000,1619049599999,3881985.86601800,11311,238059.65900000,1490854.89804700,0
