otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.35040000,0.48680000,0.33120000,0.41060000,14626666.09000000,1610323199999,5880561.19673300,48312,7282450.38000000,2932336.20674300,0
1610323200000,0.41210000,0.43990000,0.33540000,0.42990000,9256217.39000000,1610927999999,3648785.84066500,38035,4393483.72000000,1740252.98637800,0
1610928000000,0.42980000,0.48600000,0.37000000,0.45440000,14001625.81000000,1611532799999,6145408.97062500,57734,7139885.82000000,3146579.60061300,0
1611532800000,0.45440000,6.40000000,0.39890000,1.01000000,69495730.43000000,1612137599999,82985181.84838600,290169,33846667.42000000,40178953.69294600,0
1612137600000,1.01180000,1.44000000,0.68220000,0.82230000,142132919.03000000,1612742399999,138608009.19163100,567123,69464846.56000000,68148717.00344900,0
1612742400000,0.82230000,2.46580000,0.80000000,1.97410000,153143329.55000000,1613347199999,249672589.20327300,758294,77212864.65000000,126267061.20890400,0
1613347200000,1.96640000,2.60000000,1.45000000,1.83790000,66376364.78000000,1613951999999,134064982.80734000,546198,32417629.47000000,65869020.70325200,0
1613952000000,1.83760000,1.85290000,0.96980000,1.17230000,42504343.65000000,1614556799999,58138829.40861900,273126,20697984.39000000,28310056.37509700,0
1614556800000,1.17320000,1.94100000,1.14090000,1.83000000,52011814.72000000,1615161599999,81177550.91706000,351427,26465750.23000000,41468378.70426300,0
1615161600000,1.82500000,2.45770000,1.63090000,2.04710000,53733738.10000000,1615766399999,103306999.55583000,497881,26833985.79000000,51753544.19878100,0
1615766400000,2.04690000,2.43350000,1.78880000,2.35640000,48816643.91000000,1616371199999,100395490.05057400,438962,24890324.66000000,51350564.14251600,0
1616371200000,2.35280000,2.80000000,1.85170000,2.09000000,49756927.64000000,1616975999999,113381050.61423700,469219,24200433.96000000,55319555.95654200,0
1616976000000,2.09010000,2.92000000,2.06320000,2.71870000,46424527.75000000,1617580799999,119176303.65183400,474373,23479068.84000000,60353745.12486300,0
1617580800000,2.71860000,3.50000000,2.40300000,2.58710000,44881098.70000000,1618185599999,124535165.07403700,438707,21989211.86000000,61141215.86374600,0
1618185600000,2.58830000,2.70140000,1.73060000,1.91790000,32557058.74000000,1618790399999,73827251.61943300,280304,15912409.30000000,36105666.42792200,0
1618790400000,1.91660000,2.00000000,1.17290000,1.86490000,74811612.56000000,1619395199999,122685510.32250100,404801,37496825.57000000,61662504.71360400,0
1619395200000,1.86480000,2.13300000,1.62440000,1.91130000,61696986.98000000,1619999999999,113149050.22537300,412288,30937147.24000000,56820508.29624300,0
1620000000000,1.91130000,3.72270000,1.65720000,2.37740000,247919377.33000000,1620604799999,682565580.38730400,1433350,125581184.58000000,346421665.21697900,0
1620604800000,2.37710000,2.49800000,1.61290000,1.76610000,50242163.28000000,1621209599999,104293212.08164600,388668,24457533.35000000,50822593.46864100,0
1621209600000,1.76620000,1.94000000,0.66410000,0.81930000,35281469.95000000,1621814399999,46041797.46750400,216751,17472806.30000000,22908890.35913700,0
1621814400000,0.81930000,1.25000000,0.79210000,0.94660000,22858710.92000000,1622419199999,23358847.21868100,120246,11074318.44000000,11312881.37754600,0
1622419200000,0.94490000,1.38500000,0.90420000,1.10000000,42723904.80000000,1623023999999,50168980.40159700,218542,21194447.42000000,24897456.27456100,0
