otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1621209600000,3.21800000,3.99000000,1.30000000,1.58200000,18177200.64000000,1621814399999,43827622.66788000,161827,8621001.14000000,21110871.00804000,0
1621814400000,1.57100000,2.64700000,1.52900000,1.69800000,14036860.25000000,1622419199999,27781253.37293000,148325,6996812.18000000,13870892.10051000,0
1622419200000,1.69800000,2.06000000,1.57600000,1.74200000,7573566.26000000,1623023999999,13888359.62589000,96905,3775830.83000000,6936316.18143000,0
1623024000000,1.74200000,1.85000000,1.25000000,1.38900000,6228487.06000000,1623628799999,9337806.93618000,62305,2914898.26000000,4368925.70268000,0
1623628800000,1.38500000,1.70300000,1.17900000,1.57100000,28349881.28000000,1624233599999,41982448.18927000,207086,14096285.33000000,20918621.58237000,0
1624233600000,1.57100000,1.61300000,0.88000000,1.00300000,13648576.28000000,1624838399999,15294947.84108000,99656,6320488.41000000,7053900.35906000,0
1624838400000,1.00300000,1.50100000,0.97100000,1.36100000,22446135.76000000,1625443199999,27116940.09776000,141959,10766938.63000000,13005255.01412000,0
1625443200000,1.36200000,1.45500000,1.12000000,1.17200000,12581482.08000000,1626047999999,15992142.58851000,80619,6112160.06000000,7802728.69915000,0
1626048000000,1.17000000,1.18600000,0.93800000,0.96800000,7529723.57000000,1626652799999,7852480.17381000,46497,3675685.80000000,3851597.58556000,0
1626652800000,0.96800000,0.99600000,0.80000000,0.99000000,8615070.09000000,1627257599999,7905096.01632000,53373,4231844.24000000,3889997.61557000,0
1627257600000,0.99000000,1.26000000,0.95000000,1.13600000,14644017.91000000,1627862399999,16120036.91476000,99468,7051367.36000000,7776451.18371000,0
1627862400000,1.13400000,1.93300000,1.10800000,1.47500000,46331028.03000000,1628467199999,69698346.71109000,264943,23137715.13000000,34873038.11407000,0
1628467200000,1.47400000,1.65000000,1.39000000,1.56800000,16797347.92000000,1629071999999,25562566.57249000,126372,8202127.18000000,12500212.90687000,0
1629072000000,1.57200000,2.49000000,1.56800000,1.85600000,53831838.86000000,1629676799999,108045183.38387000,392317,26258973.22000000,52726926.98293000,0
1629676800000,1.85700000,2.33000000,1.68300000,1.86300000,24386333.99000000,1630281599999,48717907.61023000,223545,11665680.82000000,23382085.30835000,0
1630281600000,1.86300000,2.23200000,1.76100000,2.06500000,20522520.79000000,1630886399999,40842878.48171000,181977,9946070.69000000,19843155.28427000,0
1630886400000,2.06400000,2.28500000,1.38000000,1.85500000,16288345.84000000,1631491199999,30984014.48278000,163243,7976489.58000000,15229648.25691000,0
1631491200000,1.85600000,1.94900000,1.62000000,1.73700000,12311341.20000000,1632095999999,22403146.12070000,109987,6432545.90000000,11722833.88790000,0
1632096000000,1.73800000,1.73900000,1.35500000,1.50000000,13030435.55000000,1632700799999,20084242.91027000,90768,6470950.39000000,9975855.79190000,0
1632700800000,1.49900000,1.98600000,1.41000000,1.84700000,12312123.90000000,1633305599999,20915869.66220000,100328,6091834.30000000,10365740.20140000,0
1633305600000,1.84300000,2.19900000,1.77000000,2.03200000,14632030.90000000,1633910399999,29414634.21380000,131995,7321175.40000000,14739383.40570000,0
1633910400000,2.02800000,4.28000000,1.94000000,2.84400000,95363246.95000000,1634515199999,288171148.24207000,984813,47493754.55000000,143245664.45938000,0
1634515200000,2.84400000,3.55000000,2.56400000,2.86200000,33552464.60000000,1635119999999,98802765.74830000,363826,17288147.50000000,50956187.73080000,0
1635120000000,2.85900000,2.92400000,2.45700000,2.57200000,14532699.30000000,1635724799999,39313394.96760000,156752,6922674.90000000,18778327.91720000,0
1635724800000,2.57100000,3.44000000,2.48600000,3.22400000,16213844.60000000,1636329599999,48746277.74030000,193150,8127555.50000000,24480233.95290000,0
1636329600000,3.22500000,3.40000000,2.85900000,3.13100000,11332814.40000000,1636934399999,35727029.87920000,110363,5666602.30000000,17880964.11480000,0
1636934400000,3.13100000,3.38200000,2.64000000,3.11900000,8335679.80000000,1637539199999,25013005.15360000,85523,4251800.70000000,12827989.54420000,0
1637539200000,3.11400000,3.90000000,3.01200000,3.77800000,11157159.90000000,1638143999999,39484028.51810000,129477,5794863.40000000,20526683.13990000,0
1638144000000,3.77600000,4.40000000,3.02800000,3.26500000,10241133.82000000,1638748799999,38535724.59043000,131697,5005085.12000000,18885459.35153000,0
1638748800000,3.26600000,4.20000000,2.87800000,3.81900000,5432433.40000000,1639353599999,19774774.70020000,69994,2514926.20000000,9180117.11130000,0
