otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1617580800000,7.03000000,9.69900000,3.86200000,4.47000000,69128073.41700000,1618185599999,371855166.15838000,992911,34442330.36200000,186443734.09355500,0
1618185600000,4.47500000,5.60000000,2.83000000,3.38900000,78363897.95400000,1618790399999,331931721.53091600,896930,39427561.32200000,167653563.67781100,0
1618790400000,3.39000000,3.80000000,1.75900000,2.51100000,67975310.30300000,1619395199999,196435077.61163300,582240,33592438.18700000,97183048.84362900,0
1619395200000,2.50900000,3.60000000,2.44500000,3.31100000,51644299.40800000,1619999999999,168199222.06315100,485426,25930284.03600000,84539889.91777900,0
1620000000000,3.31200000,3.57900000,2.74600000,3.03900000,48003661.39800000,1620604799999,148946445.97594500,414388,24417507.47100000,75801658.33769300,0
1620604800000,3.04000000,3.05700000,2.12500000,2.34900000,37381867.63600000,1621209599999,96544181.09105100,305867,19300035.41600000,49895508.02403200,0
1621209600000,2.34900000,2.37800000,1.05600000,1.45700000,55647945.38100000,1621814399999,99669472.19050300,331370,28476659.82700000,50870185.38674600,0
1621814400000,1.45600000,1.97400000,1.25600000,1.65600000,33242933.03800000,1622419199999,55312187.17344300,212025,17600532.26300000,29337927.97259900,0
1622419200000,1.65500000,1.77300000,1.49200000,1.62400000,19534806.33900000,1623023999999,32230705.27217100,126609,9925790.38800000,16382503.68503100,0
1623024000000,1.62400000,1.76000000,1.20000000,1.31500000,22317815.86300000,1623628799999,32225721.25366300,134418,11002160.85600000,15902607.72110100,0
1623628800000,1.31400000,1.39500000,0.96900000,1.05300000,16483700.20300000,1624233599999,19978296.74518200,97614,8176327.86200000,9948347.38379100,0
1624233600000,1.05400000,1.05900000,0.57800000,0.83100000,33198717.99100000,1624838399999,25752955.59828300,132426,16305559.08500000,12627351.57890500,0
1624838400000,0.82900000,1.19900000,0.79700000,1.15200000,35052449.85600000,1625443199999,36016281.60345500,194983,17785896.56500000,18302856.72521000,0
1625443200000,1.15300000,1.33000000,1.01500000,1.12500000,27828805.19500000,1626047999999,31819775.92766400,167267,13875411.14800000,15866044.46363700,0
1626048000000,1.12500000,1.40900000,0.95600000,1.12700000,55718415.45300000,1626652799999,65130604.02452400,291362,28459637.55300000,33293528.39493500,0
1626652800000,1.12500000,1.16000000,0.85600000,1.10200000,25053566.47600000,1627257599999,25017500.92090400,133041,12665726.43800000,12643387.95116700,0
1627257600000,1.10300000,1.67900000,1.08700000,1.43900000,41744981.01500000,1627862399999,55531053.02301000,244781,21819742.48500000,29044204.48645800,0
1627862400000,1.43700000,1.75000000,1.36000000,1.56900000,30399130.66600000,1628467199999,46981846.01297300,171422,15339217.52300000,23744563.39272300,0
1628467200000,1.57100000,1.91000000,1.47800000,1.82700000,24818669.47000000,1629071999999,42924799.67945600,149729,13383439.00000000,23171267.77671900,0
1629072000000,1.82700000,2.07100000,1.59400000,1.81400000,24188504.57500000,1629676799999,43362841.11444800,158272,12502303.25500000,22447432.32820300,0
1629676800000,1.81500000,2.10000000,1.63700000,1.76700000,20894564.28400000,1630281599999,38952717.27685000,139926,10849665.51400000,20290531.32134800,0
1630281600000,1.76900000,2.24500000,1.66100000,2.10000000,26993813.35400000,1630886399999,52103646.23148600,166080,14425961.61900000,27905268.97531000,0
1630886400000,2.10300000,2.18800000,1.40100000,1.62200000,19180561.58100000,1631491199999,33139219.19208300,129824,9844947.74200000,16978684.05711400,0
1631491200000,1.61900000,1.74900000,1.42900000,1.64000000,12011211.20000000,1632095999999,19246926.79510000,81044,6091981.70000000,9761043.96370000,0
1632096000000,1.63900000,1.64100000,1.16500000,1.28200000,21793146.40200000,1632700799999,28698044.01246700,125621,11011656.46700000,14496630.37106900,0
1632700800000,1.28200000,1.58200000,1.10400000,1.51700000,26483045.53400000,1633305599999,35319266.12557800,137074,13409418.05800000,17884923.75420000,0
1633305600000,1.51400000,1.90900000,1.38700000,1.72400000,31409985.70000000,1633910399999,52097681.49810000,187822,15896182.40000000,26407875.65110000,0
1633910400000,1.72100000,1.75000000,1.42600000,1.46500000,16058556.90000000,1634515199999,25609653.11790000,97886,8109734.30000000,12959033.94940000,0
1634515200000,1.46600000,1.61400000,1.42500000,1.51800000,10167104.10000000,1635119999999,15221315.81440000,58243,5257013.10000000,7875493.26020000,0
1635120000000,1.52000000,1.65900000,1.29400000,1.56900000,18565082.70000000,1635724799999,27237631.97050000,102390,9686496.20000000,14223728.25490000,0
1635724800000,1.56700000,1.95000000,1.46400000,1.55500000,23772540.40000000,1636329599999,37832564.23050000,115243,11945626.40000000,19050752.86530000,0
1636329600000,1.55900000,1.63300000,1.43200000,1.50200000,11934875.30000000,1636934399999,18392139.39590000,62003,5968903.10000000,9207172.36400000,0
1636934400000,1.50200000,1.64900000,1.20000000,1.47500000,16790084.00000000,1637539199999,24637449.12220000,83896,8345852.20000000,12251427.95430000,0
1637539200000,1.47500000,1.51400000,1.28100000,1.36600000,12948256.80000000,1638143999999,18309345.73580000,72638,6706273.50000000,9500721.10480000,0
1638144000000,1.36600000,1.41800000,0.83200000,1.04500000,11940679.24100000,1638748799999,14892001.80267100,67578,6149113.48700000,7630945.47512400,0
1638748800000,1.04300000,1.28000000,0.96200000,1.15400000,10689040.90000000,1639353599999,12009658.39390000,49873,5647450.00000000,6347142.93580000,0
