otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1627257600000,100.40000000,179.90000000,100.40000000,175.30000000,1055606.87600000,1627862399999,147623810.10170000,416015,533801.20700000,74994052.00480000,0
1627862400000,175.60000000,191.70000000,142.80000000,152.00000000,820987.04700000,1628467199999,135433546.22080000,415359,408806.50900000,67677537.13880000,0
1628467200000,152.10000000,166.80000000,142.40000000,165.00000000,324561.49200000,1629071999999,50082131.85950000,159717,160820.62200000,24872341.26850000,0
1629072000000,164.90000000,202.90000000,149.20000000,183.20000000,578794.05400000,1629676799999,104539703.08580000,305615,287925.94800000,52039558.27960000,0
1629676800000,183.30000000,213.30000000,178.30000000,189.90000000,349027.46600000,1630281599999,67543753.25370000,187976,174458.87700000,33866038.04140000,0
1630281600000,189.90000000,331.80000000,176.10000000,319.20000000,780418.01000000,1630886399999,194502735.61810000,513284,411589.97100000,103538915.39030000,0
1630886400000,319.20000000,430.00000000,279.10000000,357.30000000,1987617.27500000,1631491199999,686559280.49400000,1611166,995653.66600000,345512627.64130000,0
1631491200000,357.40000000,418.20000000,322.30000000,347.00000000,558336.00700000,1632095999999,203263904.29780000,508463,272307.16300000,99342959.56380000,0
1632096000000,347.40000000,350.00000000,255.10000000,294.00000000,744069.55300000,1632700799999,224750790.31800000,537859,364452.06000000,110353653.71660000,0
1632700800000,294.00000000,344.60000000,267.20000000,316.60000000,310389.06000000,1633305599999,93447820.05860000,258887,153727.91900000,46468324.06900000,0
1633305600000,316.70000000,330.10000000,285.10000000,294.00000000,278350.69500000,1633910399999,84301013.62980000,236793,134248.36800000,40731873.77580000,0
1633910400000,294.60000000,329.60000000,264.20000000,300.80000000,287847.34500000,1634515199999,84102277.81530000,269237,144008.69800000,42192548.74400000,0
1634515200000,300.80000000,307.00000000,279.00000000,290.60000000,222430.72500000,1635119999999,64822865.43520000,182232,105025.67000000,30644360.86460000,0
1635120000000,290.20000000,326.00000000,270.40000000,283.60000000,289442.34900000,1635724799999,85590989.54200000,240830,137381.61500000,40732122.37750000,0
1635724800000,283.20000000,284.00000000,236.20000000,262.30000000,319502.03000000,1636329599999,84848389.12450000,226406,156342.35300000,41617308.18600000,0
1636329600000,262.50000000,315.00000000,248.10000000,269.90000000,459296.61300000,1636934399999,126607768.88080000,348291,230221.72800000,63626441.98340000,0
1636934400000,269.70000000,293.80000000,219.90000000,226.00000000,318338.02500000,1637539199999,79082003.55670000,221385,154478.98900000,38430297.83780000,0
1637539200000,226.20000000,268.00000000,193.60000000,207.60000000,411899.16500000,1638143999999,92152023.70080000,243716,205944.23600000,46108499.78090000,0
1638144000000,207.60000000,217.70000000,150.80000000,172.80000000,496049.59000000,1638748799999,95657669.24530000,255959,237656.85700000,45834925.00970000,0
1638748800000,173.00000000,179.50000000,145.10000000,174.00000000,124139.95900000,1639353599999,20016426.07490000,57587,57801.51000000,9317945.30170000,0
