otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1616371200000,0.68000000,1.30000000,0.57500000,0.58770000,91544062.47000000,1616457599999,66073282.31205000,182771,42685770.09000000,30903004.31521100,0
1616457600000,0.58600000,0.58900000,0.52500000,0.54150000,18846820.52000000,1616543999999,10451805.20490900,50360,8744670.54000000,4852982.32870500,0
1616544000000,0.54100000,0.82990000,0.52000000,0.64210000,86114471.34000000,1616630399999,60494124.03182900,160689,42912967.07000000,30275786.62702100,0
1616630400000,0.64450000,0.71000000,0.52120000,0.55870000,45343543.75000000,1616716799999,27125155.31974000,106071,21681875.10000000,13014378.40220100,0
1616716800000,0.55860000,0.65900000,0.55510000,0.65340000,21866521.34000000,1616803199999,13178078.30514200,54624,10714054.06000000,6477412.16229800,0
1616803200000,0.65340000,0.76810000,0.61750000,0.67860000,32570743.83000000,1616889599999,22300360.28181600,78453,15811708.49000000,10867534.06107700,0
1616889600000,0.67860000,0.76000000,0.66120000,0.67690000,17171077.39000000,1616975999999,11983293.07293900,49979,7883878.58000000,5521621.86212000,0
1616976000000,0.67450000,0.75020000,0.63470000,0.72980000,19889139.51000000,1617062399999,13797499.79826300,53761,8159845.00000000,5706839.98961800,0
1617062400000,0.72980000,0.87680000,0.72840000,0.75300000,28064226.65000000,1617148799999,22513411.05289100,82989,13971425.01000000,11246290.41396100,0
1617148800000,0.75310000,0.84890000,0.74370000,0.82240000,19555388.03000000,1617235199999,15833096.72389400,55973,9611232.92000000,7818571.66070500,0
1617235200000,0.82460000,0.84460000,0.67350000,0.71630000,19513711.86000000,1617321599999,14501251.27475600,55117,8491379.32000000,6333861.43433700,0
1617321600000,0.71620000,0.73430000,0.68200000,0.69110000,11087307.23000000,1617407999999,7803338.78711000,32505,5143846.37000000,3625722.97606900,0
1617408000000,0.69120000,0.69390000,0.60140000,0.60290000,19740246.59000000,1617494399999,12619072.87865000,50263,8615263.81000000,5516525.78223000,0
1617494400000,0.60190000,0.65850000,0.58710000,0.63210000,13094403.39000000,1617580799999,8249167.89551700,32426,6517569.17000000,4113812.43049200,0
1617580800000,0.63210000,0.69990000,0.59300000,0.66870000,15475383.56000000,1617667199999,9906470.80824700,38011,7859260.62000000,5037532.41638600,0
1617667200000,0.66680000,0.73820000,0.61320000,0.63230000,14039631.78000000,1617753599999,9497678.15333400,38695,6649006.17000000,4511105.01406500,0
1617753600000,0.63160000,0.64800000,0.58700000,0.60010000,10359276.55000000,1617839999999,6406441.68740000,22906,4806792.60000000,2974466.08016000,0
1617840000000,0.60280000,0.71030000,0.59450000,0.68750000,16813438.58000000,1617926399999,11296105.96976800,44961,8683793.82000000,5855959.55053100,0
1617926400000,0.68860000,0.99000000,0.66000000,0.95100000,56558673.19000000,1618012799999,46433654.30832300,127700,31085349.82000000,25506105.40145900,0
1618012800000,0.95110000,0.98970000,0.76860000,0.80420000,68786466.55000000,1618099199999,60482198.96567200,173547,33413922.97000000,29443778.00398500,0
1618099200000,0.80500000,0.87620000,0.77830000,0.86520000,16910063.91000000,1618185599999,13827871.00519200,53173,8548235.62000000,7006982.09710600,0
1618185600000,0.86690000,0.93090000,0.76230000,0.81540000,23733675.09000000,1618271999999,20103534.44662300,73355,11172592.24000000,9486474.01821500,0
1618272000000,0.81510000,0.83000000,0.73020000,0.74580000,19226726.84000000,1618358399999,14888090.55619300,73827,8700824.96000000,6745322.34876900,0
1618358400000,0.74580000,0.83890000,0.68960000,0.81070000,17292154.89000000,1618444799999,12988603.51697700,49399,8370692.29000000,6325721.85373800,0
1618444800000,0.81100000,0.84000000,0.71650000,0.74230000,21667653.81000000,1618531199999,16480888.80133800,60156,9667516.46000000,7353490.71080500,0
1618531200000,0.74230000,0.74920000,0.67470000,0.68060000,12640576.29000000,1618617599999,8935716.37657500,38419,5460234.06000000,3870912.77422800,0
1618617600000,0.68000000,0.73600000,0.66200000,0.66380000,13980786.60000000,1618703999999,9705989.51207400,43680,6365638.65000000,4429814.67100000,0
1618704000000,0.66590000,0.67540000,0.53000000,0.64140000,16962116.45000000,1618790399999,10276669.79827500,47672,7819188.40000000,4733058.52404800,0
1618790400000,0.64040000,0.65160000,0.55320000,0.57740000,10121998.17000000,1618876799999,6094100.24537900,28689,4812271.86000000,2901873.68789400,0
1618876800000,0.57630000,0.62480000,0.48430000,0.60110000,31425526.89000000,1618963199999,17748088.50906200,66406,15822784.33000000,8930468.40752200,0
1618963200000,0.60130000,0.61750000,0.52750000,0.53320000,34079648.86000000,1619049599999,19462168.67243600,133201,16562330.50000000,9468804.04553700,0
1619049600000,0.53330000,0.55400000,0.45450000,0.47140000,30663760.69000000,1619135999999,15915899.44541200,109188,14772180.57000000,7673007.44004900,0
1619136000000,0.47130000,0.47880000,0.38410000,0.45060000,18109215.72000000,1619222399999,7731455.13594700,41946,8987576.80000000,3841105.15509100,0
1619222400000,0.45000000,0.45100000,0.39870000,0.41140000,38631093.93000000,1619308799999,16061890.84968400,67444,18970667.90000000,7882634.15989300,0
1619308800000,0.41140000,0.47640000,0.39770000,0.43860000,52598273.31000000,1619395199999,22602229.74170400,82555,25916838.00000000,11134841.79632200,0
1619395200000,0.43860000,0.53250000,0.43020000,0.50080000,62480956.29000000,1619481599999,30394364.33567700,114174,31772150.77000000,15447861.32487900,0
1619481600000,0.50070000,0.56480000,0.49500000,0.54900000,28254466.37000000,1619567999999,14809393.89018300,80351,13963298.95000000,7320956.09412500,0
1619568000000,0.55030000,0.58200000,0.47500000,0.54800000,22870310.69000000,1619654399999,12094617.31807900,49186,11152610.99000000,5910118.19680000,0
1619654400000,0.54820000,0.54940000,0.48110000,0.50560000,24051395.07000000,1619740799999,12202641.87973300,40020,12457210.89000000,6316263.82282100,0
1619740800000,0.50560000,0.52700000,0.49420000,0.50370000,16614381.91000000,1619827199999,8464672.10622100,33957,8004228.92000000,4083378.68491400,0
1619827200000,0.50360000,0.54000000,0.49600000,0.52600000,15570262.97000000,1619913599999,7993918.38497800,31805,7505989.97000000,3858036.77568000,0
1619913600000,0.52600000,0.61000000,0.49600000,0.60000000,48598468.71000000,1619999999999,27286331.74769500,91639,24563188.56000000,13820453.42016400,0
1620000000000,0.59990000,0.69000000,0.59010000,0.62810000,59697053.55000000,1620086399999,37853584.97834200,133352,30613412.62000000,19436944.97585600,0
1620086400000,0.62590000,0.68800000,0.56170000,0.61830000,41638777.29000000,1620172799999,26495427.36356300,96798,21004393.75000000,13391906.21722500,0
1620172800000,0.61790000,0.66000000,0.60000000,0.64780000,18045299.15000000,1620259199999,11385258.38843500,43978,8730122.51000000,5519314.65019000,0
1620259200000,0.64770000,0.70000000,0.60830000,0.62750000,22413149.92000000,1620345599999,14716604.56126600,59275,11299580.21000000,7438481.55193900,0
1620345600000,0.62690000,0.64150000,0.59000000,0.60330000,11453626.97000000,1620431999999,7006666.89490700,35095,5367987.43000000,3288702.67556100,0
1620432000000,0.60300000,0.62020000,0.59320000,0.61160000,8160960.01000000,1620518399999,4943763.48240000,22901,3583495.37000000,2173889.43370200,0
1620518400000,0.61170000,0.66090000,0.60100000,0.64070000,15608656.07000000,1620604799999,9877386.95885700,43922,7419713.27000000,4703529.44575300,0
1620604800000,0.63990000,0.64930000,0.50900000,0.55500000,13680924.73000000,1620691199999,8064096.57108600,37283,6704108.00000000,3936080.85644700,0
1620691200000,0.55290000,0.56310000,0.52280000,0.56000000,9543249.49000000,1620777599999,5191574.19157200,24036,4468498.71000000,2435130.55597200,0
1620777600000,0.56000000,0.58780000,0.44800000,0.44960000,18155432.45000000,1620863999999,9733539.22621000,42705,8746267.84000000,4692900.53801000,0
