otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,16.55300000,17.09500000,16.20000000,16.82400000,30149.00600000,1609545599999,503140.39860300,6460,14762.94200000,246575.44498700,0
1609545600000,16.82500000,17.55600000,16.32400000,16.71200000,56223.42000000,1609631999999,950793.79623800,9942,27472.10800000,465176.33718900,0
1609632000000,16.71300000,17.58500000,16.00000000,17.06600000,76191.75900000,1609718399999,1277505.47456500,13861,39209.10300000,660839.14081600,0
1609718400000,17.13300000,18.36300000,15.50000000,16.42400000,81307.09900000,1609804799999,1379859.91733600,18233,39209.17900000,666563.12147500,0
1609804800000,16.45700000,17.27700000,15.49000000,17.12900000,41933.08500000,1609891199999,702107.92046100,10676,21313.09300000,357609.62227600,0
1609891200000,17.18300000,20.33100000,16.98600000,18.80500000,123603.57200000,1609977599999,2321217.37107400,22479,58806.49400000,1106606.29273500,0
1609977600000,18.80700000,22.17700000,18.00000000,19.38400000,154155.00400000,1610063999999,3094880.60695800,25538,73777.87900000,1483059.46943300,0
1610064000000,19.31300000,19.79000000,17.16300000,18.28500000,87056.16300000,1610150399999,1611039.17668400,14942,43932.34700000,814162.99906900,0
1610150400000,18.26900000,20.29000000,17.48200000,20.21400000,84552.25600000,1610236799999,1597140.05771600,14070,47111.93200000,891403.59183500,0
1610236800000,20.21400000,23.60000000,18.87500000,20.76400000,164810.03500000,1610323199999,3500057.60134900,28268,82025.51000000,1742210.81136100,0
1610323200000,20.69900000,20.87700000,16.33300000,18.02300000,67727.25100000,1610409599999,1223065.66983900,11314,32596.04800000,592455.92467500,0
1610409600000,18.00700000,18.75500000,16.70300000,17.56600000,26380.39600000,1610495999999,473525.59231200,5394,12201.53000000,218990.37697700,0
1610496000000,17.65900000,19.18800000,17.04000000,19.08100000,21295.14300000,1610582399999,390333.87320300,5215,10552.17700000,193299.26176300,0
1610582400000,19.08100000,19.69700000,18.45400000,19.37000000,52200.51400000,1610668799999,1002710.01712200,12707,26832.74300000,515559.68194700,0
1610668800000,19.42900000,20.32200000,17.80800000,18.97700000,76580.75400000,1610755199999,1491224.75884000,17489,37686.07500000,734307.36035400,0
1610755200000,18.97700000,20.30000000,18.97600000,19.98800000,72128.47000000,1610841599999,1434541.05004300,15888,37046.54900000,736729.01503600,0
1610841600000,19.99000000,21.79100000,18.36900000,21.79100000,76689.09500000,1610927999999,1548636.11469000,15870,37694.12100000,762488.33936200,0
1610928000000,21.79100000,22.65000000,20.54900000,21.74600000,69370.19900000,1611014399999,1472843.00860900,15041,36873.25600000,782938.64661500,0
1611014400000,21.80000000,22.77700000,20.86600000,21.40100000,50825.06700000,1611100799999,1101890.73766600,12737,24414.84100000,529681.96520500,0
1611100800000,21.36700000,22.00000000,19.72000000,21.73300000,82002.85800000,1611187199999,1713230.15107000,17733,37587.86200000,784065.07449900,0
1611187200000,21.68200000,21.68200000,17.70100000,17.92000000,43695.16400000,1611273599999,860899.22901500,11333,18844.97200000,370511.45012900,0
1611273600000,17.92100000,19.55000000,16.50200000,18.98900000,55684.74300000,1611359999999,1003227.00761900,10314,26048.08400000,469455.92831300,0
1611360000000,19.01900000,20.99700000,18.22700000,19.65100000,37830.58800000,1611446399999,728936.18260900,10642,17740.17000000,343001.80321000,0
1611446400000,19.69900000,20.31500000,19.23000000,19.81800000,36926.23900000,1611532799999,727920.04825100,8458,17190.49400000,339063.84978500,0
1611532800000,19.81700000,20.50400000,19.16500000,19.23200000,30152.97900000,1611619199999,605016.67518500,7007,11169.55500000,224000.19186100,0
1611619200000,19.23900000,19.48900000,18.20000000,19.18200000,19822.59600000,1611705599999,373547.08472400,5154,8848.52300000,167306.74824700,0
1611705600000,19.18200000,19.27500000,17.06300000,17.63600000,25946.21800000,1611791999999,467209.18409600,6019,12582.80700000,226870.47995200,0
1611792000000,17.54800000,19.31100000,17.46700000,19.15600000,32022.98800000,1611878399999,599291.50600000,7582,16714.15200000,313024.50485000,0
1611878400000,19.15500000,20.00000000,18.40800000,19.22400000,43710.97700000,1611964799999,839785.76239100,10735,21570.83700000,413765.66350100,0
1611964800000,19.17200000,19.28200000,18.30000000,18.65600000,29497.04300000,1612051199999,550352.72652000,7192,13352.29500000,249349.99026300,0
1612051200000,18.64700000,19.07500000,17.70200000,18.24200000,37903.13700000,1612137599999,695288.51414700,7970,17756.45400000,326524.30392100,0
1612137600000,18.17400000,18.56300000,17.70400000,18.45500000,29875.87600000,1612223999999,543708.17756700,6413,13981.11300000,254730.11330800,0
1612224000000,18.44400000,19.19400000,18.36000000,19.10100000,25160.42500000,1612310399999,472420.09748700,6945,13163.48300000,247336.84599200,0
1612310400000,19.10800000,21.22900000,18.87100000,21.10300000,96831.28300000,1612396799999,1944952.29489900,18643,43460.25500000,872914.60358500,0
1612396800000,21.10300000,22.30000000,19.45500000,21.19100000,196779.21600000,1612483199999,4117087.12541200,36484,82523.24000000,1728302.79777900,0
1612483200000,21.19100000,25.80000000,21.14800000,23.11200000,388417.03600000,1612569599999,9001037.15972800,58050,187954.85400000,4362076.80145800,0
1612569600000,23.18700000,24.24200000,21.34200000,21.99800000,139406.68000000,1612655999999,3093981.36911800,25814,63699.40600000,1413255.45186100,0
1612656000000,22.00000000,22.19200000,19.75300000,21.22100000,94250.51800000,1612742399999,1997025.10842700,19408,45535.19100000,966656.60890100,0
1612742400000,21.29500000,23.48300000,20.72200000,22.45400000,114111.33300000,1612828799999,2528252.70900600,21715,55719.08500000,1236792.78051900,0
1612828800000,22.45300000,24.10000000,22.10000000,23.91200000,133396.59800000,1612915199999,3079863.28632800,26756,64287.18800000,1485643.00771700,0
