otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,17.13300000,23.60000000,15.49000000,20.76400000,737417.21400000,1610323199999,14206302.65157800,134206,366176.43400000,7061615.90818400,0
1610323200000,20.69900000,21.79100000,16.33300000,21.79100000,393001.62300000,1610927999999,7564037.07604900,83877,194609.24300000,3753829.96011400,0
1610928000000,21.79100000,22.77700000,16.50200000,19.81800000,376334.85800000,1611532799999,7608946.36483900,86258,178699.67900000,3618718.71775600,0
1611532800000,19.81700000,20.50400000,17.06300000,18.24200000,219055.93800000,1612137599999,4130491.45306300,51659,101994.62300000,1920841.88259500,0
1612137600000,18.17400000,25.80000000,17.70400000,21.22100000,970721.03400000,1612742399999,21170211.33263800,171757,450317.54200000,9845273.22288400,0
1612742400000,21.29500000,35.00000000,20.72200000,33.70600000,2402663.84700000,1613347199999,72294166.22287000,308405,1239946.41900000,37564190.61637100,0
1613347200000,33.66400000,45.21200000,27.36100000,36.12800000,1092077.80500000,1613951999999,37286317.18879200,212131,558548.81600000,19144030.13241900,0
1613952000000,36.18600000,37.20700000,20.53200000,24.62300000,759978.07500000,1614556799999,20568038.28669500,112680,378452.25000000,10207500.93901500,0
1614556800000,24.74300000,34.10000000,24.74200000,30.88500000,671916.78800000,1615161599999,20281206.94460000,107377,331165.67400000,9986809.94158500,0
1615161600000,30.97400000,35.23500000,29.66500000,30.97400000,414454.89300000,1615766399999,13354829.24659400,89847,220335.73100000,7106228.42554800,0
1615766400000,30.97400000,35.04800000,27.72400000,30.46800000,1541994.29800000,1616371199999,47590889.33328800,162887,811778.00600000,25030109.90270900,0
1616371200000,30.42400000,41.54000000,29.57300000,36.01300000,2034726.53700000,1616975999999,73551151.59682100,332383,1051442.22600000,38086472.11489300,0
1616976000000,35.99800000,45.35600000,34.84200000,40.86200000,1133109.28500000,1617580799999,45743543.41958700,233731,608964.97500000,24617284.39546700,0
1617580800000,40.86200000,60.12300000,38.51500000,49.13100000,2036072.33300000,1618185599999,96912564.03666300,388703,1002370.07300000,47799640.10225200,0
1618185600000,49.13800000,54.21300000,39.08500000,44.06000000,800169.01500000,1618790399999,39189047.90517200,190459,420495.91600000,20615787.61153200,0
1618790400000,44.06000000,48.00000000,26.73100000,29.03500000,1107541.93600000,1619395199999,39154487.05477300,153689,657790.98200000,23453796.76696500,0
1619395200000,29.18900000,43.00000000,28.94800000,40.77700000,746213.63600000,1619999999999,27945405.21650900,133171,405460.62200000,15164272.80132900,0
1620000000000,40.72600000,53.00000000,37.71700000,45.60000000,988147.38200000,1620604799999,44745820.62733600,220101,512318.49500000,23223277.08525700,0
1620604800000,45.52800000,46.91000000,31.33500000,33.58800000,845060.99000000,1621209599999,32495322.21320900,160523,443472.59300000,17081862.40197200,0
1621209600000,33.58900000,33.99900000,15.46000000,18.65900000,1577256.97400000,1621814399999,41322486.14369200,189373,827975.04000000,21652430.21381300,0
1621814400000,18.79900000,28.78400000,18.20300000,23.15900000,1576475.22300000,1622419199999,40753565.68134300,136732,810043.07300000,20944826.68742600,0
1622419200000,23.04100000,27.50400000,21.72900000,24.52100000,613067.41100000,1623023999999,15183640.25550100,83698,324941.51600000,8045007.83036400,0
1623024000000,24.58900000,25.44100000,17.68100000,19.28900000,996611.11800000,1623628799999,20835725.95754100,95293,510969.33800000,10676200.11763500,0
1623628800000,19.28400000,21.87000000,14.87400000,16.07800000,842250.61700000,1624233599999,15667027.87863000,82893,426668.31400000,7912996.14070300,0
1624233600000,16.06300000,16.17400000,9.45000000,12.43500000,1049375.06000000,1624838399999,12764475.40379400,70131,530983.70000000,6462741.84373200,0
1624838400000,12.43000000,17.03800000,12.23600000,16.74100000,995045.12400000,1625443199999,14363923.72198400,88785,546290.53400000,7908433.70523300,0
1625443200000,16.71400000,18.61200000,14.33700000,15.40600000,721138.41500000,1626047999999,11316597.83023600,54692,368298.01300000,5788765.90065500,0
1626048000000,15.40300000,25.55300000,14.60800000,18.08800000,3730801.30400000,1626652799999,73988908.88683200,352525,1875978.09100000,37187720.39131400,0
1626652800000,18.08800000,36.71900000,13.88400000,31.46700000,4117060.69300000,1627257599999,103803431.54649500,469504,2084412.72500000,52582196.40080600,0
1627257600000,31.50900000,34.20000000,23.82200000,23.96200000,2007466.14800000,1627862399999,54006971.06246100,274602,1020246.79600000,27489189.04630200,0
1627862400000,23.96900000,29.44700000,23.81200000,25.44500000,1492652.50700000,1628467199999,39036611.71320600,181304,742046.85800000,19415792.18087400,0
1628467200000,25.36900000,30.30200000,25.24800000,27.98600000,1103173.96400000,1629071999999,30395918.82320100,131518,574319.12200000,15841722.97461500,0
1629072000000,28.05100000,31.22300000,25.14600000,29.84200000,782715.99600000,1629676799999,21855407.76984500,115304,399047.80600000,11149222.51136800,0
