otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.79230000,1.45210000,0.71500000,1.16640000,31925062.61000000,1610323199999,35726328.36600100,240956,16367794.85000000,18348939.60889400,0
1610323200000,1.16720000,1.24230000,0.82630000,1.20800000,23545899.65000000,1610927999999,24112978.38269100,158094,11867052.20000000,12148033.28153000,0
1610928000000,1.20470000,1.41220000,1.03960000,1.29460000,24837911.24000000,1611532799999,30890721.94955800,206557,12764736.63000000,15903439.28639800,0
1611532800000,1.29460000,1.52940000,1.12200000,1.19150000,21600216.40000000,1612137599999,27669434.59139100,219060,11268635.98000000,14456698.31353200,0
1612137600000,1.19310000,1.67490000,1.15600000,1.47720000,30348704.42000000,1612742399999,43610083.82604800,272173,16204570.29000000,23311809.95721500,0
1612742400000,1.48020000,2.59720000,1.43430000,2.29910000,41631063.29000000,1613347199999,80432467.67778600,429608,21511175.22000000,41582417.79565800,0
1613347200000,2.30650000,2.50520000,1.76090000,2.19780000,36124101.32000000,1613951999999,77217992.18250300,378954,18693146.45000000,40067065.40896500,0
1613952000000,2.19760000,2.20200000,1.15300000,1.29830000,34676551.13000000,1614556799999,52631442.50196000,265774,17366200.30000000,26375250.92980400,0
1614556800000,1.30250000,1.94500000,1.29440000,1.94340000,22723006.77000000,1615161599999,36421170.17906100,217567,11848589.25000000,19019245.12548700,0
1615161600000,1.94490000,2.59450000,1.76690000,2.22000000,32399214.49000000,1615766399999,71753058.69058100,393629,17436690.03000000,38511105.57542200,0
1615766400000,2.22040000,2.82990000,2.06110000,2.16550000,22988134.57000000,1616371199999,54871303.99301000,298085,11462242.88000000,27325337.55865900,0
1616371200000,2.16250000,2.45000000,1.70150000,2.36380000,25238850.26000000,1616975999999,52946102.74652900,270623,12987706.62000000,27289857.26026000,0
1616976000000,2.36580000,3.07750000,2.21650000,3.05340000,26811124.63000000,1617580799999,70332470.01863400,343526,14415829.19000000,37848832.54885900,0
1617580800000,3.05180000,3.22310000,2.60800000,2.74880000,16619807.84000000,1618185599999,48311410.39839100,252950,8200079.87000000,23859723.23647200,0
1618185600000,2.75080000,3.05170000,1.85000000,2.36740000,21102750.60000000,1618790399999,54766300.60506200,318084,10662513.26000000,27774458.50616000,0
1618790400000,2.36750000,3.02870000,1.74580000,2.13600000,42945369.70000000,1619395199999,104281318.27603400,486013,21291696.50000000,51626737.92894800,0
1619395200000,2.13850000,3.46990000,2.10230000,3.42230000,43070120.20000000,1619999999999,124777485.13474600,556685,21151652.23000000,61503545.45436200,0
1620000000000,3.42950000,11.87700000,3.13940000,10.03660000,188768665.80000000,1620604799999,1121476194.01381700,2549746,96921010.71000000,576166053.75279600,0
1620604800000,10.05350000,16.50000000,6.50000000,7.89920000,226318745.76000000,1621209599999,2352730384.91503600,4254312,112443806.91000000,1171655712.35514900,0
1621209600000,7.89510000,8.93670000,3.10000000,5.33570000,120221530.82000000,1621814399999,789757264.35416600,2153867,59967409.32000000,394902119.99483800,0
1621814400000,5.33700000,6.42920000,4.16940000,4.62150000,48615947.83000000,1622419199999,262995747.72698100,766286,24399482.79000000,132116366.65543700,0
1622419200000,4.62160000,5.88000000,4.36120000,4.73530000,31765157.13000000,1623023999999,163147676.78902600,519013,16113664.94000000,82810940.47529000,0
1623024000000,4.73590000,4.92020000,2.99390000,3.39810000,19585249.39000000,1623628799999,72707955.00219600,262799,10068711.80000000,37267446.81022300,0
1623628800000,3.40590000,4.61740000,3.09660000,3.42740000,41593807.85000000,1624233599999,162372622.33602800,594414,21449411.18000000,83894789.80950900,0
1624233600000,3.42740000,3.45310000,2.19460000,2.89790000,23911673.78000000,1624838399999,65351999.98772400,257854,11863389.51000000,32478353.37279600,0
1624838400000,2.89760000,3.19990000,2.66480000,2.97520000,15096065.03000000,1625443199999,43913260.48202600,192256,7430804.35000000,21628064.34761400,0
1625443200000,2.97000000,3.74790000,2.66970000,3.02280000,30152872.84000000,1626047999999,95237100.52974100,387383,15268437.68000000,48338161.22687100,0
1626048000000,3.02350000,3.07770000,2.39410000,2.43960000,11357167.33000000,1626652799999,30481981.47193700,153571,5575822.57000000,14967096.09627800,0
1626652800000,2.43950000,2.70000000,2.06360000,2.53050000,11456803.31000000,1627257599999,27242940.73274500,143865,5728772.67000000,13628420.40563700,0
1627257600000,2.53110000,3.85720000,2.45020000,3.36030000,33411009.02000000,1627862399999,106825302.78567800,440193,16936479.90000000,54202692.70339900,0
1627862400000,3.36030000,3.94690000,3.14450000,3.44230000,22721546.70000000,1628467199999,79917544.87221800,318275,11620036.79000000,40883522.87757800,0
1628467200000,3.44230000,4.35000000,3.30390000,4.11160000,20317668.30000000,1629071999999,79194452.78176900,314678,10407077.18000000,40572562.30951700,0
1629072000000,4.10870000,5.25000000,3.88470000,5.15020000,32006775.57000000,1629676799999,144141956.01396900,537551,16318004.37000000,73604355.57706000,0
1629676800000,5.15550000,5.53930000,4.22100000,4.44100000,21208083.17000000,1630281599999,104198409.22175000,385579,11022928.01000000,54290892.81824200,0
