otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1637971200000,6.10000000,7.94500000,2.50000000,7.47000000,5385361.76000000,1638057599999,38388799.33790000,72851,2750473.28000000,19634373.72962000,0
1638057600000,7.47000000,7.82700000,6.08300000,6.94800000,2991578.89000000,1638143999999,20379037.12942000,33016,1446379.17000000,9880009.60408000,0
1638144000000,6.96800000,7.22000000,6.33300000,6.78800000,1362160.41000000,1638230399999,9156488.62431000,20534,613112.95000000,4126373.92105000,0
1638230400000,6.79500000,6.82400000,6.13800000,6.26800000,1126567.79000000,1638316799999,7297526.22819000,16126,509162.94000000,3303987.44401000,0
1638316800000,6.27600000,6.36000000,5.14500000,5.40100000,3006782.57000000,1638403199999,17018068.03981000,41587,1412209.58000000,7971151.54637000,0
1638403200000,5.40700000,5.74100000,4.92000000,5.61700000,2336301.60000000,1638489599999,12357488.39882000,25632,1019391.02000000,5410507.08671000,0
1638489600000,5.61600000,6.78200000,4.82800000,5.10000000,4233336.02000000,1638575999999,24636038.35295000,50614,2139381.70000000,12430041.25868000,0
1638576000000,5.10600000,6.07400000,3.88000000,5.26600000,5800485.01000000,1638662399999,30009392.98060000,61334,3076576.11000000,15899584.13424000,0
1638662400000,5.26800000,5.85300000,4.37400000,4.85300000,2819506.64000000,1638748799999,14466894.14465000,39251,1357178.02000000,6965757.06491000,0
1638748800000,4.86100000,5.00000000,3.88800000,4.89100000,4072639.63000000,1638835199999,17930651.35828000,30315,1976333.87000000,8673706.47828000,0
