otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.04130000,0.05460000,0.03750000,0.04476000,1015029705.40000000,1610323199999,46608613.60284300,198878,494268362.60000000,22755378.92526400,0
1610323200000,0.04474000,0.07040000,0.03835000,0.06418000,893085933.00000000,1610927999999,44211735.99732200,168093,447091180.10000000,22394620.42861700,0
1610928000000,0.06410000,0.07560000,0.05102000,0.06647000,894772575.20000000,1611532799999,55292285.55448100,200956,424842632.00000000,26392371.84181400,0
1611532800000,0.06639000,0.06650000,0.05400000,0.05729000,589671567.00000000,1612137599999,34461460.78734700,151145,266382686.20000000,15599957.25642600,0
1612137600000,0.05728000,0.08000000,0.05556000,0.07277000,725166447.50000000,1612742399999,48927487.65438600,195832,360752716.50000000,24405111.87084600,0
1612742400000,0.07280000,0.12879000,0.07261000,0.10241000,968720968.60000000,1613347199999,95504683.12330800,346931,488321696.00000000,48082177.37743500,0
1613347200000,0.10242000,0.14771000,0.08675000,0.11979000,961541915.90000000,1613951999999,118544417.64235400,476417,471110003.10000000,58273028.38760100,0
1613952000000,0.11959000,0.13042000,0.08301000,0.09079000,774498328.10000000,1614556799999,76818102.99680200,338113,356518161.30000000,35409810.09598000,0
1614556800000,0.09088000,0.13781000,0.08990000,0.12107000,782924527.70000000,1615161599999,87619442.18330500,409881,389264686.90000000,43677868.66274200,0
1615161600000,0.12106000,0.25000000,0.11400000,0.22524000,1355622573.70000000,1615766399999,227684786.57450700,852229,678211971.30000000,114313781.54329100,0
1615766400000,0.22507000,0.24900000,0.16735000,0.20486000,1074152137.40000000,1616371199999,210896723.74666900,729071,516900301.60000000,101526078.38043000,0
1616371200000,0.20493000,0.21800000,0.13500000,0.17346000,878732738.30000000,1616975999999,146351500.59525500,489575,445157785.70000000,74069907.15503900,0
1616976000000,0.17357000,0.23450000,0.16800000,0.19960000,850462261.80000000,1617580799999,166239726.17330900,572527,422210929.60000000,82753941.52253800,0
1617580800000,0.19979000,0.21499000,0.15539000,0.18617000,644532219.70000000,1618185599999,121184579.27005800,436880,314560068.70000000,59206302.32650000,0
1618185600000,0.18599000,0.22000000,0.15853000,0.17343000,710610448.60000000,1618790399999,135936461.06106900,459697,342988582.30000000,65858536.62346800,0
1618790400000,0.17343000,0.18127000,0.11700000,0.12609000,647725474.10000000,1619395199999,95985930.75875800,354131,314891325.90000000,46885750.79930500,0
1619395200000,0.12613000,0.17364000,0.12518000,0.16066000,487356966.50000000,1619999999999,75002170.42520700,305670,244614061.80000000,37655492.71363600,0
1620000000000,0.16072000,0.17770000,0.14777000,0.15291000,495468918.20000000,1620604799999,80423801.05610400,336500,238963217.80000000,38885485.57397600,0
1620604800000,0.15291000,0.15633000,0.11120000,0.11950000,573467980.40000000,1621209599999,74731972.43368600,329952,273814622.00000000,35675190.04663000,0
1621209600000,0.11927000,0.12430000,0.04900000,0.05621000,840376747.60000000,1621814399999,69955561.39007300,329677,398106477.40000000,33318056.52210400,0
1621814400000,0.05621000,0.09699000,0.05454000,0.07606000,819927215.40000000,1622419199999,63067222.33381000,341748,402537099.90000000,31023324.01886500,0
1622419200000,0.07610000,0.08559000,0.07081000,0.07668000,380807252.10000000,1623023999999,29944570.43042900,174604,187465622.10000000,14758246.36557000,0
1623024000000,0.07659000,0.07866000,0.06194000,0.07040000,322054962.80000000,1623628799999,22533271.13827200,143983,156402586.40000000,10960094.76425400,0
1623628800000,0.07040000,0.08312000,0.05903000,0.06377000,472300432.60000000,1624233599999,34337904.36277200,185292,248497546.30000000,18141009.45794700,0
1624233600000,0.06382000,0.06418000,0.04498000,0.05250000,429582332.50000000,1624838399999,22636464.03400600,169474,208432182.30000000,10971712.10195300,0
1624838400000,0.05240000,0.07250000,0.05097000,0.06655000,588357690.60000000,1625443199999,36928739.68852100,187465,309493009.30000000,19474099.89410300,0
1625443200000,0.06652000,0.07400000,0.06106000,0.06697000,399674104.10000000,1626047999999,26803744.98909800,134366,201750594.10000000,13561643.58359600,0
1626048000000,0.06697000,0.06855000,0.05812000,0.06022000,224111328.20000000,1626652799999,13776904.52210300,68294,112239755.40000000,6907432.82729900,0
1626652800000,0.06020000,0.06579000,0.05206000,0.06484000,142168881.90000000,1627257599999,8435590.24987400,54472,71443556.90000000,4251492.49657000,0
1627257600000,0.06487000,0.08288000,0.06390000,0.07504000,447150603.80000000,1627862399999,32371590.22307500,163211,217650622.60000000,15769148.15255500,0
1627862400000,0.07504000,0.09274000,0.07088000,0.08126000,323501170.10000000,1628467199999,26632543.19870700,131481,160100517.20000000,13200712.92005500,0
1628467200000,0.08134000,0.10500000,0.07987000,0.09913000,638004766.90000000,1629071999999,60116194.63895900,201351,322587756.70000000,30434751.50315500,0
1629072000000,0.09904000,0.11990000,0.09288000,0.10936000,780821976.90000000,1629676799999,80401121.03546100,303770,383246827.60000000,39536069.69471900,0
1629676800000,0.10936000,0.11744000,0.09208000,0.10776000,614806107.60000000,1630281599999,63478849.90719500,219969,300368466.80000000,31034092.09059100,0
1630281600000,0.10761000,0.17761000,0.10107000,0.17050000,1334677104.90000000,1630886399999,179099452.66261400,607442,679904197.00000000,91419361.05424000,0
1630886400000,0.17053000,0.36490000,0.17012000,0.25445000,4553760099.00000000,1631491199999,1185991882.23830500,3096563,2270124756.90000000,592381402.07190000,0
1631491200000,0.25459000,0.29000000,0.22392000,0.23399000,806184132.30000000,1632095999999,201212024.26771900,675649,394319730.90000000,98615842.79718700,0
1632096000000,0.23394000,0.23500000,0.14515000,0.16407000,1083898221.60000000,1632700799999,191768634.21038500,591002,516430999.70000000,91355963.02813100,0
1632700800000,0.16418000,0.22682000,0.14167000,0.18985000,1274141990.80000000,1633305599999,228327617.92515700,677716,624683453.70000000,112224930.11248800,0
1633305600000,0.19001000,0.23960000,0.16617000,0.19866000,1372737255.60000000,1633910399999,271145842.97076400,851523,675270471.30000000,133790427.19427800,0
1633910400000,0.19866000,0.22500000,0.18998000,0.20272000,722419788.90000000,1634515199999,149753841.21953600,559910,346519044.10000000,71921006.25826100,0
1634515200000,0.20272000,0.20582000,0.17655000,0.18058000,466417222.70000000,1635119999999,88776170.99817800,333976,211649969.00000000,40315442.50524100,0
1635120000000,0.18040000,0.19969000,0.16883000,0.18365000,564515964.20000000,1635724799999,104473758.76840500,334986,277402119.20000000,51423907.45681500,0
1635724800000,0.18365000,0.23500000,0.17564000,0.20176000,644574815.70000000,1636329599999,128311046.25441400,429735,315908511.10000000,63052774.51626900,0
1636329600000,0.20176000,0.27541000,0.19122000,0.22488000,1084276409.40000000,1636934399999,249799823.05035100,784777,542912217.40000000,125196914.66657800,0
1636934400000,0.22488000,0.46626000,0.19642000,0.41523000,3783990234.70000000,1637539199999,1149289785.45798100,2980783,1894858760.40000000,577721390.35081300,0
1637539200000,0.41517000,0.45983000,0.27082000,0.32925000,2560567190.30000000,1638143999999,952461291.82105300,2498175,1242893036.30000000,462852545.06713700,0
1638144000000,0.32947000,0.36487000,0.22887000,0.24433000,1634431431.30000000,1638748799999,505090751.48505200,1467389,800317501.70000000,248182407.23112400,0
1638748800000,0.24449000,0.26946000,0.20457000,0.25865000,284488377.90000000,1639353599999,66344316.13693700,200366,141263348.80000000,33017281.36119900,0
