otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.03241000,0.04977000,0.02531000,0.04281000,5670977868.90000000,1610323199999,219208849.68818400,896917,2856538834.90000000,110639986.27613200,0
1610323200000,0.04281000,0.04564000,0.03091000,0.04013000,4701736978.30000000,1610927999999,184256350.46983900,675425,2355854970.00000000,92566311.07728500,0
1610928000000,0.04014000,0.04941000,0.03110000,0.03901000,4054721424.50000000,1611532799999,166619235.46866400,591561,1986612848.30000000,81782519.33049300,0
1611532800000,0.03901000,0.04062000,0.03086000,0.03363000,3203036282.80000000,1612137599999,112502493.95726200,426815,1577858406.10000000,55509149.88392300,0
1612137600000,0.03358000,0.04650000,0.03220000,0.03775000,3653390937.60000000,1612742399999,143853901.26440000,576820,1790019968.50000000,70561834.86476600,0
1612742400000,0.03779000,0.07860000,0.03669000,0.06221000,6156135983.90000000,1613347199999,350741140.77033700,1090742,3174168887.20000000,181131691.10180900,0
1613347200000,0.06225000,0.06678000,0.04660000,0.05522000,3751010814.90000000,1613951999999,217493392.74693600,732202,1835327192.00000000,106692134.12028000,0
1613952000000,0.05522000,0.05922000,0.03505000,0.05285000,5034121584.00000000,1614556799999,239978419.53714900,777399,2491069032.80000000,119206927.67060800,0
1614556800000,0.05291000,0.07510000,0.05200000,0.07433000,3171063967.40000000,1615161599999,194193600.74391400,604032,1644399212.50000000,100855553.22817400,0
1615161600000,0.07433000,0.08294000,0.06455000,0.06813000,2920027997.70000000,1615766399999,210342704.88895300,634876,1446920428.40000000,104329262.64229400,0
1615766400000,0.06812000,0.09978000,0.06538000,0.09478000,3700845720.30000000,1616371199999,310140286.37272200,812644,1896270654.50000000,159019509.26080000,0
1616371200000,0.09477000,0.09697000,0.06700000,0.08363000,2526606767.80000000,1616975999999,205311560.14324800,567261,1283914351.00000000,104515316.54282800,0
1616976000000,0.08363000,0.09753000,0.07856000,0.08802000,2261542981.90000000,1617580799999,198938523.87441400,554710,1176552002.90000000,103531951.44672900,0
1617580800000,0.08800000,0.09400000,0.07367000,0.08620000,2739832129.30000000,1618185599999,230155435.44699000,670694,1412296145.20000000,118663352.81388200,0
1618185600000,0.08620000,0.11900000,0.07728000,0.09467000,4182073248.10000000,1618790399999,402573352.40271800,1133802,2124041958.10000000,204567381.48713100,0
1618790400000,0.09458000,0.10585000,0.06304000,0.06744000,4926959599.00000000,1619395199999,409045062.54488400,1044334,2459711878.10000000,204594541.23331100,0
1619395200000,0.06744000,0.09495000,0.06632000,0.08699000,3522905322.40000000,1619999999999,301650220.03340500,791948,1798258644.20000000,154062980.94653500,0
