otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.16900000,1.43000000,1.15040000,1.28740000,10823650.70000000,1609545599999,14371411.06070300,51217,5497024.99000000,7298918.00688100,0
1609545600000,1.29080000,1.40100000,1.21810000,1.29190000,6368796.63000000,1609631999999,8351737.39323900,33103,2810807.92000000,3694139.14590300,0
1609632000000,1.29190000,1.52000000,1.28560000,1.48390000,7398328.67000000,1609718399999,10628087.25759700,36770,3902369.51000000,5595384.92116700,0
1609718400000,1.48860000,1.59600000,1.30000000,1.59290000,8245704.53000000,1609804799999,12092458.16864300,47715,4036526.42000000,5948108.86732900,0
1609804800000,1.59040000,1.66080000,1.50180000,1.58260000,7099880.00000000,1609891199999,11280484.62001500,38924,3896393.96000000,6201429.75070700,0
1609891200000,1.58460000,1.65000000,1.46340000,1.59160000,7978591.92000000,1609977599999,12199008.54915100,35730,4634673.43000000,7088137.85147000,0
1609977600000,1.59630000,1.61980000,1.34330000,1.46120000,7027110.99000000,1610063999999,10489791.63193100,35862,3945277.20000000,5900153.44228600,0
1610064000000,1.46450000,1.46910000,1.16800000,1.34600000,6842014.57000000,1610150399999,9181495.53211400,32120,3620841.95000000,4835302.77509700,0
1610150400000,1.34990000,1.60170000,1.31210000,1.56740000,4660055.38000000,1610236799999,6905052.80510600,25975,2236302.92000000,3320664.98630700,0
1610236800000,1.56730000,1.66000000,1.34110000,1.45940000,5163199.49000000,1610323199999,7781143.17124400,32813,2498733.94000000,3779369.55288300,0
1610323200000,1.45930000,1.46000000,1.12000000,1.30910000,8163655.41000000,1610409599999,10304962.73899400,40985,3860221.15000000,4871434.17331200,0
1610409600000,1.30500000,1.42940000,1.23470000,1.29130000,5491662.55000000,1610495999999,7333628.59271700,26546,2874714.27000000,3836425.68431400,0
1610496000000,1.29000000,1.89000000,1.20710000,1.80800000,15587155.42000000,1610582399999,25283796.77063300,81515,8000476.67000000,12907689.27403800,0
1610582400000,1.80690000,1.96030000,1.70840000,1.90530000,6882219.87000000,1610668799999,12561456.59522400,50990,3448647.65000000,6300999.39258800,0
1610668800000,1.90530000,1.98600000,1.64410000,1.84360000,6196530.38000000,1610755199999,11413089.12767000,36679,2980679.58000000,5500381.36747200,0
1610755200000,1.85460000,2.18100000,1.85220000,1.96000000,5810191.16000000,1610841599999,11456188.80296500,36811,3117017.53000000,6147291.75331700,0
1610841600000,1.96460000,2.03000000,1.80100000,1.95330000,4534342.53000000,1610927999999,8717025.51240100,32594,2249600.76000000,4329480.07509800,0
1610928000000,1.95840000,2.08620000,1.85130000,2.07250000,3391213.89000000,1611014399999,6723756.56351100,24906,1811389.84000000,3596701.87559800,0
1611014400000,2.07210000,2.20790000,1.95240000,1.99150000,5642491.17000000,1611100799999,11823685.64218300,32101,3005215.02000000,6324790.86949800,0
1611100800000,1.99150000,2.05360000,1.79430000,2.01560000,5586662.31000000,1611187199999,10731441.74550500,32527,2757467.86000000,5308766.56587100,0
1611187200000,2.01770000,2.03650000,1.59900000,1.64550000,5655905.92000000,1611273599999,10028933.00452500,34274,2786917.56000000,4960342.69848100,0
1611273600000,1.64760000,2.17260000,1.55390000,2.13150000,6986577.51000000,1611359999999,13504006.29253600,54267,3519317.11000000,6837224.61107500,0
1611360000000,2.12820000,2.56600000,2.08820000,2.37000000,8054813.06000000,1611446399999,19073538.06779000,80130,4082135.15000000,9672247.27130900,0
1611446400000,2.36710000,2.64000000,2.34580000,2.59630000,4532840.01000000,1611532799999,11265031.51193400,36560,2349185.69000000,5836630.34513600,0
1611532800000,2.59860000,2.63670000,2.23000000,2.37770000,5182929.73000000,1611619199999,12578345.22220400,41106,2290460.36000000,5565034.71634500,0
1611619200000,2.37770000,2.47720000,2.19220000,2.40900000,4643020.63000000,1611705599999,10936351.76677300,43606,2318175.89000000,5464527.44870900,0
1611705600000,2.40940000,2.55610000,2.17510000,2.53230000,5178911.29000000,1611791999999,12234559.60250900,46604,2474716.45000000,5875803.43354000,0
1611792000000,2.53230000,3.40000000,2.48480000,3.16070000,11624802.58000000,1611878399999,34708402.92211000,102551,6067669.77000000,18033013.67629200,0
1611878400000,3.16670000,3.64930000,3.03600000,3.63290000,7424798.28000000,1611964799999,24335004.37507600,58908,3885432.77000000,12762283.46961700,0
1611964800000,3.63580000,4.01900000,3.51100000,3.88060000,6634454.45000000,1612051199999,25109827.53819300,51926,3347298.85000000,12685371.56070200,0
