otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,1.48860000,1.66080000,1.16800000,1.45940000,47016556.88000000,1610323199999,69929434.47820400,249139,24868749.82000000,37073167.22607900,0
1610323200000,1.45930000,2.18100000,1.12000000,1.95330000,52665757.32000000,1610927999999,87070148.14060400,306120,26531357.61000000,43893701.72013900,0
1610928000000,1.95840000,2.64000000,1.55390000,2.59630000,39850503.87000000,1611532799999,83150392.82798400,294765,20311628.23000000,42536704.23696800,0
1611532800000,2.59860000,4.03860000,2.17510000,3.61100000,46637507.55000000,1612137599999,141662263.53875500,391318,23019825.86000000,70045778.50270700,0
1612137600000,3.61120000,4.32900000,3.01640000,3.79000000,44330424.89000000,1612742399999,165702628.48944500,445902,21463352.34000000,80464837.07639700,0
1612742400000,3.79040000,5.01440000,3.52330000,3.96420000,41173638.94000000,1613347199999,178597471.82511600,435326,20547624.97000000,89371092.09161800,0
1613347200000,3.96770000,5.77000000,3.33880000,4.77490000,44036924.10000000,1613951999999,194730350.03439600,395677,21965967.56000000,97698074.32021700,0
1613952000000,4.77680000,5.70000000,3.05000000,4.35000000,49779230.75000000,1614556799999,222424967.87044100,471212,24565970.92000000,110292827.35125900,0
1614556800000,4.35800000,6.20000000,4.34610000,5.69460000,27274974.72000000,1615161599999,147971164.11235500,286982,13994218.28000000,76029848.74164300,0
1615161600000,5.69040000,6.76600000,5.35000000,5.55000000,20582985.64000000,1615766399999,124995548.78998300,237301,9867314.55000000,60059778.94153800,0
1615766400000,5.55350000,6.04000000,5.21580000,5.63010000,15075054.38000000,1616371199999,84842636.06637500,175739,7400794.56000000,41744588.26349700,0
1616371200000,5.63380000,6.49990000,4.50000000,6.15850000,21277867.59000000,1616975999999,114997029.70989800,238722,10729988.17000000,58103283.64693800,0
1616976000000,6.15700000,10.42000000,6.12040000,10.35750000,30052025.26000000,1617580799999,246497657.52111000,479473,15716296.20000000,128565649.28788400,0
1617580800000,10.34280000,13.00000000,8.84320000,11.00520000,31085710.76000000,1618185599999,327625983.31653400,576342,15578935.74000000,164439293.98157300,0
1618185600000,11.00620000,17.06110000,10.44960000,16.60830000,45309974.65000000,1618790399999,639574782.84581800,1084804,22882719.14000000,324622164.19197700,0
1618790400000,16.56290000,16.85880000,10.64400000,11.51200000,40194534.82700000,1619395199999,535275998.57081800,783414,19704725.34900000,262568274.13654100,0
1619395200000,11.52400000,16.16610000,11.32700000,14.54300000,26620939.89100000,1619999999999,380269788.17597700,634635,13519569.75400000,193083500.76051200,0
1620000000000,14.54300000,19.30000000,14.53100000,17.90500000,30477590.77200000,1620604799999,536164829.86562000,759093,15291654.45700000,269171974.12838200,0
1620604800000,17.91600000,20.95000000,15.72600000,19.45000000,30528076.93200000,1621209599999,555036546.22223600,823520,14701012.62300000,267961402.94789100,0
1621209600000,19.45100000,21.28000000,6.00000000,7.77000000,93570756.50300000,1621814399999,1108208662.01325000,1688307,44516445.06800000,528584413.83874300,0
1621814400000,7.77600000,14.87800000,7.67600000,11.03600000,82794001.18100000,1622419199999,928224730.28638900,1294779,41224515.32400000,461666142.71029800,0
1622419200000,11.01700000,13.72200000,10.18600000,10.81300000,38746402.72000000,1623023999999,455454242.74315800,624807,18763638.15100000,220716783.30426300,0
1623024000000,10.79700000,11.25800000,6.60000000,8.32800000,56552879.81800000,1623628799999,483472630.24151500,708914,26928589.94500000,230247719.05175700,0
1623628800000,8.33600000,10.50000000,6.88000000,8.35400000,52582343.91000000,1624233599999,452523270.81442900,746176,26113005.02100000,224632577.01444400,0
1624233600000,8.35800000,8.47400000,4.48000000,6.10100000,95626366.21700000,1624838399999,562799069.96931300,939946,46521129.25000000,273710182.36064900,0
1624838400000,6.10700000,7.16000000,5.55400000,6.25000000,53012091.06600000,1625443199999,334574302.27778400,520807,25720512.35500000,162774963.80041100,0
1625443200000,6.24500000,7.69800000,5.78700000,6.28800000,49523973.38300000,1626047999999,330680874.49360500,541452,24110523.77600000,161249906.10221700,0
1626048000000,6.29000000,6.70000000,3.96100000,4.09500000,52169862.31800000,1626652799999,263628361.69770300,533184,24874884.74500000,126071555.11831500,0
1626652800000,4.09800000,4.82000000,3.01000000,3.50700000,143430269.49200000,1627257599999,544022546.96466500,1190649,67592667.65900000,256929089.26608800,0
1627257600000,3.50500000,6.76500000,3.49200000,5.98000000,158598171.07000000,1627862399999,794637923.86468900,1580240,78588437.47500000,393190907.53472900,0
1627862400000,5.98200000,8.40000000,5.77000000,6.69700000,95237811.55800000,1628467199999,700884317.61348900,1270263,47532842.20400000,350283002.14518400,0
1628467200000,6.70100000,8.77900000,6.40000000,8.41600000,77111147.37800000,1629071999999,568320076.77267300,1295927,38760648.27300000,285825936.54537600,0
1629072000000,8.41600000,11.73000000,7.80800000,10.58000000,75076775.89500000,1629676799999,703513241.05212900,1428352,37544956.71900000,351843408.48147500,0
1629676800000,10.58400000,12.47900000,9.19900000,9.89800000,54485024.42100000,1630281599999,574684521.40675500,1114834,27192853.76300000,286829150.17871700,0
1630281600000,9.89600000,10.96400000,9.21500000,10.35800000,37852715.39400000,1630886399999,387554020.18096000,786967,18879796.95800000,193447565.63844900,0
1630886400000,10.35400000,12.08600000,7.50000000,9.10200000,51598213.57600000,1631491199999,498034529.35448800,1098173,25542710.86800000,246922390.94382700,0
1631491200000,9.10500000,11.29300000,7.78500000,9.10600000,33645797.80000000,1632095999999,324646883.65230000,695706,16551413.80000000,159720880.01420000,0
1632096000000,9.10600000,9.25500000,6.46700000,7.23200000,45814266.20700000,1632700799999,353496857.08234100,674552,22430839.18900000,172849425.42056600,0
1632700800000,7.22100000,9.06400000,6.35100000,8.74100000,31583878.47900000,1633305599999,237457792.15210000,524198,15640528.62300000,117704571.13827000,0
1633305600000,8.74100000,9.28700000,7.44000000,7.49500000,26419196.40000000,1633910399999,226690157.04110000,507126,12674697.40000000,108869762.46860000,0
1633910400000,7.49700000,8.49600000,6.84500000,7.75700000,20773654.20000000,1634515199999,158299160.26380000,375633,10210357.10000000,77894186.50460000,0
1634515200000,7.75900000,12.48000000,7.09200000,12.41800000,46625337.01600000,1635119999999,460836123.43630900,1062276,23174799.11400000,228886871.32155500,0
1635120000000,12.42500000,15.00000000,11.06400000,14.85000000,37304031.81600000,1635724799999,487782712.91775300,1102970,18610959.05600000,243880610.32458700,0
1635724800000,14.83900000,17.27000000,13.25800000,14.03600000,29132525.92700000,1636329599999,445657144.80793500,1019709,14366372.79300000,219551173.27321600,0
1636329600000,14.03600000,14.22100000,11.71200000,12.63700000,24874780.10000000,1636934399999,322673434.42440000,884116,12711562.60000000,165071564.02070000,0
1636934400000,12.63900000,13.30000000,9.23500000,10.84700000,26164217.80000000,1637539199999,285576616.81540000,784726,12697505.50000000,138604251.34960000,0
1637539200000,10.86000000,13.52500000,9.90400000,11.17300000,30753639.00000000,1638143999999,348950264.12370000,1002852,15221858.00000000,173057395.09500000,0
