otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.03557100,0.03900900,0.03510000,0.03697300,22342660.00000000,1609545599999,826160.77353500,7971,12041177.00000000,445868.22393600,0
1609545600000,0.03697300,0.03954600,0.03641400,0.03810700,29435281.00000000,1609631999999,1117677.87472200,10350,15277964.00000000,580621.78317500,0
1609632000000,0.03816100,0.04150000,0.03686600,0.04092800,39392323.00000000,1609718399999,1523879.05275600,13068,19639434.00000000,761188.99220200,0
1609718400000,0.04093600,0.04300000,0.03610000,0.04043200,43625078.00000000,1609804799999,1727185.62246700,15651,22371117.00000000,889260.49834300,0
1609804800000,0.04043200,0.04500000,0.03900000,0.04170000,67010639.00000000,1609891199999,2846193.52116900,21672,33954046.00000000,1444403.58627400,0
1609891200000,0.04170000,0.04772100,0.04083200,0.04465500,85860022.00000000,1609977599999,3773754.14425200,24320,44528733.00000000,1959442.08713600,0
1609977600000,0.04462900,0.04662200,0.04100000,0.04339100,63937202.00000000,1610063999999,2811659.83472600,19158,30574506.00000000,1350417.38147200,0
1610064000000,0.04357300,0.04715000,0.04060100,0.04330300,84682300.00000000,1610150399999,3781454.80579600,22970,44155192.00000000,1981318.85707700,0
1610150400000,0.04328500,0.04749100,0.04175000,0.04593800,49103494.00000000,1610236799999,2219253.46188200,16523,26343290.00000000,1192693.38889600,0
1610236800000,0.04593700,0.04663400,0.04069900,0.04238000,44380353.00000000,1610323199999,1956234.47222300,15376,20205416.00000000,893953.61723600,0
1610323200000,0.04235000,0.04245000,0.03455000,0.04061600,51001503.00000000,1610409599999,1966568.59398900,16376,21154270.00000000,812077.14393800,0
1610409600000,0.04050100,0.04095700,0.03650100,0.03790400,30698085.00000000,1610495999999,1194723.83673900,9952,16566814.00000000,645977.00052400,0
1610496000000,0.03790300,0.04150000,0.03674600,0.04072400,27437962.00000000,1610582399999,1077244.01515500,9184,14471570.00000000,570639.58367700,0
1610582400000,0.04052300,0.04220000,0.03944800,0.04089600,25480252.00000000,1610668799999,1044918.58333400,8598,13293856.00000000,546115.46885100,0
1610668800000,0.04089400,0.04622000,0.03990900,0.04399500,61544692.00000000,1610755199999,2660371.86190100,18157,31576492.00000000,1364893.28099300,0
1610755200000,0.04410900,0.04700000,0.04253800,0.04395000,53233491.00000000,1610841599999,2372648.53834100,15313,28331007.00000000,1262831.82345100,0
1610841600000,0.04390100,0.05300000,0.04210100,0.05104100,134165835.00000000,1610927999999,6588664.36105200,43714,70535637.00000000,3471593.16770500,0
1610928000000,0.05115400,0.05450000,0.04800000,0.05209000,65011522.00000000,1611014399999,3339974.75030100,24779,34176051.00000000,1762530.65644600,0
1611014400000,0.05208900,0.05800000,0.04979700,0.05371200,92974643.00000000,1611100799999,5056868.81784900,29901,52182941.00000000,2844120.61426600,0
1611100800000,0.05391300,0.06058100,0.04795100,0.05385700,94276289.00000000,1611187199999,5080085.47793400,29022,46614951.00000000,2519362.46527600,0
1611187200000,0.05385400,0.15880900,0.05050000,0.10848700,1032182664.00000000,1611273599999,123512641.61663500,258171,566639468.00000000,67609064.52688500,0
1611273600000,0.10848300,0.11940000,0.09330000,0.10944300,171631847.00000000,1611359999999,18431103.78522400,81846,85941068.00000000,9239916.27103600,0
1611360000000,0.10944200,0.11184300,0.09670200,0.10110700,68485014.00000000,1611446399999,6993545.33221200,30265,32356706.00000000,3298132.46475500,0
1611446400000,0.10135700,0.10299200,0.09182000,0.09525900,50750256.00000000,1611532799999,4914586.35531700,22359,24599142.00000000,2383684.19675800,0
1611532800000,0.09525600,0.10462300,0.08900400,0.09269800,76392895.00000000,1611619199999,7293897.88886900,32802,36305756.00000000,3456233.78012300,0
1611619200000,0.09274400,0.09850000,0.08623000,0.09288000,42483356.00000000,1611705599999,3869854.56377100,21113,21623847.00000000,1971760.94011600,0
1611705600000,0.09325600,0.09599900,0.07547900,0.08122500,102123765.00000000,1611791999999,8508212.93972400,37526,51335736.00000000,4288003.86700600,0
1611792000000,0.08122500,0.09083400,0.07740500,0.08861000,82913633.00000000,1611878399999,7157201.04839400,45436,39143167.00000000,3382969.13024400,0
1611878400000,0.08869000,0.09956000,0.08250000,0.08830400,93373768.00000000,1611964799999,8302320.70499000,37714,47300816.00000000,4203334.18253800,0
1611964800000,0.08856800,0.09410000,0.08500100,0.08809900,55689380.00000000,1612051199999,4925385.45693800,27486,26793823.00000000,2371666.35442900,0
1612051200000,0.08775400,0.09142600,0.08100000,0.08318800,49733493.00000000,1612137599999,4191564.32296500,21383,21890495.00000000,1851469.47001500,0
1612137600000,0.08291700,0.08599900,0.07778000,0.08291600,59581159.00000000,1612223999999,4848842.95823300,26893,28672391.00000000,2335026.64075700,0
1612224000000,0.08285000,0.10317800,0.08271900,0.09645300,169284175.00000000,1612310399999,15578754.59167300,75363,83512721.00000000,7703025.88518100,0
1612310400000,0.09659800,0.10200000,0.09284000,0.09979300,87104673.00000000,1612396799999,8401695.37013500,42119,44651288.00000000,4307472.45891900,0
1612396800000,0.09979400,0.12980000,0.09100000,0.10040700,325039140.00000000,1612483199999,34372543.93169800,117515,165455017.00000000,17532124.33889900,0
1612483200000,0.10038700,0.15000000,0.09909200,0.14427900,250593325.00000000,1612569599999,31515265.29125000,125788,123909798.00000000,15595921.26795500,0
1612569600000,0.14427900,0.15000000,0.11833300,0.13050000,136223093.00000000,1612655999999,17850307.96897700,82718,67993721.00000000,8906601.59866100,0
1612656000000,0.13054200,0.13450000,0.11024000,0.12663500,150770204.00000000,1612742399999,18647241.55697800,75999,74195662.00000000,9161732.08498300,0
1612742400000,0.12663500,0.14800000,0.12281200,0.14156000,156379496.00000000,1612828799999,21755797.91222400,85809,80837224.00000000,11264286.74973600,0
1612828800000,0.14156100,0.16500000,0.13839300,0.15305500,92306976.00000000,1612915199999,13901020.31177200,57952,51539396.00000000,7785708.56471300,0
1612915200000,0.15335500,0.15980000,0.13400000,0.14663100,87957317.00000000,1613001599999,13011972.50638800,58541,47519509.00000000,7059877.24916800,0
1613001600000,0.14688300,0.17200000,0.14204300,0.15903900,140377352.00000000,1613087999999,22214435.70639600,77296,67899607.00000000,10775762.57174200,0
1613088000000,0.16012500,0.16980000,0.14900000,0.16399300,68519212.00000000,1613174399999,11163106.71286500,48575,33512115.00000000,5469021.24590100,0
1613174400000,0.16399300,0.21800000,0.16305600,0.20669800,204029827.00000000,1613260799999,40055357.14058600,123353,103833573.00000000,20383316.60000900,0
1613260800000,0.20638900,0.29300000,0.19284000,0.26645200,485863308.00000000,1613347199999,117740458.06182000,331004,244951139.00000000,59401639.91439500,0
1613347200000,0.26666600,0.27077100,0.19733500,0.24050700,148899213.00000000,1613433599999,35459533.00219700,113638,73950304.00000000,17620308.86969300,0
