otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1612742400000,0.10000000,1.90000000,0.10000000,1.29000000,196034244.98000000,1612828799999,263188150.41880600,543721,97591497.59000000,131828066.60318700,0
1612828800000,1.29010000,4.45000000,1.28970000,3.46370000,381378132.86000000,1612915199999,1046437940.17207200,1652151,201999888.04000000,555294914.26663100,0
1612915200000,3.46340000,3.77000000,2.40000000,2.47880000,135921672.05000000,1613001599999,402558581.86646300,806088,64973862.78000000,193448371.29305700,0
1613001600000,2.47750000,2.98390000,2.46990000,2.67710000,43471450.46000000,1613087999999,118946577.27909400,298939,21180418.47000000,58075007.77219400,0
1613088000000,2.67990000,2.93630000,2.60000000,2.73200000,27308963.50000000,1613174399999,75048453.24488200,189264,12693762.26000000,34999663.80742000,0
1613174400000,2.73250000,2.85000000,2.51000000,2.62000000,19995742.96000000,1613260799999,53723473.65997400,156084,8425815.30000000,22710271.76598800,0
1613260800000,2.62000000,3.40000000,2.56000000,2.90440000,56700304.19000000,1613347199999,169592247.78623200,385194,28717571.10000000,86070029.47152600,0
1613347200000,2.90000000,3.05060000,2.51000000,2.74000000,32007775.08000000,1613433599999,89467128.80840700,225315,14857610.79000000,41803413.91982200,0
1613433600000,2.73900000,3.18000000,2.65000000,2.87600000,25399773.94000000,1613519999999,74485516.04381700,194847,12131398.54000000,35647620.37916300,0
1613520000000,2.87590000,3.37000000,2.74000000,3.24240000,30469118.42000000,1613606399999,92433569.49893800,218895,15892753.62000000,48435608.73490900,0
1613606400000,3.24240000,3.34000000,2.99470000,3.09200000,21201372.77000000,1613692799999,66463589.14332100,175502,9793525.85000000,30758822.04964900,0
1613692800000,3.09210000,3.15160000,2.65000000,2.79310000,26936357.56000000,1613779199999,77313248.04273000,192734,11155650.10000000,32108598.24983200,0
1613779200000,2.79690000,2.87210000,2.50800000,2.63640000,22294492.38000000,1613865599999,60039118.57784500,158557,9550295.27000000,25825513.04539900,0
1613865600000,2.63710000,2.90000000,2.55000000,2.77150000,17268342.47000000,1613951999999,46878308.37119700,129779,8567504.33000000,23310381.56170000,0
1613952000000,2.77160000,2.98900000,1.92000000,2.45500000,30111579.72000000,1614038399999,76845594.53135300,193987,13744978.42000000,35334413.87727400,0
1614038400000,2.45400000,2.47720000,1.57050000,1.89390000,26075725.84000000,1614124799999,50275461.30377600,132627,12314626.65000000,23757227.20447800,0
1614124800000,1.88640000,2.25360000,1.76200000,1.96520000,19313854.04000000,1614211199999,39273983.40108500,125675,9376683.80000000,19121768.83935500,0
1614211200000,1.97450000,2.17110000,1.78880000,1.83040000,19659392.70000000,1614297599999,38723137.46906900,120443,9408816.28000000,18560353.12359200,0
1614297600000,1.83050000,1.88410000,1.56200000,1.69950000,15440927.36000000,1614383999999,26335860.65216000,81475,7304233.62000000,12463711.77366000,0
1614384000000,1.69440000,1.84750000,1.65000000,1.74520000,11112449.38000000,1614470399999,19520279.87381900,66298,5690903.07000000,10014043.31632900,0
1614470400000,1.74520000,1.76770000,1.36660000,1.47000000,13950760.63000000,1614556799999,21181330.95140300,70621,6480986.29000000,9821636.71326100,0
1614556800000,1.47000000,1.78290000,1.46550000,1.77180000,14556169.16000000,1614643199999,24104841.40540700,74203,7459177.43000000,12362620.93794500,0
1614643200000,1.77600000,2.29000000,1.70140000,2.16490000,36461342.36000000,1614729599999,74047950.01019400,200467,19020212.81000000,38616653.92772800,0
1614729600000,2.16470000,2.28000000,1.93140000,1.93400000,20726437.50000000,1614815999999,43452680.08111800,121860,9976096.97000000,20964197.68353800,0
1614816000000,1.93300000,2.02180000,1.77620000,1.82530000,16206225.81000000,1614902399999,30781770.75562600,93142,7274365.47000000,13839011.38517500,0
1614902400000,1.82530000,1.82530000,1.66520000,1.78000000,9595818.81000000,1614988799999,16760126.57245500,52767,4625855.68000000,8087509.04555300,0
1614988800000,1.77990000,2.02680000,1.74310000,1.88780000,12454396.32000000,1615075199999,23589473.23556400,82326,6255068.98000000,11884082.15970500,0
1615075200000,1.88670000,2.05300000,1.87560000,2.01690000,10864137.27000000,1615161599999,21241245.40463000,64834,5624113.52000000,11000420.48473100,0
1615161600000,2.01580000,2.18000000,1.90050000,2.12850000,16385571.14000000,1615247999999,33426991.95804400,112144,8183382.19000000,16763792.39531400,0
1615248000000,2.12840000,2.18000000,2.05560000,2.15490000,10975940.81000000,1615334399999,23262803.71880300,79258,5479120.93000000,11622461.43552500,0
1615334400000,2.15590000,2.17470000,1.83360000,1.86910000,11787917.20000000,1615420799999,23246206.99159300,84405,5182501.83000000,10223721.96481400,0
1615420800000,1.86740000,2.08990000,1.83390000,1.92090000,12782704.76000000,1615507199999,25241414.06895700,94575,6206290.47000000,12285727.80959300,0
1615507200000,1.92040000,1.98650000,1.71940000,1.82420000,11848411.24000000,1615593599999,22105726.44774800,77897,5419382.07000000,10133159.54899700,0
1615593600000,1.82280000,2.00070000,1.75460000,1.93150000,10955109.44000000,1615679999999,20966555.01551300,66029,5866280.31000000,11240791.51278400,0
1615680000000,1.93100000,2.94500000,1.76000000,2.68000000,78956755.54000000,1615766399999,201717066.23208900,474522,41737564.55000000,106790717.17173300,0
1615766400000,2.67820000,3.20000000,2.25100000,2.28750000,54754747.61000000,1615852799999,147456319.00235600,389310,27673406.50000000,74804510.98724100,0
1615852800000,2.28750000,2.88630000,2.11000000,2.86440000,34698983.99000000,1615939199999,86022536.47718200,226519,17935860.93000000,44594541.69933000,0
1615939200000,2.86820000,3.04700000,2.50000000,2.71400000,23309148.39000000,1616025599999,63834830.96839600,176414,11779489.62000000,32373021.05762800,0
1616025600000,2.71330000,2.90000000,2.61300000,2.67390000,15055664.88000000,1616111999999,41324991.10361400,122850,7291289.55000000,20034932.00627100,0
