otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1612742400000,0.10000000,4.45000000,0.10000000,2.90440000,860810511.00000000,1613347199999,2129495424.42752300,4031441,435582815.54000000,1082426324.98000300,0
1613347200000,2.90000000,3.37000000,2.50800000,2.77150000,175577232.62000000,1613951999999,507080478.48625500,1295629,81948738.50000000,237889957.94047400,0
1613952000000,2.77160000,2.98900000,1.36660000,1.47000000,135664689.67000000,1614556799999,272155648.18266500,791126,64321228.13000000,129073154.84794900,0
1614556800000,1.47000000,2.29000000,1.46550000,2.01690000,120864527.23000000,1615161599999,233978087.46499400,689599,60234890.86000000,116754495.62437500,0
1615161600000,2.01580000,2.94500000,1.71940000,2.68000000,153692410.13000000,1615766399999,349966764.43274700,988830,78074522.35000000,179060371.83876000,0
1615766400000,2.67820000,3.57900000,2.11000000,3.48160000,210236011.19000000,1616371199999,597666410.53773000,1606501,105967571.90000000,301601779.60491000,0
1616371200000,3.48020000,3.97120000,2.50000000,3.16700000,142729512.25000000,1616975999999,459627210.01627100,1100539,69950784.04000000,225998638.44055500,0
1616976000000,3.16180000,3.44570000,2.67320000,2.93680000,75329827.76000000,1617580799999,230763066.60959300,611339,36625728.98000000,112403622.49016500,0
1617580800000,2.93670000,3.22000000,2.52830000,2.91810000,78286707.74000000,1618185599999,226834279.94405200,616517,37852865.93000000,109746264.72405000,0
1618185600000,2.91810000,3.62500000,2.08440000,2.52930000,103516968.25000000,1618790399999,321747911.33204700,854496,51251054.58000000,160078977.18781100,0
1618790400000,2.52960000,2.78430000,1.66000000,2.26160000,90093217.79000000,1619395199999,196537721.24756700,577229,43824752.12000000,95835405.36451100,0
1619395200000,2.26170000,2.99800000,2.12420000,2.89410000,86948218.31000000,1619999999999,216319278.69504400,578384,44031097.12000000,109679992.67613800,0
1620000000000,2.89350000,3.10000000,2.29700000,2.41110000,74881327.66000000,1620604799999,198364055.35064800,571005,37254199.65000000,98770180.10572500,0
1620604800000,2.41110000,2.53600000,1.80000000,1.96570000,59015959.08000000,1621209599999,123349015.69289900,412816,28849099.17000000,60389073.13401300,0
1621209600000,1.96680000,2.00860000,0.62920000,0.81240000,101919537.55000000,1621814399999,128612771.26364800,470742,49689721.63000000,62696021.21865300,0
1621814400000,0.81260000,1.26860000,0.79650000,1.00530000,81910626.91000000,1622419199999,86467363.77320300,315945,41985032.25000000,44303281.12688200,0
1622419200000,1.00240000,1.42000000,0.94210000,1.15720000,98418554.17000000,1623023999999,119211253.10842300,373266,50131728.83000000,60927094.43192600,0
1623024000000,1.15730000,1.26630000,0.90580000,1.02400000,63320211.02000000,1623628799999,66635383.04092700,216148,31199599.57000000,32855960.43054800,0
1623628800000,1.02330000,1.15990000,0.88540000,0.95630000,36221236.44000000,1624233599999,38046849.84246700,140481,18122507.07000000,19061571.85450100,0
1624233600000,0.95800000,0.96500000,0.60000000,0.67150000,49764361.54000000,1624838399999,35233395.58268000,145174,25448542.90000000,18028978.84347100,0
1624838400000,0.67280000,0.76840000,0.64500000,0.72720000,39548443.82000000,1625443199999,27748840.94195700,109992,19882351.56000000,13946981.50987500,0
1625443200000,0.72540000,0.83980000,0.67080000,0.74240000,42860009.97000000,1626047999999,32057884.78910600,127393,21489733.61000000,16086961.42227800,0
1626048000000,0.74220000,0.87540000,0.64740000,0.73610000,55046915.15000000,1626652799999,41607318.30180800,157186,27013377.50000000,20416558.39849400,0
1626652800000,0.73630000,0.90500000,0.61000000,0.89950000,84646604.46000000,1627257599999,64757784.05030900,240590,43374271.84000000,33191352.36763500,0
1627257600000,0.90000000,1.08000000,0.82250000,0.95300000,84120019.30000000,1627862399999,80605222.95224400,295779,44500915.59000000,42785637.76302700,0
1627862400000,0.95110000,1.12370000,0.88430000,0.99210000,64315876.47000000,1628467199999,65177241.60149200,198947,39714647.26000000,40419534.40311100,0
1628467200000,0.99230000,1.29890000,0.95990000,1.27360000,67811758.81000000,1629071999999,79889752.65904800,265974,35014203.32000000,41302450.51309900,0
1629072000000,1.27200000,1.50000000,1.15700000,1.39730000,67503935.12000000,1629676799999,91582891.30915700,296296,34636972.02000000,47042803.20225000,0
1629676800000,1.39730000,1.77280000,1.37110000,1.65770000,95049141.59000000,1630281599999,151500829.21157300,448827,47452894.42000000,75661631.77147500,0
1630281600000,1.65770000,1.66350000,1.47240000,1.60710000,46005327.00000000,1630886399999,72202945.20850000,220696,24015283.00000000,37686068.55960000,0
1630886400000,1.60730000,1.68000000,0.90000000,1.19380000,80181655.01000000,1631491199999,99811987.91721100,294473,39939514.54000000,49803641.42903300,0
1631491200000,1.19350000,1.27810000,1.05390000,1.15420000,42329172.00000000,1632095999999,49938311.58290000,156936,20809079.00000000,24581000.05320000,0
1632096000000,1.15350000,1.16000000,0.81790000,0.89460000,49326300.19000000,1632700799999,47354541.54829900,148472,24701548.11000000,23778488.38405000,0
1632700800000,0.89570000,1.05420000,0.81330000,1.02370000,32318832.00000000,1633305599999,29999317.22062600,106567,15704240.00000000,14554317.38980000,0
1633305600000,1.02430000,1.22680000,0.95260000,1.04720000,50319193.00000000,1633910399999,54427795.89480000,179676,24755493.00000000,26824402.58810000,0
1633910400000,1.04580000,3.16500000,0.95070000,1.86240000,756097072.76000000,1634515199999,1690673042.24230400,3017729,379620893.58000000,851039978.65696000,0
1634515200000,1.86070000,2.19450000,1.63050000,1.69450000,128077365.00000000,1635119999999,244940258.88310000,501315,62804074.00000000,120257385.02720000,0
1635120000000,1.69420000,1.86310000,1.44440000,1.69620000,74455762.00000000,1635724799999,122315553.80380000,316887,36090380.00000000,59358126.25710000,0
1635724800000,1.69900000,1.93380000,1.55200000,1.65680000,48315645.00000000,1636329599999,84254277.28440000,230232,23231089.00000000,40593120.19200000,0
1636329600000,1.65770000,1.73930000,1.40000000,1.57850000,42724374.00000000,1636934399999,68769706.78470000,201095,20672529.00000000,33284655.54280000,0
1636934400000,1.57850000,1.62970000,1.22270000,1.39770000,38306445.00000000,1637539199999,54384303.39400000,131258,18537675.00000000,26351027.34980000,0
1637539200000,1.39580000,2.59900000,1.32270000,2.02040000,350029547.00000000,1638143999999,712359776.31730000,1652009,173238168.00000000,352765159.30930000,0
1638144000000,2.02150000,3.10000000,1.60000000,1.74350000,312450577.00000000,1638748799999,735884628.14190000,1691556,155045568.00000000,366244585.21660000,0
1638748800000,1.74470000,1.94890000,1.55730000,1.82290000,23342770.00000000,1639353599999,40572469.94650000,108124,11150263.00000000,19394906.61550000,0
