otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1620604800000,0.00001412,0.00005000,0.00001237,0.00001784,484269006289895.00,1621209599999,11567128170.46410066,20629635,240505229390709.00,5783627625.13559949,0
1621209600000,0.00001783,0.00001808,0.00000630,0.00000809,407349917325307.00,1621814399999,4442832577.64149950,9187686,200933940181605.00,2193237414.31477780,0
1621814400000,0.00000808,0.00001208,0.00000730,0.00000786,212565563021345.00,1622419199999,1954247579.38165467,4720478,108316882444186.00,996686954.04422670,0
1622419200000,0.00000785,0.00001049,0.00000769,0.00000853,166796075863023.00,1623023999999,1515122426.24338938,3687007,85739827855582.00,779376464.55419695,0
1623024000000,0.00000852,0.00000872,0.00000551,0.00000685,149645754195182.00,1623628799999,1030575896.97070869,2736780,75871251559166.00,522162410.23405709,0
1623628800000,0.00000684,0.00000988,0.00000667,0.00000778,229142287781812.00,1624233599999,1848710277.55092304,4004082,116442106476971.00,940459700.63461966,0
1624233600000,0.00000778,0.00000850,0.00000559,0.00000785,188069760757511.00,1624838399999,1302843299.92694698,3031693,91655212777863.00,636091155.37694040,0
1624838400000,0.00000785,0.00000963,0.00000758,0.00000873,143622809054554.00,1625443199999,1238537269.90101428,2601147,71029674584163.00,613009475.94934331,0
1625443200000,0.00000872,0.00000933,0.00000752,0.00000786,83865401455459.00,1626047999999,702598462.12546712,1539658,39994685894300.00,335488290.58551635,0
1626048000000,0.00000787,0.00000799,0.00000655,0.00000664,55952774291579.00,1626652799999,395487668.06900072,1031646,26325958386157.00,186252373.74945206,0
1626652800000,0.00000665,0.00000698,0.00000570,0.00000636,67389394228766.00,1627257599999,426426399.25020912,1112967,32568113464069.00,206270966.40472233,0
1627257600000,0.00000637,0.00000691,0.00000604,0.00000630,68386598709441.00,1627862399999,436491322.81531306,1205135,33814452774763.00,216178733.66230705,0
1627862400000,0.00000630,0.00000888,0.00000611,0.00000729,105630788903718.00,1628467199999,758084724.32733119,1828851,52962599353393.00,380725682.94324712,0
1628467200000,0.00000729,0.00000876,0.00000709,0.00000855,118832826008737.00,1629071999999,938482846.07502583,2041190,60251541830750.00,476680716.12073538,0
1629072000000,0.00000855,0.00000948,0.00000776,0.00000820,120778553353435.00,1629676799999,1032311169.32092667,2194342,60409572623207.00,517047293.39762665,0
1629676800000,0.00000820,0.00000844,0.00000682,0.00000712,63304294422670.00,1630281599999,474110948.87739529,1221927,30899052614676.00,231427429.92598163,0
1630281600000,0.00000711,0.00000768,0.00000647,0.00000753,59165713432047.00,1630886399999,421822097.33530760,1190641,30677968958635.00,219099014.38456946,0
1630886400000,0.00000753,0.00000820,0.00000510,0.00000689,145062150465520.00,1631491199999,997669718.28333425,2551751,71274265047330.00,491391177.11215932,0
1631491200000,0.00000689,0.00000950,0.00000617,0.00000808,166609706675172.00,1632095999999,1343862174.04517553,2908079,86577495175377.00,699473183.75861053,0
1632096000000,0.00000808,0.00000812,0.00000660,0.00000710,85012109821457.00,1632700799999,615901707.74354642,1369231,42503442551738.00,308239538.77391432,0
1632700800000,0.00000710,0.00000903,0.00000682,0.00000854,54413070230057.00,1633305599999,420599193.57496561,1116107,27559765203078.00,213468422.80906032,0
1633305600000,0.00000855,0.00003528,0.00000820,0.00002613,1002794161988704.00,1633910399999,22343767826.45609023,31133795,508843789125431.00,11315242180.83643602,0
1633910400000,0.00002613,0.00003200,0.00002333,0.00002774,260239728694357.00,1634515199999,7311072018.76107183,11100489,129799296128647.00,3651198605.09108088,0
1634515200000,0.00002775,0.00004465,0.00002638,0.00003605,258003431135636.00,1635119999999,8752643155.44515624,15234817,130938216509128.00,4447070030.93114912,0
1635120000000,0.00003605,0.00008854,0.00003493,0.00006697,538716725071085.00,1635724799999,33749198355.92738175,52461412,273642058764716.00,17141133096.74012790,0
1635724800000,0.00006697,0.00007494,0.00004312,0.00005690,260625699744621.00,1636329599999,15216562865.70386111,24479717,128329459408994.00,7503377435.77368782,0
1636329600000,0.00005690,0.00005900,0.00004600,0.00005314,127271128187356.00,1636934399999,6829174693.57259474,11638980,63062772131442.00,3385545086.03409299,0
1636934400000,0.00005314,0.00005599,0.00004051,0.00004411,115499971372131.00,1637539199999,5541630819.65161067,9231299,57290961885696.00,2748427039.81407258,0
1637539200000,0.00004412,0.00004792,0.00003560,0.00003911,135250681466201.00,1638143999999,5486233892.24061826,9286393,66721859235784.00,2706937061.81722489,0
1638144000000,0.00003911,0.00005435,0.00002952,0.00003622,180478562460112.00,1638748799999,7785116351.85395520,13690412,89132309982022.00,3845640815.19605062,0
1638748800000,0.00003623,0.00003759,0.00003269,0.00003688,16245687911012.00,1639353599999,566447273.44654593,876589,8323584090655.00,290332398.12364141,0
