otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.07879000,0.08400000,0.07427000,0.07997000,34381732.80000000,1609545599999,2753704.05347100,11236,17234358.20000000,1379606.26342400,0
1609545600000,0.08006000,0.08039000,0.07470000,0.07659000,34859290.50000000,1609631999999,2698182.51550900,11068,18067172.30000000,1400248.17889100,0
1609632000000,0.07671000,0.09062000,0.07652000,0.08656000,43222259.30000000,1609718399999,3623348.94478900,14803,23111696.50000000,1943539.82392300,0
1609718400000,0.08656000,0.09497000,0.08050000,0.09401000,54088783.10000000,1609804799999,4760447.15251500,22867,28296974.40000000,2491196.51464000,0
1609804800000,0.09404000,0.11321000,0.08569000,0.11089000,86306686.70000000,1609891199999,8728615.71470200,27287,44700482.00000000,4517697.96001600,0
1609891200000,0.11120000,0.11612000,0.10344000,0.11199000,47367497.10000000,1609977599999,5172151.36379100,22644,25004753.20000000,2730838.52483400,0
1609977600000,0.11200000,0.12203000,0.10450000,0.11235000,39266166.00000000,1610063999999,4534463.72047200,22840,20116793.70000000,2317103.95903400,0
1610064000000,0.11270000,0.11884000,0.09702000,0.10936000,46214206.20000000,1610150399999,5073731.35789100,24551,23636940.30000000,2599071.39352300,0
1610150400000,0.10945000,0.11385000,0.10598000,0.11008000,29586257.80000000,1610236799999,3232528.72945700,16061,16435478.50000000,1795717.23454800,0
1610236800000,0.10997000,0.12500000,0.09496000,0.10221000,91228164.00000000,1610323199999,10010981.30242400,68984,48165111.00000000,5298541.03081500,0
1610323200000,0.10224000,0.10333000,0.08680000,0.09774000,128020310.30000000,1610409599999,12083473.01928100,53895,66641059.70000000,6297810.86466500,0
1610409600000,0.09748000,0.10670000,0.09343000,0.10107000,38088781.60000000,1610495999999,3834498.01484200,21754,19083464.20000000,1920241.46650300,0
1610496000000,0.10064000,0.11862000,0.09966000,0.11184000,37971165.70000000,1610582399999,4214107.56187800,22117,18807608.10000000,2082774.69715900,0
1610582400000,0.11196000,0.12900000,0.10688000,0.12825000,48406505.80000000,1610668799999,5719950.24252200,24560,23864473.40000000,2814847.49425700,0
1610668800000,0.12825000,0.14669000,0.11965000,0.13304000,53297550.90000000,1610755199999,7042610.13294100,21311,26258396.60000000,3474816.81799800,0
1610755200000,0.13346000,0.15500000,0.12566000,0.13413000,34451017.60000000,1610841599999,4775298.74059700,15137,18344006.90000000,2544834.70507600,0
1610841600000,0.13411000,0.14330000,0.12517000,0.13991000,26277086.40000000,1610927999999,3525155.92372100,12517,13239826.30000000,1779077.17079800,0
1610928000000,0.14014000,0.14995000,0.13232000,0.14571000,24538878.20000000,1611014399999,3465716.00983000,14829,12398648.60000000,1747880.11272900,0
1611014400000,0.14573000,0.16281000,0.14170000,0.14246000,41174584.90000000,1611100799999,6249921.51905000,25620,21410351.50000000,3252281.40393000,0
1611100800000,0.14244000,0.14493000,0.12759000,0.13620000,47252567.10000000,1611187199999,6452525.01484800,27725,23559435.80000000,3218278.89864500,0
1611187200000,0.13627000,0.14090000,0.11560000,0.11622000,49694269.20000000,1611273599999,6292593.38118200,25667,23016400.00000000,2916662.48353600,0
1611273600000,0.11624000,0.12300000,0.09090000,0.11391000,90739624.90000000,1611359999999,9807552.32923500,35116,45809930.00000000,4954123.66884200,0
1611360000000,0.11372000,0.12500000,0.11123000,0.11826000,43210074.60000000,1611446399999,5125169.58910100,16879,22684290.80000000,2692887.18901400,0
1611446400000,0.11797000,0.13962000,0.11704000,0.13397000,44309891.50000000,1611532799999,5805726.88350800,21683,22879108.70000000,2999350.51261400,0
1611532800000,0.13412000,0.13707000,0.12510000,0.12941000,40973243.60000000,1611619199999,5355462.18279500,18345,22562790.90000000,2953193.36690100,0
1611619200000,0.12904000,0.16990000,0.12510000,0.15960000,118602533.30000000,1611705599999,17419318.17329900,55140,64916563.60000000,9546501.00003800,0
1611705600000,0.15959000,0.16370000,0.12628000,0.13062000,85244875.60000000,1611791999999,12277761.95339900,110203,42090126.40000000,6066177.33556400,0
1611792000000,0.13071000,0.14780000,0.12783000,0.13608000,52754240.00000000,1611878399999,7383812.35243800,79378,27250559.00000000,3814506.98275400,0
1611878400000,0.13602000,0.13976000,0.12908000,0.13785000,49024830.50000000,1611964799999,6568083.89301900,77441,24803878.80000000,3324983.54369600,0
1611964800000,0.13781000,0.14465000,0.12600000,0.13833000,44428626.50000000,1612051199999,5952017.51545300,63437,21859655.30000000,2929108.10096200,0
1612051200000,0.13834000,0.14398000,0.13030000,0.13373000,31650332.00000000,1612137599999,4340751.93114900,48115,14644361.60000000,2009969.68755000,0
1612137600000,0.13374000,0.14374000,0.12927000,0.13767000,37319480.00000000,1612223999999,5057301.68562000,56863,17250652.90000000,2340332.00850900,0
1612224000000,0.13770000,0.15413000,0.13200000,0.14927000,46659312.20000000,1612310399999,6703564.63733100,49526,26172139.30000000,3767205.64800000,0
1612310400000,0.14924000,0.15999000,0.14457000,0.15830000,28895556.90000000,1612396799999,4397885.69238100,18356,14599692.60000000,2225148.70294700,0
1612396800000,0.15850000,0.18191000,0.15460000,0.16230000,59093865.70000000,1612483199999,9926326.50240000,40543,30004478.30000000,5045022.16846600,0
1612483200000,0.16225000,0.17609000,0.16000000,0.17126000,32865755.90000000,1612569599999,5575588.87237600,24744,15397230.10000000,2612434.03602300,0
1612569600000,0.17120000,0.17411000,0.14680000,0.15873000,39799729.30000000,1612655999999,6327919.61119300,25776,19212347.90000000,3057379.31005500,0
1612656000000,0.15868000,0.16795000,0.14400000,0.16020000,51722349.30000000,1612742399999,8109304.34852300,33256,27691319.70000000,4363871.38421300,0
1612742400000,0.15975000,0.21800000,0.15915000,0.21072000,70624200.80000000,1612828799999,12846935.60042600,59966,38575343.30000000,7039484.57674800,0
1612828800000,0.21052000,0.22888000,0.19746000,0.20490000,40802222.60000000,1612915199999,8607420.37072000,40280,19809573.10000000,4180562.69669900,0
1612915200000,0.20525000,0.24472000,0.19819000,0.22268000,56361606.20000000,1613001599999,12565242.86229500,54058,28728129.60000000,6414148.40832000,0
1613001600000,0.22268000,0.40000000,0.21454000,0.34539000,138094374.30000000,1613087999999,45210902.12490800,153176,70870513.40000000,23192690.91194600,0
1613088000000,0.34636000,0.36000000,0.29175000,0.33000000,74073864.70000000,1613174399999,24079319.24474200,100303,37211071.40000000,12098322.50234600,0
1613174400000,0.33078000,0.37300000,0.30504000,0.33425000,67469142.10000000,1613260799999,23032040.06215400,85255,33328172.60000000,11415839.99240000,0
1613260800000,0.33482000,0.33791000,0.28536000,0.29438000,31854271.80000000,1613347199999,9964186.96862500,41766,15479474.40000000,4855088.00783600,0
1613347200000,0.29466000,0.35463000,0.22779000,0.30782000,94017791.00000000,1613433599999,29029006.85364400,87311,53046691.90000000,16645980.74220200,0
1613433600000,0.30769000,0.33001000,0.26982000,0.28117000,41801524.00000000,1613519999999,12440511.61156200,47325,20383473.50000000,6073860.63209200,0
1613520000000,0.28168000,0.30714000,0.24970000,0.28958000,38356032.50000000,1613606399999,10790698.37239200,40940,18963229.00000000,5335361.10637800,0
1613606400000,0.28964000,0.32273000,0.28200000,0.30310000,33272074.80000000,1613692799999,10008127.66653400,39989,17047646.10000000,5135649.05451200,0
1613692800000,0.30279000,0.33000000,0.28180000,0.32820000,30680521.00000000,1613779199999,9589741.17945400,41007,16557401.00000000,5182491.74107500,0
1613779200000,0.32833000,0.33795000,0.26098000,0.28570000,38183427.70000000,1613865599999,11840262.68340100,48777,19637030.70000000,6101929.95109100,0
1613865600000,0.28570000,0.31732000,0.27777000,0.29796000,21551453.90000000,1613951999999,6339479.33600200,32068,10136465.60000000,2987106.75951200,0
1613952000000,0.29845000,0.29965000,0.21818000,0.27213000,37723081.40000000,1614038399999,9897852.26147600,43485,18179981.10000000,4793768.18582100,0
1614038400000,0.27304000,0.29324000,0.19002000,0.24611000,73524663.90000000,1614124799999,17591929.55844100,61780,39117141.70000000,9395722.94044300,0
1614124800000,0.24581000,0.27733000,0.22528000,0.23986000,32137247.00000000,1614211199999,8115547.61210200,33715,16535037.00000000,4191086.98580900,0
1614211200000,0.23991000,0.25500000,0.21368000,0.21684000,18361205.80000000,1614297599999,4384678.00841600,18382,8556389.60000000,2046925.88135600,0
1614297600000,0.21684000,0.24000000,0.19278000,0.21497000,27058713.50000000,1614383999999,5863647.21333100,23757,14306106.60000000,3102143.66503500,0
1614384000000,0.21516000,0.24582000,0.21476000,0.22741000,23126697.90000000,1614470399999,5360483.57282800,23003,11089712.70000000,2574258.76795000,0
1614470400000,0.22718000,0.22865000,0.19300000,0.20902000,13837061.50000000,1614556799999,2880068.14470300,14872,6726339.50000000,1404992.98569200,0
1614556800000,0.20876000,0.25068000,0.20688000,0.24079000,26011851.70000000,1614643199999,5975718.19971000,24655,13541575.60000000,3116788.45380500,0
1614643200000,0.24086000,0.29000000,0.22837000,0.28159000,38521472.80000000,1614729599999,10073931.30751600,39387,18247784.50000000,4777490.77121100,0
1614729600000,0.28114000,0.29586000,0.26202000,0.27315000,32780570.60000000,1614815999999,9169603.98625900,35848,16565490.30000000,4638973.66205200,0
1614816000000,0.27204000,0.32884000,0.26578000,0.29047000,52048838.30000000,1614902399999,15505850.87894600,55586,26266832.70000000,7812483.40945600,0
1614902400000,0.29045000,0.32200000,0.26023000,0.31814000,37870014.00000000,1614988799999,11026934.15958000,42087,19701030.80000000,5763769.60686800,0
1614988800000,0.31797000,0.33038000,0.29277000,0.29544000,22109932.60000000,1615075199999,6839542.98860600,30215,11784905.10000000,3649809.51709800,0
1615075200000,0.29500000,0.31500000,0.29500000,0.31029000,14601669.30000000,1615161599999,4421672.14586300,17115,7473046.50000000,2265921.16796000,0
