otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.08656000,0.12500000,0.08050000,0.10221000,394057760.90000000,1610323199999,41512919.34125200,205234,206356533.10000000,21750166.61741000,0
1610323200000,0.10224000,0.15500000,0.08680000,0.13991000,366512418.30000000,1610927999999,41195093.63578200,171291,186238835.20000000,20914403.21645600,0
1610928000000,0.14014000,0.16281000,0.09090000,0.13397000,340919890.40000000,1611532799999,43199204.72675400,167519,171758165.40000000,21781464.26931000,0
1611532800000,0.13412000,0.16990000,0.12510000,0.13373000,422678681.50000000,1612137599999,59297208.00155200,452059,218127935.60000000,30644440.01746500,0
1612137600000,0.13374000,0.18191000,0.12927000,0.16020000,296356049.30000000,1612742399999,46097891.34982400,249064,150327860.80000000,23411393.25821300,0
1612742400000,0.15975000,0.40000000,0.15915000,0.29438000,479279682.50000000,1613347199999,136306047.23387000,534804,244002277.80000000,69196137.09629500,0
1613347200000,0.29466000,0.35463000,0.22779000,0.29796000,297862824.90000000,1613951999999,90037827.70298900,337417,155771937.80000000,47462379.98686200,0
1613952000000,0.29845000,0.29965000,0.19002000,0.20902000,225768671.00000000,1614556799999,54094206.37129700,218994,114510708.20000000,27508899.41210600,0
1614556800000,0.20876000,0.33038000,0.20688000,0.31029000,223944349.30000000,1615161599999,63013253.66648000,244893,113580665.50000000,32025236.58845000,0
1615161600000,0.31029000,1.24443000,0.28573000,0.81150000,1314031270.30000000,1615766399999,1011726511.34867000,1977997,667760348.60000000,516110243.68118200,0
1615766400000,0.81377000,0.86604000,0.63757000,0.66084000,222371672.10000000,1616371199999,160788866.85622500,463381,110240703.10000000,79781516.73216800,0
1616371200000,0.66092000,0.75670000,0.51676000,0.73493000,300842645.80000000,1616975999999,193266604.13614000,606546,151665806.90000000,97431681.66248300,0
1616976000000,0.73493000,1.07242000,0.66405000,0.70444000,502720418.00000000,1617580799999,414641858.83788000,1075847,254854425.30000000,210413928.12755800,0
1617580800000,0.70570000,0.77333000,0.60000000,0.69627000,176428832.20000000,1618185599999,122624214.51886300,425000,86901553.30000000,60457954.89349200,0
1618185600000,0.69641000,0.84790000,0.44254000,0.65598000,281579144.30000000,1618790399999,195364509.41814800,641315,141124860.40000000,98164031.13158800,0
1618790400000,0.65606000,0.67527000,0.40467000,0.44184000,184570580.00000000,1619395199999,97774156.98532200,388910,88479401.30000000,46900778.55557900,0
1619395200000,0.44157000,0.75091000,0.43725000,0.63474000,268599435.50000000,1619999999999,167157219.53351500,548751,132010402.80000000,82083571.02324700,0
1620000000000,0.63471000,0.73950000,0.57900000,0.60187000,256000224.60000000,1620604799999,165262968.60862500,508643,128253985.30000000,82975641.78101900,0
1620604800000,0.60187000,0.63103000,0.44124000,0.53483000,207722083.50000000,1621209599999,112618420.59507800,356950,99643079.60000000,54107112.06336800,0
1621209600000,0.53501000,0.60714000,0.20111000,0.26674000,292430034.20000000,1621814399999,115501684.32264100,399701,142820327.50000000,56540007.48213400,0
1621814400000,0.26680000,0.67800000,0.26680000,0.42992000,588216947.90000000,1622419199999,284099486.26367800,921619,298823186.10000000,144757167.39532600,0
1622419200000,0.42920000,0.51000000,0.34761000,0.38324000,248031074.70000000,1623023999999,105712979.50367900,353751,121159547.70000000,51848061.22733500,0
1623024000000,0.38326000,0.39025000,0.26543000,0.30801000,188303938.40000000,1623628799999,59467955.78471900,204182,93980934.10000000,29669459.64652000,0
1623628800000,0.30811000,0.33465000,0.25740000,0.27226000,173961495.50000000,1624233599999,52054344.22374700,183175,86987596.10000000,26073096.23052000,0
1624233600000,0.27296000,0.27525000,0.17524000,0.24047000,214985654.60000000,1624838399999,47060446.29096000,206087,108593798.20000000,23793490.11932700,0
1624838400000,0.24057000,0.26485000,0.21021000,0.22926000,189335553.00000000,1625443199999,44767419.76203800,181204,95444611.90000000,22590279.88551600,0
1625443200000,0.22926000,0.27455000,0.21849000,0.23556000,206880655.00000000,1626047999999,50189304.79953300,171712,105250542.30000000,25537138.74242700,0
1626048000000,0.23556000,0.24150000,0.18924000,0.20092000,141977098.80000000,1626652799999,30520681.97375500,114912,71310718.60000000,15339879.41744300,0
1626652800000,0.20092000,0.24477000,0.16777000,0.23810000,224916349.70000000,1627257599999,45173248.42555700,164370,114693414.90000000,23073298.05071400,0
1627257600000,0.23818000,0.27850000,0.21379000,0.24343000,260722326.30000000,1627862399999,64829923.42827200,224360,133331402.30000000,33194317.87745000,0
1627862400000,0.24358000,0.32498000,0.23619000,0.27646000,306736069.00000000,1628467199999,86778119.65842200,270548,158580855.60000000,44946246.60816400,0
1628467200000,0.27697000,0.37000000,0.26557000,0.34236000,332484884.80000000,1629071999999,106786941.98073200,340457,168988809.00000000,54301935.90663900,0
1629072000000,0.34236000,0.40780000,0.28896000,0.37849000,396866348.90000000,1629676799999,137888008.04393100,424745,204726204.20000000,71229892.43662900,0
1629676800000,0.37862000,0.43000000,0.30150000,0.41460000,410838645.90000000,1630281599999,149591601.69768500,433497,209032888.50000000,76351233.62198000,0
1630281600000,0.41430000,0.43570000,0.37090000,0.41400000,306237812.50000000,1630886399999,123426872.33628700,384026,149167513.10000000,60134754.80072700,0
1630886400000,0.41360000,0.49910000,0.30900000,0.39770000,448574079.80000000,1631491199999,175228219.12008100,525889,224241341.00000000,87717483.83089100,0
1631491200000,0.39790000,0.50120000,0.35050000,0.38480000,399228588.10000000,1632095999999,169649238.97094900,470154,194776112.10000000,82906137.83834900,0
1632096000000,0.38440000,0.38530000,0.27580000,0.30360000,205325562.30000000,1632700799999,67166546.26176200,196542,99830294.60000000,32652569.16501200,0
1632700800000,0.30320000,0.36500000,0.26500000,0.34380000,184483590.10000000,1633305599999,57103811.14786400,182226,90940882.00000000,28184161.24555000,0
1633305600000,0.34350000,0.35560000,0.29670000,0.29810000,174268900.00000000,1633910399999,57366477.19180000,202877,86458268.00000000,28487666.66900000,0
1633910400000,0.29800000,0.48900000,0.27630000,0.35200000,506659722.00000000,1634515199999,189485252.31625000,549425,256533388.00000000,96171316.36095000,0
1634515200000,0.35190000,0.37900000,0.31910000,0.32340000,160717069.00000000,1635119999999,55965970.60190000,180747,80639731.00000000,28087387.55720000,0
1635120000000,0.32340000,0.43640000,0.27350000,0.34090000,351786285.00000000,1635724799999,120678117.33710000,413324,173222011.00000000,59463095.71640000,0
1635724800000,0.34110000,0.40880000,0.32100000,0.40410000,405552070.00000000,1636329599999,150128899.21930000,475951,207758032.00000000,77017021.54050000,0
1636329600000,0.40410000,0.40540000,0.31810000,0.36610000,306632804.00000000,1636934399999,113231084.19070000,327008,144142007.00000000,53266937.78910000,0
1636934400000,0.36600000,0.39060000,0.30080000,0.36450000,384421982.00000000,1637539199999,133570068.52000000,398487,186630084.00000000,64873699.64180000,0
