otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,1.04290000,1.13500000,1.02390000,1.13180000,3788782.62000000,1609545599999,4075879.39416400,29154,1908865.92000000,2055196.62892600,0
1609545600000,1.13060000,1.16000000,1.03570000,1.06040000,3817826.50000000,1609631999999,4175963.24023200,34558,2004978.22000000,2195681.48990000,0
1609632000000,1.05970000,1.20500000,1.03530000,1.18130000,4312248.05000000,1609718399999,4792287.95903900,35309,2089701.88000000,2329267.35623800,0
1609718400000,1.18130000,1.33890000,1.01610000,1.31490000,13086069.28000000,1609804799999,15440756.72760300,95086,6290229.43000000,7438637.80605500,0
1609804800000,1.31720000,1.62060000,1.15690000,1.47910000,16881096.14000000,1609891199999,23641541.40776600,119654,8508727.47000000,11930791.42445400,0
1609891200000,1.47760000,1.58470000,1.35900000,1.44250000,9972066.14000000,1609977599999,14735533.57791300,74998,4877439.42000000,7215940.84758900,0
1609977600000,1.44390000,1.57000000,1.31100000,1.39910000,8773305.59000000,1610063999999,12887084.47695300,64634,4384075.24000000,6449764.78912900,0
1610064000000,1.39930000,1.90000000,1.25000000,1.63390000,20160049.13000000,1610150399999,32543551.72076500,125882,9813462.16000000,15859212.16742200,0
1610150400000,1.63390000,1.79990000,1.50000000,1.72420000,14523410.39000000,1610236799999,23620845.63922800,112004,7071897.44000000,11535516.91812700,0
1610236800000,1.72920000,1.92800000,1.48100000,1.61850000,13890046.19000000,1610323199999,23745033.48384500,108927,6821414.02000000,11698047.14998800,0
1610323200000,1.61750000,1.62060000,1.20530000,1.41000000,12466793.46000000,1610409599999,17243620.72998400,84347,6154909.34000000,8500302.96447200,0
1610409600000,1.41280000,1.58760000,1.30600000,1.44360000,9301988.41000000,1610495999999,13510006.13898900,60108,4545231.18000000,6598156.10104700,0
1610496000000,1.44470000,1.69000000,1.37500000,1.65730000,7531327.90000000,1610582399999,11670290.05547700,53100,3816686.73000000,5914895.87939000,0
1610582400000,1.65790000,1.73000000,1.56590000,1.69680000,5656118.66000000,1610668799999,9262153.75120500,42671,2824646.69000000,4633124.02360500,0
1610668800000,1.69920000,1.75970000,1.49250000,1.71000000,9592721.39000000,1610755199999,15717384.70965100,70093,4513495.98000000,7420813.69968100,0
1610755200000,1.70860000,1.97670000,1.69630000,1.77030000,9077405.09000000,1610841599999,16372553.77475600,69046,4605362.50000000,8311912.96791300,0
1610841600000,1.77270000,1.85190000,1.60000000,1.81920000,7808740.61000000,1610927999999,13495928.57666300,57951,3827835.87000000,6625270.48002000,0
1610928000000,1.81740000,2.04700000,1.77610000,1.90770000,7993357.09000000,1611014399999,15284829.02814500,63069,4046687.01000000,7749845.24348600,0
1611014400000,1.91110000,2.01200000,1.76450000,1.79710000,5183383.78000000,1611100799999,9942768.14275100,39763,2664513.57000000,5117629.88877400,0
1611100800000,1.79710000,1.88900000,1.65000000,1.83040000,5979571.12000000,1611187199999,10531566.30175800,51717,2891041.09000000,5100666.74270000,0
1611187200000,1.83170000,1.84210000,1.50500000,1.53670000,6478031.79000000,1611273599999,10558731.32506500,50882,2915003.50000000,4778411.16897900,0
1611273600000,1.53370000,1.70070000,1.42000000,1.67190000,4742396.96000000,1611359999999,7505484.93570800,38147,2319185.38000000,3679729.49921400,0
1611360000000,1.67240000,1.79580000,1.63000000,1.76250000,5207968.83000000,1611446399999,8946094.64525600,41776,2559770.29000000,4398479.29475600,0
1611446400000,1.76250000,1.97500000,1.72370000,1.97420000,5262866.52000000,1611532799999,9654787.35609400,42955,2517937.45000000,4627432.03202000,0
1611532800000,1.97420000,2.18100000,1.86410000,1.89970000,8810900.85000000,1611619199999,18152332.91218900,72688,4288883.84000000,8848162.38961800,0
1611619200000,1.89810000,2.23000000,1.86570000,2.22690000,9339221.22000000,1611705599999,18750977.02944200,71955,4750277.03000000,9562007.08622400,0
1611705600000,2.22880000,2.23000000,1.79470000,1.88350000,7525283.40000000,1611791999999,14779299.35275500,63931,3588423.97000000,7049623.74040800,0
1611792000000,1.88270000,2.06600000,1.81990000,1.91740000,6696760.88000000,1611878399999,13167747.58167900,52592,3018070.01000000,5946530.17018800,0
1611878400000,1.91680000,1.93230000,1.80260000,1.88360000,6253131.12000000,1611964799999,11673337.60082100,48723,3027530.93000000,5656647.00340400,0
1611964800000,1.88350000,2.12560000,1.80380000,2.06560000,7838030.78000000,1612051199999,15418460.63972000,60903,3914626.51000000,7706137.75027000,0
1612051200000,2.06600000,2.49080000,2.03170000,2.48400000,13376065.49000000,1612137599999,29601012.13437600,110637,6662169.38000000,14763308.75203600,0
