otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00223100,0.00280000,0.00221100,0.00256100,404729511.00000000,1609545599999,1007360.55672300,12489,207317007.00000000,519138.50007100,0
1609545600000,0.00254500,0.00254500,0.00231500,0.00243300,116980939.00000000,1609631999999,282361.44240100,6973,53821616.00000000,129936.60901300,0
1609632000000,0.00243100,0.00270200,0.00235000,0.00242200,496092906.00000000,1609718399999,1251855.72302600,15291,245801099.00000000,619586.03495500,0
1609718400000,0.00243300,0.00304100,0.00195000,0.00254800,802350681.00000000,1609804799999,2116448.00416900,20293,388178808.00000000,1028584.82989600,0
1609804800000,0.00254100,0.00257200,0.00233700,0.00242100,223316254.00000000,1609891199999,551733.49842700,9359,121725926.00000000,300813.87824900,0
1609891200000,0.00242300,0.00278700,0.00236500,0.00262300,246263109.00000000,1609977599999,618298.03409300,9899,137193102.00000000,344041.77194900,0
1609977600000,0.00261900,0.00271500,0.00253900,0.00260000,181112876.00000000,1610063999999,474675.81769200,8826,87718341.00000000,230387.42419300,0
1610064000000,0.00260100,0.00278000,0.00232400,0.00260600,247522214.00000000,1610150399999,632670.58830700,11699,120418198.00000000,308113.35352500,0
1610150400000,0.00260700,0.00331400,0.00257100,0.00291800,578907402.00000000,1610236799999,1668728.37650400,13790,326551501.00000000,945593.86549200,0
1610236800000,0.00291800,0.00291800,0.00246800,0.00270400,207712991.00000000,1610323199999,575342.72391000,8848,105796934.00000000,293326.08815900,0
1610323200000,0.00272300,0.00273000,0.00203500,0.00248600,168949976.00000000,1610409599999,401636.44256900,7787,74866149.00000000,178728.54832100,0
1610409600000,0.00248200,0.00261000,0.00227900,0.00243700,161420410.00000000,1610495999999,395870.69059000,8304,81857396.00000000,200664.25095900,0
1610496000000,0.00243400,0.00264900,0.00235000,0.00257600,153805661.00000000,1610582399999,380769.33077000,7711,79294423.00000000,196347.60456800,0
1610582400000,0.00258000,0.00279900,0.00250700,0.00267800,239657810.00000000,1610668799999,633579.13900500,6542,112519731.00000000,297277.58925400,0
1610668800000,0.00268000,0.00272400,0.00246800,0.00269600,182533078.00000000,1610755199999,480271.76389300,7984,96187881.00000000,253520.11290800,0
1610755200000,0.00269600,0.00329900,0.00261000,0.00286300,599720311.00000000,1610841599999,1761091.90404400,14222,311007213.00000000,915637.56793100,0
1610841600000,0.00288100,0.00295500,0.00260100,0.00285700,289579366.00000000,1610927999999,809687.42475500,10845,137204521.00000000,383527.71523600,0
1610928000000,0.00284100,0.00318000,0.00266000,0.00292700,646705357.00000000,1611014399999,1887722.63887300,16103,340950374.00000000,993291.55869600,0
1611014400000,0.00293900,0.00329000,0.00291900,0.00308500,378094456.00000000,1611100799999,1156988.69648200,12826,197724538.00000000,607272.61253000,0
1611100800000,0.00308500,0.00308500,0.00274700,0.00301000,364508524.00000000,1611187199999,1053329.80834300,13305,193192694.00000000,558374.62592100,0
1611187200000,0.00300000,0.00301300,0.00256800,0.00266000,150913470.00000000,1611273599999,412782.72498400,8744,69128814.00000000,189523.59955400,0
1611273600000,0.00265900,0.00283800,0.00242900,0.00271700,202662141.00000000,1611359999999,529276.31259800,10381,96319836.00000000,252548.38395600,0
1611360000000,0.00271400,0.00274900,0.00259300,0.00269400,118434719.00000000,1611446399999,318140.33554500,7398,49221897.00000000,132327.98593400,0
1611446400000,0.00269200,0.00292000,0.00266500,0.00277400,168582468.00000000,1611532799999,470063.05946400,5786,80063599.00000000,223175.81866400,0
1611532800000,0.00275700,0.00300000,0.00270600,0.00276500,243155285.00000000,1611619199999,684197.21964600,6801,119621775.00000000,337864.11459100,0
1611619200000,0.00276200,0.00281000,0.00260500,0.00273600,131486030.00000000,1611705599999,352860.74801900,5779,63562820.00000000,170514.73624100,0
1611705600000,0.00272900,0.00274500,0.00243500,0.00255200,108816921.00000000,1611791999999,279184.93061200,5901,54727272.00000000,140081.07457600,0
1611792000000,0.00255000,0.00305500,0.00252800,0.00293300,542086523.00000000,1611878399999,1548492.99533700,15242,272020251.00000000,779981.13324000,0
1611878400000,0.00292800,0.00350000,0.00288900,0.00308100,875561734.00000000,1611964799999,2765368.67757500,23985,439823727.00000000,1389207.32161600,0
1611964800000,0.00309500,0.00397500,0.00302900,0.00339100,1536672247.00000000,1612051199999,5316752.31117200,36036,738728212.00000000,2563970.11902800,0
1612051200000,0.00339000,0.00361900,0.00293300,0.00317800,665035231.00000000,1612137599999,2127150.65216400,18722,310887710.00000000,995348.82847700,0
1612137600000,0.00318300,0.00319500,0.00295900,0.00311300,331496138.00000000,1612223999999,1007652.05131900,9933,173538187.00000000,527477.73506000,0
1612224000000,0.00310000,0.00745600,0.00305100,0.00513600,11070693492.00000000,1612310399999,57670763.48892400,236549,5459094093.00000000,28428854.28815000,0
