otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.01648000,0.01747000,0.01616000,0.01713000,8509985.90000000,1609545599999,142984.82748000,1599,4693271.00000000,78930.26496000,0
1609545600000,0.01700000,0.01842000,0.01660000,0.01770000,13198426.10000000,1609631999999,230718.09235600,3404,6687497.20000000,117347.93644200,0
1609632000000,0.01770000,0.01782000,0.01620000,0.01697000,8551040.20000000,1609718399999,142616.27653000,1883,2835241.20000000,47506.75754200,0
1609718400000,0.01683000,0.01713000,0.01481000,0.01599000,11119310.60000000,1609804799999,180270.62528700,2605,4137310.10000000,66636.30072700,0
1609804800000,0.01590000,0.01644000,0.01550000,0.01641000,7068246.20000000,1609891199999,112568.25146500,1902,3714863.20000000,59358.26768600,0
1609891200000,0.01631000,0.01780000,0.01596000,0.01700000,16082771.10000000,1609977599999,268288.37730700,2940,7941582.30000000,132528.55265300,0
1609977600000,0.01700000,0.01790000,0.01640000,0.01733000,15427865.80000000,1610063999999,263224.41801500,3322,6417984.40000000,109805.97566100,0
1610064000000,0.01729000,0.01846000,0.01609000,0.01830000,16677662.60000000,1610150399999,286549.08088700,3716,7854881.40000000,135778.85345500,0
1610150400000,0.01819000,0.01972000,0.01770000,0.01955000,17790509.40000000,1610236799999,332622.47709500,4330,9157477.20000000,171359.45532700,0
1610236800000,0.01955000,0.01987000,0.01746000,0.01814000,13484004.60000000,1610323199999,249434.81975200,3148,5472433.20000000,101177.29892900,0
1610323200000,0.01798000,0.01798000,0.01500000,0.01656000,13130202.90000000,1610409599999,214720.04244000,3059,5638245.20000000,92532.02678800,0
1610409600000,0.01655000,0.01698000,0.01581000,0.01638000,6256430.50000000,1610495999999,102884.34904300,1741,2716091.80000000,44896.49505000,0
1610496000000,0.01638000,0.01736000,0.01580000,0.01721000,6972390.00000000,1610582399999,116277.01869800,1873,3735014.00000000,62288.84674200,0
1610582400000,0.01726000,0.01912000,0.01712000,0.01885000,13749984.50000000,1610668799999,249893.75976700,3742,7954614.10000000,144370.04625500,0
1610668800000,0.01876000,0.01950000,0.01720000,0.01890000,16269709.20000000,1610755199999,300938.42599500,4491,7112993.00000000,131530.15816600,0
1610755200000,0.01890000,0.02200000,0.01885000,0.01953000,48621210.90000000,1610841599999,999134.43098700,9619,30151535.10000000,622999.87468700,0
1610841600000,0.01954000,0.01965000,0.01778000,0.01941000,18990225.50000000,1610927999999,357507.92987200,4331,9241011.00000000,174602.37302500,0
1610928000000,0.01920000,0.02118000,0.01803000,0.02026000,77745225.50000000,1611014399999,1545581.15390000,10268,44806995.10000000,891342.69834500,0
1611014400000,0.02025000,0.02090000,0.01945000,0.01992000,13179633.70000000,1611100799999,263480.88612600,4012,5425675.70000000,108774.15958500,0
1611100800000,0.01992000,0.02449000,0.01907000,0.02177000,159299422.60000000,1611187199999,3457129.31154600,24059,90979731.10000000,1977642.67262800,0
1611187200000,0.02193000,0.02574000,0.01883000,0.01913000,92745950.70000000,1611273599999,2098359.28872800,21105,45700079.00000000,1039596.44925800,0
