otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.47540000,0.49020000,0.46250000,0.47720000,539100.23000000,1609545599999,256312.43189700,1419,164759.59000000,78641.20129400,0
1609545600000,0.47710000,0.47740000,0.41650000,0.44690000,895068.11000000,1609631999999,407427.74422500,2495,427058.51000000,195806.43588200,0
1609632000000,0.44650000,0.45940000,0.41220000,0.45370000,1210292.41000000,1609718399999,530279.85071200,3878,534458.72000000,234716.07313300,0
1609718400000,0.45240000,0.48980000,0.40630000,0.43230000,1013585.56000000,1609804799999,443301.28453800,3959,363981.24000000,160910.03507100,0
1609804800000,0.43140000,0.45830000,0.40810000,0.44140000,687951.52000000,1609891199999,299687.72355100,2748,359010.38000000,157464.27329600,0
1609891200000,0.44100000,0.48890000,0.42370000,0.45910000,1809142.61000000,1609977599999,826144.89176400,4640,834209.89000000,381993.63277500,0
1609977600000,0.46400000,0.59370000,0.45740000,0.49990000,6690260.25000000,1610063999999,3554526.50733200,15405,3490886.41000000,1874550.85768100,0
1610064000000,0.49830000,0.51490000,0.45200000,0.48500000,1721867.53000000,1610150399999,828229.94764800,4238,740111.46000000,357904.99953000,0
1610150400000,0.48390000,0.56800000,0.46510000,0.53580000,1719065.82000000,1610236799999,882663.76201900,5096,849446.34000000,436774.14011500,0
1610236800000,0.53670000,0.59110000,0.46970000,0.52230000,2413038.95000000,1610323199999,1321291.32957500,6731,1168223.33000000,643546.25361800,0
1610323200000,0.51900000,0.52180000,0.42470000,0.45930000,1762999.08000000,1610409599999,828037.56730600,5789,827363.16000000,390216.11194300,0
1610409600000,0.45930000,0.51500000,0.44210000,0.44900000,1240696.83000000,1610495999999,580194.35411300,4553,630183.25000000,296250.69660500,0
1610496000000,0.44870000,0.47790000,0.42330000,0.46950000,1083100.85000000,1610582399999,490385.41496700,3992,429218.04000000,195135.10319500,0
1610582400000,0.46940000,0.50470000,0.46250000,0.47860000,936806.91000000,1610668799999,447697.37037600,3417,479024.65000000,229679.40827300,0
1610668800000,0.47970000,0.53000000,0.45250000,0.48640000,1568073.54000000,1610755199999,772952.51727500,4754,783401.64000000,387269.31892900,0
1610755200000,0.48630000,0.54400000,0.48390000,0.51720000,1009444.71000000,1610841599999,520372.72545400,4348,524478.86000000,270109.73307800,0
1610841600000,0.51740000,0.57350000,0.49210000,0.56840000,1446566.84000000,1610927999999,772783.59907300,5301,643148.25000000,344995.16512300,0
1610928000000,0.57210000,0.57500000,0.50100000,0.56220000,893878.36000000,1611014399999,491858.13842000,3812,407486.68000000,225504.35463000,0
1611014400000,0.56190000,0.64000000,0.55880000,0.58330000,2757142.43000000,1611100799999,1649324.96102700,8938,1523538.23000000,911800.79395700,0
1611100800000,0.58330000,0.59440000,0.50170000,0.55580000,2137561.63000000,1611187199999,1158336.82524000,6189,1095321.71000000,595543.65440700,0
1611187200000,0.55580000,0.55580000,0.48690000,0.50780000,1713304.78000000,1611273599999,887252.83160700,5519,654735.52000000,340509.00821900,0
1611273600000,0.51040000,0.53080000,0.47240000,0.52130000,775911.71000000,1611359999999,394020.13459700,3378,328774.67000000,167687.41991200,0
