otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.39600000,0.44570000,0.39490000,0.42720000,11214474.39000000,1609545599999,4726645.61204200,16116,5938398.37000000,2508584.27492800,0
1609545600000,0.42930000,0.48940000,0.42610000,0.45730000,21710037.66000000,1609631999999,9995094.02371500,28383,10676217.18000000,4920470.07369800,0
1609632000000,0.45680000,0.53000000,0.45440000,0.48180000,16250899.65000000,1609718399999,7963264.62643100,23968,8251272.63000000,4052358.05516600,0
1609718400000,0.48340000,0.51000000,0.42080000,0.49100000,15712589.27000000,1609804799999,7440278.57457000,22403,7599731.88000000,3609498.15578600,0
1609804800000,0.49350000,0.54390000,0.45330000,0.52140000,10234752.55000000,1609891199999,5187405.68460800,19676,5274984.65000000,2680433.46412600,0
1609891200000,0.52230000,0.54810000,0.48600000,0.52410000,10994152.96000000,1609977599999,5696464.53055000,21162,4870654.95000000,2532344.87260600,0
1609977600000,0.52170000,0.56850000,0.50000000,0.54260000,8048651.81000000,1610063999999,4337314.18667400,16375,3897063.46000000,2104677.08385500,0
1610064000000,0.54260000,0.54460000,0.45710000,0.49410000,9200223.72000000,1610150399999,4634478.80459000,17858,4370271.86000000,2200763.21094600,0
1610150400000,0.49420000,0.52500000,0.48500000,0.49830000,6438495.15000000,1610236799999,3218455.69438000,13244,2949849.89000000,1477338.99922600,0
1610236800000,0.49940000,0.52990000,0.44000000,0.47350000,9558231.10000000,1610323199999,4657577.03939700,16195,4651107.36000000,2270272.61691500,0
1610323200000,0.47220000,0.49690000,0.38670000,0.49510000,18272366.48000000,1610409599999,7985357.33461800,21119,8586019.62000000,3765115.77157900,0
1610409600000,0.49510000,0.53630000,0.45080000,0.48250000,13839234.70000000,1610495999999,6873294.34688000,20688,6526810.24000000,3250801.68898100,0
1610496000000,0.48440000,0.57330000,0.46300000,0.55720000,12470500.19000000,1610582399999,6551709.89738700,20104,6204811.26000000,3261491.65964400,0
1610582400000,0.55730000,0.59800000,0.48740000,0.50800000,15920066.63000000,1610668799999,8574635.41443100,31347,6987203.90000000,3779444.76159700,0
1610668800000,0.50750000,0.52200000,0.44370000,0.48870000,13790874.33000000,1610755199999,6746110.12887900,25015,5835642.53000000,2854921.26372900,0
1610755200000,0.48760000,0.51000000,0.46640000,0.47660000,7592606.12000000,1610841599999,3728828.09008100,14826,3463956.79000000,1703882.17328400,0
1610841600000,0.47660000,0.52500000,0.45820000,0.48970000,8081284.58000000,1610927999999,3961731.00284100,16234,3949345.89000000,1937880.86963000,0
1610928000000,0.48960000,0.50800000,0.47560000,0.47980000,5191253.11000000,1611014399999,2541917.03570900,11475,2125133.09000000,1043324.81094000,0
1611014400000,0.47990000,0.54260000,0.46390000,0.50460000,13787893.56000000,1611100799999,6962249.27869500,28280,6650922.15000000,3363445.43008000,0
1611100800000,0.50370000,0.51700000,0.47520000,0.49260000,7614641.48000000,1611187199999,3764205.76525500,15289,3200240.76000000,1585708.47003200,0
1611187200000,0.49240000,0.50400000,0.44000000,0.45290000,10519569.43000000,1611273599999,5010694.76825200,18010,4917675.55000000,2349125.26267400,0
1611273600000,0.45300000,0.49500000,0.43280000,0.47650000,5528809.61000000,1611359999999,2625099.17214500,11835,2577080.91000000,1225719.89542900,0
1611360000000,0.47790000,0.49400000,0.47420000,0.48470000,4055408.73000000,1611446399999,1966060.31739100,9179,1957114.42000000,949306.52097100,0
1611446400000,0.48440000,0.50910000,0.48120000,0.49510000,8644576.46000000,1611532799999,4302542.46695500,17314,4131007.24000000,2056357.83338000,0
1611532800000,0.49530000,0.50270000,0.46510000,0.46630000,6345319.14000000,1611619199999,3093992.16287600,13233,2810928.82000000,1372358.26304700,0
1611619200000,0.46910000,0.47600000,0.45620000,0.47080000,4051296.95000000,1611705599999,1887634.36738600,8363,2008536.54000000,936836.29233800,0
1611705600000,0.47210000,0.47530000,0.42010000,0.42600000,4870240.58000000,1611791999999,2170830.77764100,10601,2220197.41000000,991074.49182000,0
1611792000000,0.42600000,0.45500000,0.42200000,0.44190000,4656955.00000000,1611878399999,2059190.74081000,10673,2180709.20000000,964494.85183900,0
1611878400000,0.44130000,0.46220000,0.42620000,0.44080000,8902943.34000000,1611964799999,3958239.98076400,15427,4184015.67000000,1863119.31804800,0
1611964800000,0.44080000,0.45370000,0.41180000,0.42870000,11549532.27000000,1612051199999,4938458.36556900,21476,4861163.47000000,2080311.50287000,0
1612051200000,0.42860000,0.44500000,0.41270000,0.42760000,6436669.90000000,1612137599999,2756528.74644400,12803,2784414.38000000,1193987.54532300,0
1612137600000,0.42860000,0.45000000,0.41090000,0.44390000,10823254.89000000,1612223999999,4665819.91508900,17208,5289394.00000000,2290712.99906100,0
1612224000000,0.44330000,0.47000000,0.43610000,0.46330000,7468785.79000000,1612310399999,3390460.55505300,15802,3453494.65000000,1569523.45330200,0
1612310400000,0.46160000,0.49340000,0.45620000,0.46240000,8685012.98000000,1612396799999,4076828.17492600,17482,4146243.24000000,1948426.17955900,0
1612396800000,0.46300000,0.46780000,0.43100000,0.44910000,11515786.19000000,1612483199999,5208312.36108500,20642,5111367.33000000,2312084.54762200,0
1612483200000,0.44900000,0.47500000,0.44250000,0.46600000,11817670.72000000,1612569599999,5467835.81974400,22955,6205235.98000000,2874788.97067100,0
1612569600000,0.46600000,0.46970000,0.44240000,0.44590000,11528572.37000000,1612655999999,5230096.28213500,24348,5087441.06000000,2309380.43949000,0
1612656000000,0.44590000,0.48550000,0.43060000,0.46890000,16380590.73000000,1612742399999,7526407.01516300,30379,8243751.92000000,3796408.80706800,0
1612742400000,0.46990000,0.49070000,0.45820000,0.48020000,13732455.12000000,1612828799999,6562203.86077500,25986,6442804.39000000,3082322.96638200,0
1612828800000,0.48200000,0.70790000,0.47310000,0.53230000,59510643.96000000,1612915199999,34401864.07601300,76211,31079787.86000000,18018551.78393900,0
1612915200000,0.53230000,0.59060000,0.49410000,0.56970000,24950299.58000000,1613001599999,13426934.55179900,47668,11787839.28000000,6363575.45831100,0
1613001600000,0.57000000,0.66660000,0.54200000,0.64500000,26679386.57000000,1613087999999,16219226.50996300,57028,13866269.94000000,8442523.01907900,0
1613088000000,0.64550000,0.78000000,0.64500000,0.72850000,26715778.19000000,1613174399999,19268492.91657900,64855,13880152.40000000,10010277.68490800,0
1613174400000,0.72890000,0.78000000,0.66000000,0.69710000,12858137.09000000,1613260799999,9267593.29865200,37640,6114184.54000000,4410967.13494000,0
1613260800000,0.69770000,0.74370000,0.62680000,0.66890000,11253504.57000000,1613347199999,7615654.11851600,29508,4923861.60000000,3351441.03556700,0
1613347200000,0.66910000,0.74950000,0.58510000,0.69050000,13004254.12000000,1613433599999,8724548.07496000,31985,6529832.24000000,4380794.53220100,0
1613433600000,0.69190000,0.74000000,0.64870000,0.67520000,8253096.70000000,1613519999999,5737227.45917900,22180,3760037.85000000,2612351.64657400,0
1613520000000,0.67480000,0.72800000,0.65310000,0.71580000,9764631.29000000,1613606399999,6773654.25060500,26100,5045996.26000000,3501508.50843900,0
1613606400000,0.71580000,0.79890000,0.71000000,0.78880000,9152949.62000000,1613692799999,6818506.98551500,28315,4773604.14000000,3561986.12591400,0
1613692800000,0.78920000,0.89950000,0.76300000,0.83670000,13082723.85000000,1613779199999,10845368.75714200,49447,6251208.55000000,5181482.93697600,0
1613779200000,0.83690000,0.85510000,0.72160000,0.76750000,11546615.29000000,1613865599999,9311476.95824700,37800,5017313.17000000,4052584.25537800,0
1613865600000,0.76760000,0.83750000,0.74470000,0.81490000,8396118.09000000,1613951999999,6687277.89968500,28971,4528883.08000000,3611263.83888300,0
1613952000000,0.81600000,0.81790000,0.62500000,0.78360000,12707848.24000000,1614038399999,9248795.15098500,39216,6352057.61000000,4630775.92531000,0
1614038400000,0.78410000,0.85330000,0.60840000,0.84810000,20874899.90000000,1614124799999,15252985.48241800,53911,10415874.82000000,7637668.85315800,0
1614124800000,0.84680000,1.19960000,0.78280000,1.09600000,64823168.24000000,1614211199999,66860316.29282800,172902,32221701.96000000,33309547.66160700,0
1614211200000,1.09700000,1.19000000,1.00000000,1.03320000,20801622.38000000,1614297599999,22758728.95156700,69683,10102931.46000000,11068602.31808400,0
1614297600000,1.03790000,1.06900000,0.88760000,1.01170000,13451859.98000000,1614383999999,12989126.17244800,50345,6140225.92000000,5952162.40310700,0
1614384000000,1.01110000,1.14160000,0.97170000,1.00080000,8923316.23000000,1614470399999,9467694.58024300,40991,4247300.01000000,4521185.03243600,0
1614470400000,1.00280000,1.03410000,0.87450000,0.93150000,9627113.90000000,1614556799999,9071343.91908400,32131,4259432.89000000,4017223.62410800,0
1614556800000,0.93160000,1.00450000,0.92570000,0.97810000,7551332.85000000,1614643199999,7262330.00445900,28468,3528046.95000000,3404653.99985300,0
1614643200000,0.97850000,1.02440000,0.92220000,1.01370000,8505989.20000000,1614729599999,8326874.51909400,32368,4200723.85000000,4114433.26106300,0
1614729600000,1.01370000,1.10510000,1.00160000,1.04370000,6900293.35000000,1614815999999,7333000.10490500,30536,3544253.48000000,3764922.88793500,0
1614816000000,1.04360000,1.35000000,0.98000000,1.19690000,27161611.67000000,1614902399999,31805640.30837200,88840,14701128.49000000,17286347.84647100,0
1614902400000,1.19650000,1.42000000,1.10000000,1.21160000,25610045.12000000,1614988799999,32294579.49474700,100954,13156928.62000000,16616025.74535000,0
1614988800000,1.21060000,1.24060000,1.11260000,1.18600000,8344210.57000000,1615075199999,9806480.76755400,41668,4221900.88000000,4967740.76011300,0
1615075200000,1.18550000,1.27000000,1.13200000,1.20280000,7581843.66000000,1615161599999,9050999.80919200,39151,3809587.92000000,4559629.68933800,0
1615161600000,1.20480000,1.23860000,1.13000000,1.19900000,5909143.34000000,1615247999999,6953066.74206400,28794,2878226.88000000,3388271.33661400,0
1615248000000,1.19910000,1.25790000,1.14510000,1.23000000,7435870.16000000,1615334399999,8851165.38946400,36104,3691884.18000000,4402226.76700700,0
