otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.48340000,0.56850000,0.42080000,0.47350000,70187096.56000000,1610323199999,35171974.51476900,126913,33613664.05000000,16875328.40346000,0
1610323200000,0.47220000,0.59800000,0.38670000,0.48970000,89966933.03000000,1610927999999,44421666.21511700,149333,41553790.23000000,20553538.18844400,0
1610928000000,0.48960000,0.54260000,0.43280000,0.49510000,55342152.38000000,1611532799999,27172768.80440200,111382,25559174.12000000,12572988.22350600,0
1611532800000,0.49530000,0.50270000,0.41180000,0.42760000,46812957.18000000,1612137599999,20864875.14149000,92576,21049965.49000000,9402182.26528500,0
1612137600000,0.42860000,0.49340000,0.41090000,0.46890000,78219673.67000000,1612742399999,35565760.12319500,148816,37536928.18000000,17101325.39677300,0
1612742400000,0.46990000,0.78000000,0.45820000,0.66890000,175700205.08000000,1613347199999,106761969.33229700,338896,88094900.01000000,53679659.08312600,0
1613347200000,0.66910000,0.89950000,0.58510000,0.81490000,73200388.96000000,1613951999999,54898060.38533300,224798,35906875.29000000,26901971.84436500,0
1613952000000,0.81600000,1.19960000,0.60840000,0.93150000,151209828.87000000,1614556799999,145648990.54957300,459179,73739524.67000000,71137165.81781000,0
1614556800000,0.93160000,1.42000000,0.92220000,1.20280000,91655326.42000000,1615161599999,105879905.00832300,361985,47162570.19000000,54713754.19012300,0
1615161600000,1.20480000,1.30000000,1.07000000,1.14740000,54803567.28000000,1615766399999,65388957.02229800,266172,27848495.86000000,33331197.04715300,0
1615766400000,1.14600000,1.44980000,1.06590000,1.27310000,35513124.82000000,1616371199999,44259809.50774000,197146,17691402.96000000,22079742.11540000,0
1616371200000,1.27670000,1.36400000,1.06500000,1.25200000,56228706.85000000,1616975999999,70369344.04146300,245524,28348358.25000000,35510329.71531000,0
1616976000000,1.25240000,1.30200000,1.10790000,1.15500000,21771237.28000000,1617580799999,26631531.36378100,124253,9847572.33000000,12076160.03968600,0
1617580800000,1.15500000,2.84990000,1.12910000,1.87960000,259629068.32000000,1618185599999,553477282.04923300,1186774,132647302.99000000,282358665.31168200,0
1618185600000,1.87880000,2.73000000,1.78890000,1.98980000,72911129.02000000,1618790399999,167840136.01077400,552947,37451480.68000000,86398465.70212100,0
1618790400000,1.98450000,2.66830000,1.63580000,1.75550000,66997542.23000000,1619395199999,148737909.68905200,450066,34373788.22000000,76452446.74959500,0
1619395200000,1.75600000,2.30000000,1.74320000,2.07260000,26960025.33000000,1619999999999,56777205.53252900,209810,14790217.12000000,31178213.11343100,0
1620000000000,2.07260000,2.21950000,1.82600000,1.93580000,38361904.91000000,1620604799999,78543574.64021400,285354,20242601.19000000,41540171.08522000,0
1620604800000,1.93590000,1.95990000,1.43000000,1.52450000,39072001.02000000,1621209599999,67496138.80877300,237787,19644440.94000000,33923519.24655400,0
1621209600000,1.52490000,1.56570000,0.75000000,0.91300000,58838357.40000000,1621814399999,64149912.32892400,205769,29300801.45000000,31976303.12827600,0
1621814400000,0.91790000,1.43000000,0.91540000,0.96830000,81000383.34000000,1622419199999,85498381.91753600,290194,42258270.76000000,44674704.76446100,0
1622419200000,0.96540000,1.08940000,0.90000000,1.00000000,39152166.46000000,1623023999999,38984820.42541300,158505,20312754.86000000,20219714.83689400,0
1623024000000,1.00000000,1.04170000,0.81020000,0.89590000,37734152.23000000,1623628799999,34135653.29025600,142738,19169503.10000000,17343773.65408400,0
1623628800000,0.89490000,1.04100000,0.74320000,0.79730000,32872721.55000000,1624233599999,28879142.23143600,118775,16850659.26000000,14804622.31564400,0
1624233600000,0.79580000,0.80010000,0.50000000,0.68900000,62451282.64000000,1624838399999,40199858.56852900,182730,30653766.40000000,19759426.10591500,0
1624838400000,0.68740000,0.90050000,0.66410000,0.85970000,45061450.17000000,1625443199999,35791668.06457600,142611,24104951.83000000,19162792.02722400,0
