otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,6.45600000,6.73100000,5.99300000,6.12800000,52408.92100000,1609545599999,333058.95948400,3222,25526.58700000,162230.59969100,0
1609545600000,6.10200000,6.50000000,5.97500000,6.26800000,57713.20900000,1609631999999,358447.52288200,3230,28637.01400000,178684.40406100,0
1609632000000,6.29000000,6.88700000,6.12200000,6.76300000,75230.01300000,1609718399999,483318.88743100,4123,40544.03400000,260985.87623300,0
1609718400000,6.79900000,7.25000000,5.90000000,6.66600000,82532.29700000,1609804799999,556713.97049700,4852,43696.35900000,295547.87118300,0
1609804800000,6.66400000,6.86700000,6.00000000,6.23400000,102022.29600000,1609891199999,641573.69225000,5525,50095.34900000,314639.30314900,0
1609891200000,6.26500000,7.00000000,6.06000000,6.54600000,98887.99300000,1609977599999,626087.23862200,4574,55147.95700000,350757.37019700,0
1609977600000,6.56600000,7.67100000,6.46600000,6.87600000,171673.13400000,1610063999999,1218893.02032300,8349,78924.90000000,561196.72329600,0
1610064000000,6.92000000,7.29900000,6.37000000,7.13000000,69069.97100000,1610150399999,478555.91513200,3557,32046.40500000,222252.26537100,0
1610150400000,7.10500000,7.70000000,7.01100000,7.57600000,106259.25300000,1610236799999,782510.92821800,5699,50942.33000000,374330.75984700,0
1610236800000,7.59600000,8.18900000,7.25000000,7.72500000,93381.25400000,1610323199999,724494.49071800,5540,49338.14300000,382678.67418500,0
1610323200000,7.65700000,7.68900000,5.62700000,6.43500000,100652.85500000,1610409599999,647256.55473600,4320,53362.55100000,341237.30356200,0
1610409600000,6.41000000,6.81300000,6.23300000,6.42000000,53538.35900000,1610495999999,346791.96552900,2471,30884.01400000,200384.61328700,0
1610496000000,6.42000000,7.18200000,6.22300000,6.85700000,104313.31200000,1610582399999,699418.68694800,4255,44970.36500000,299839.77283400,0
1610582400000,6.89200000,7.75000000,6.50100000,6.67300000,65747.85600000,1610668799999,446404.83051200,3048,32965.08900000,224112.54771100,0
1610668800000,6.67100000,7.50000000,6.40100000,7.13000000,109723.10900000,1610755199999,763479.87350400,4942,57932.87100000,403922.33068400,0
1610755200000,7.17400000,8.22900000,7.00000000,7.87900000,92122.50500000,1610841599999,692316.93555300,5447,48869.55100000,368231.90114000,0
1610841600000,7.86600000,8.50000000,7.33100000,8.21200000,155735.91700000,1610927999999,1243584.23603500,7326,60648.72100000,482255.95248800,0
1610928000000,8.21200000,9.48400000,7.80900000,8.85800000,202003.46300000,1611014399999,1760660.33659600,10867,104397.37200000,906293.67627400,0
1611014400000,8.88900000,8.89400000,8.06100000,8.14100000,87687.04900000,1611100799999,753641.71466300,4980,43287.38600000,373154.36628900,0
1611100800000,8.13000000,8.21400000,7.39900000,8.11700000,69288.75300000,1611187199999,540134.52896700,4061,36523.81300000,283974.32895200,0
1611187200000,8.15000000,8.24300000,7.33500000,7.62300000,51500.78800000,1611273599999,402668.45534100,2775,22960.60400000,180507.09482600,0
1611273600000,7.56500000,8.27500000,7.10000000,7.70300000,39991.71500000,1611359999999,305718.26667700,2745,20725.51000000,159249.60627900,0
1611360000000,7.64200000,7.93500000,7.40300000,7.84700000,43828.45200000,1611446399999,335267.35280700,2216,28488.82500000,218277.92898700,0
1611446400000,7.84600000,8.89000000,7.70600000,8.61200000,153778.69600000,1611532799999,1271592.39734800,8088,81844.55900000,675663.08191500,0
1611532800000,8.61100000,11.70000000,8.49600000,9.47500000,839337.88700000,1611619199999,8735106.69894400,48957,423288.53100000,4402331.76592000,0
1611619200000,9.43900000,11.10000000,8.90000000,9.68600000,204127.25200000,1611705599999,1989272.71643700,12556,100733.12000000,984630.58299400,0
1611705600000,9.67500000,9.72300000,8.33700000,8.64200000,84099.21100000,1611791999999,743985.40455300,6364,43887.00400000,387676.10605900,0
1611792000000,8.69700000,10.00000000,8.47500000,9.62400000,91567.94300000,1611878399999,861567.26762100,7515,44469.27000000,417371.70743600,0
1611878400000,9.63700000,11.00000000,8.77400000,9.77900000,215157.77000000,1611964799999,2072903.60907100,12716,114580.36400000,1102689.44849300,0
1611964800000,9.77800000,15.00000000,9.18500000,9.84900000,705543.45700000,1612051199999,7453718.15563200,35878,354834.33700000,3796551.39190900,0
1612051200000,9.82400000,10.99000000,9.44700000,9.84500000,331246.82100000,1612137599999,3322600.02235300,22751,151350.65900000,1530139.45116400,0
1612137600000,9.79900000,10.57900000,9.10000000,9.88000000,202418.12600000,1612223999999,2007523.19811300,11337,87171.15600000,869654.81647800,0
1612224000000,9.88000000,10.80000000,9.40000000,9.85400000,180840.77000000,1612310399999,1790412.31231100,9779,87340.81500000,871659.38365600,0
1612310400000,9.85500000,10.70000000,9.46000000,10.29500000,376423.73600000,1612396799999,3758937.65021900,18878,187707.82300000,1894980.48896700,0
1612396800000,10.32900000,12.44500000,10.29500000,11.21500000,1238948.14900000,1612483199999,13784482.17011500,47840,629315.73000000,7049684.77671700,0
1612483200000,11.21500000,12.59700000,10.80000000,12.05100000,1332685.85800000,1612569599999,15615312.61364500,33257,665066.82500000,7872914.70249800,0
1612569600000,12.03400000,13.30000000,11.20000000,12.81300000,960828.17100000,1612655999999,11967520.65399300,26265,542076.69300000,6822118.46140900,0
1612656000000,12.75400000,13.98000000,11.75500000,12.08100000,1316662.48900000,1612742399999,16778711.32496800,32641,862271.23100000,11080431.86864800,0
1612742400000,12.07900000,16.78900000,12.02900000,15.01800000,2412973.04700000,1612828799999,32029712.02651200,56622,1406909.99300000,18798021.53697400,0
1612828800000,15.01800000,17.61900000,14.33400000,16.44900000,1371875.81700000,1612915199999,21863613.50746200,40308,706344.76700000,11406025.31801800,0
1612915200000,16.44800000,16.95400000,15.44400000,16.28100000,176101.71900000,1613001599999,2872378.49904300,14554,80924.33500000,1322004.57745700,0
1613001600000,16.30000000,16.89900000,15.68700000,16.73700000,114609.78800000,1613087999999,1856368.92265800,11361,54520.59300000,885687.86388400,0
1613088000000,16.73900000,17.60000000,16.30000000,16.87000000,125362.44900000,1613174399999,2144898.42310600,11975,65540.51800000,1121808.07535100,0
1613174400000,16.96700000,17.65700000,16.63100000,17.23700000,124553.10900000,1613260799999,2139288.05673700,14735,55963.08700000,961390.03519900,0
1613260800000,17.33800000,20.67200000,16.55200000,17.12000000,268549.59100000,1613347199999,4941617.52842300,24372,147303.76000000,2713923.34018200,0
1613347200000,17.12500000,17.40100000,13.16400000,15.61700000,154890.08100000,1613433599999,2388072.59199900,13775,88003.88400000,1356348.99061200,0
1613433600000,15.61300000,17.55000000,15.02500000,15.83500000,161814.56600000,1613519999999,2639729.75073600,13493,87483.96000000,1423287.72081500,0
1613520000000,15.75600000,16.36600000,14.04300000,15.73000000,321879.06400000,1613606399999,5008116.01862000,13192,165763.72600000,2611564.63563300,0
1613606400000,15.76800000,16.98000000,15.55300000,16.34300000,653123.33100000,1613692799999,10706100.51811800,20381,360177.03900000,5945114.11368500,0
1613692800000,16.37800000,18.20000000,15.66400000,17.22500000,823718.80700000,1613779199999,14054739.86394400,31370,430579.83400000,7438971.17758300,0
1613779200000,17.25200000,18.00000000,15.54000000,16.13900000,986151.71500000,1613865599999,16661845.53439400,32487,639316.03500000,10851140.69409100,0
1613865600000,16.07900000,19.52600000,15.73000000,18.17900000,1053983.73700000,1613951999999,18772657.34363500,30770,718219.34200000,12829465.33042200,0
1613952000000,18.17900000,19.20000000,16.00000000,17.29600000,1145619.05700000,1614038399999,20110556.88720000,35060,774280.06500000,13584290.37907800,0
1614038400000,17.28000000,17.77300000,11.24600000,13.46100000,2443222.16500000,1614124799999,37341530.25247800,52953,1857264.38000000,28563081.24384000,0
1614124800000,13.46200000,15.16200000,12.88400000,13.61700000,2736741.59200000,1614211199999,39252706.83046200,39725,1946585.61500000,27990376.42553200,0
1614211200000,13.63200000,16.05800000,12.99000000,13.25100000,3177552.71100000,1614297599999,47252866.96640600,45728,2551765.64700000,38017979.90089800,0
1614297600000,13.25200000,14.52000000,12.60800000,13.46400000,3703597.45600000,1614383999999,50269811.31779300,37911,3175306.22500000,43101893.51400600,0
1614384000000,13.46500000,14.40000000,13.27500000,13.66600000,1733032.08400000,1614470399999,23861065.10646800,26604,1422907.49900000,19617618.70439700,0
1614470400000,13.58100000,14.25000000,12.17500000,12.73400000,2426930.47000000,1614556799999,32154844.64679000,30519,1510050.73600000,20231416.68224100,0
1614556800000,12.74900000,14.40000000,12.29200000,13.91500000,2679986.97400000,1614643199999,36244952.76872200,35616,1269407.40700000,17385709.52434300,0
1614643200000,13.96100000,14.98000000,13.58300000,13.63200000,3138994.84700000,1614729599999,44949916.28124400,46799,1480221.82700000,21425196.85916300,0
1614729600000,13.63200000,14.85000000,13.59400000,14.10200000,2940745.07100000,1614815999999,42048054.29684500,45824,1657246.38800000,23829875.46045600,0
1614816000000,14.08100000,14.50000000,13.12600000,13.49100000,4353748.16100000,1614902399999,61290741.12511100,50439,2856511.39500000,40420923.07383800,0
1614902400000,13.47800000,16.52800000,12.70000000,15.42800000,3531580.94400000,1614988799999,49127175.74890000,58595,1981823.69400000,27744035.21192200,0
1614988800000,15.44800000,16.53200000,15.11800000,15.75800000,2638578.99100000,1615075199999,42075317.68162300,42556,1337301.88700000,21524745.38400800,0
1615075200000,15.72300000,17.00100000,15.56100000,16.23800000,3660193.62900000,1615161599999,59185016.66561900,46963,2026318.08900000,32977517.33097300,0
1615161600000,16.21200000,18.50000000,15.78700000,16.35300000,5618428.66900000,1615247999999,96586687.04511100,78589,3194855.29400000,55212118.26787300,0
1615248000000,16.35300000,17.92000000,16.17000000,17.49000000,4450179.32900000,1615334399999,76755122.53051300,53581,2485973.54400000,43108243.13295400,0
1615334400000,17.47000000,18.40700000,16.89100000,16.97000000,3173019.22200000,1615420799999,57006463.89184900,50196,1775880.45900000,32036546.99190900,0
1615420800000,16.94400000,18.04200000,16.83000000,17.00100000,3325841.49100000,1615507199999,57851204.24500400,48733,2113615.43100000,36830427.07127900,0
1615507200000,17.00900000,18.39800000,16.17600000,16.89200000,3431737.19100000,1615593599999,60278233.44732900,51740,2260542.62800000,39734401.86918700,0
1615593600000,16.89200000,18.60000000,16.51500000,17.94900000,2669874.09500000,1615679999999,46611838.98069000,47575,1192053.56700000,20889015.25991700,0
1615680000000,17.94900000,18.85500000,16.94400000,18.09100000,2302198.59000000,1615766399999,41206008.23117600,41514,1411207.32400000,25272277.16549200,0
