otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,6.79900000,8.18900000,5.90000000,7.72500000,723826.19800000,1610323199999,5028829.25576000,38096,360191.44300000,2501402.96722800,0
1610323200000,7.65700000,8.50000000,5.62700000,8.21200000,681833.91300000,1610927999999,4839253.08281700,31809,329633.16200000,2319984.42170600,0
1610928000000,8.21200000,9.48400000,7.10000000,8.61200000,648078.91600000,1611532799999,5369683.05239900,35732,338228.06900000,2797120.08352200,0
1611532800000,8.61100000,15.00000000,8.33700000,9.84500000,2471080.34100000,1612137599999,25179153.87461100,146737,1233143.28500000,12621390.45397500,0
1612137600000,9.79900000,13.98000000,9.10000000,12.08100000,5608807.29900000,1612742399999,65702899.92336400,179997,3060950.27300000,36461444.49837300,0
1612742400000,12.07900000,20.67200000,12.02900000,17.12000000,4594025.52000000,1613347199999,67847876.96394100,173927,2517507.05300000,37208860.74706500,0
1613347200000,17.12500000,19.52600000,13.16400000,18.17900000,4155561.30100000,1613951999999,70231261.62144600,155468,2489543.82000000,42455892.66284100,0
1613952000000,18.17900000,19.20000000,11.24600000,12.73400000,17366695.53500000,1614556799999,250243382.00759700,268500,13238160.16700000,191106656.84999200,0
1614556800000,12.74900000,17.00100000,12.29200000,16.23800000,22943828.61700000,1615161599999,334921174.56806400,326792,12608830.68700000,185308002.84470300,0
1615161600000,16.21200000,18.85500000,15.78700000,18.09100000,24971278.58700000,1615766399999,436295558.37167200,371928,14434128.24700000,253083029.75861100,0
1615766400000,18.09100000,32.77600000,17.50300000,30.26700000,40532439.72000000,1616371199999,909423326.59334900,589776,26744109.89100000,605340051.45476300,0
1616371200000,30.25500000,35.00000000,22.34700000,26.70300000,14087371.02400000,1616975999999,431897244.32191700,358137,8938132.01200000,273702012.10444600,0
1616976000000,26.75600000,51.00000000,25.78900000,50.19100000,8103799.09900000,1617580799999,287339956.10410600,559468,4016423.44500000,140541309.72023300,0
1617580800000,50.00900000,54.56000000,37.26100000,40.53900000,12878594.52700000,1618185599999,547824105.19607400,658587,6489519.52000000,273383184.47300300,0
1618185600000,40.53700000,50.28300000,38.34300000,43.49000000,10090020.18600000,1618790399999,416845339.77006700,472175,4842899.12800000,199258807.10668700,0
1618790400000,43.46900000,45.33700000,25.27600000,27.02800000,8202929.77300000,1619395199999,316533305.74330100,338906,3715539.98100000,142246910.36034200,0
1619395200000,27.08000000,35.90000000,26.63900000,33.58100000,1400350.90100000,1619999999999,46184830.26866000,121137,794987.46900000,26291371.45435600,0
1620000000000,33.56400000,40.16900000,30.59200000,34.24100000,6782077.68300000,1620604799999,236193837.16077900,308903,3456321.22000000,120156237.59887600,0
1620604800000,34.24200000,35.41600000,27.78900000,28.80700000,2520662.62400000,1621209599999,77579544.91807500,131668,1343338.57000000,41142867.16338200,0
1621209600000,28.80300000,32.82000000,14.24900000,16.74600000,4462203.55400000,1621814399999,105792775.23092500,183341,2555703.22300000,61620515.79200700,0
1621814400000,16.74600000,32.47400000,15.60100000,24.67800000,2323321.03300000,1622419199999,59337306.15942600,195622,1182620.40700000,30153174.94450500,0
1622419200000,24.66800000,44.75200000,23.53800000,30.58100000,4528100.18900000,1623023999999,161953278.14162800,441967,2221505.74700000,78996882.07039900,0
1623024000000,30.58000000,31.59400000,22.41000000,26.58600000,2990484.56500000,1623628799999,80332390.22922000,282085,1548385.49900000,41699616.74718900,0
1623628800000,26.65700000,28.40600000,0.02600000,0.02792000,2217677889.93400000,1624233599999,70343933.65407100,508735,1147797050.79700000,36524435.29997500,0
1624233600000,0.02792000,0.02800000,0.01622000,0.02264000,2075088572.00000000,1624838399999,48037329.95493000,306964,1081132804.00000000,25049010.07795000,0
