otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1619827200000,2.36100000,2.68000000,2.33700000,2.66700000,1417200.62600000,1619841599999,3586071.74419700,13621,841337.79000000,2127584.58335900,0
1619841600000,2.66400000,2.68000000,2.51400000,2.56000000,1039122.13000000,1619855999999,2711472.19213200,13003,493551.56000000,1290796.79547200,0
1619856000000,2.56100000,2.59800000,2.46800000,2.51100000,684168.51900000,1619870399999,1722415.91456200,6640,347807.62700000,876393.16996700,0
1619870400000,2.50800000,2.52100000,2.45000000,2.47100000,602203.36900000,1619884799999,1498436.43362400,4864,347254.15200000,865259.57701800,0
1619884800000,2.47100000,2.63000000,2.46600000,2.58600000,797271.35100000,1619899199999,2026748.37497900,7878,448922.63800000,1138357.87887400,0
1619899200000,2.58600000,2.66900000,2.55400000,2.57200000,747449.57700000,1619913599999,1958471.83582700,9145,351977.37900000,922751.21489500,0
1619913600000,2.57300000,2.57900000,2.42500000,2.43000000,587300.70700000,1619927999999,1477534.14484500,6127,277446.92300000,697721.85252100,0
1619928000000,2.43000000,2.48300000,2.37000000,2.43200000,493414.48900000,1619942399999,1198333.35982400,5760,225388.13600000,548024.74280300,0
1619942400000,2.43300000,2.48900000,2.40900000,2.43900000,484350.96700000,1619956799999,1184665.52103500,5260,217182.86400000,531517.26252800,0
1619956800000,2.44100000,2.76000000,2.43900000,2.73000000,1449266.44300000,1619971199999,3790655.35709200,14077,729708.07000000,1912470.45198700,0
1619971200000,2.72500000,2.94000000,2.66500000,2.75100000,2057821.02500000,1619985599999,5786528.57163000,20619,1097247.72400000,3090637.15402300,0
1619985600000,2.75100000,2.82600000,2.68300000,2.70300000,628307.28600000,1619999999999,1721755.02005300,8606,271199.03600000,744497.15457900,0
1620000000000,2.70000000,2.94500000,2.68400000,2.92700000,935506.98500000,1620014399999,2639870.86117700,10177,452420.69100000,1277721.51118100,0
1620014400000,2.92700000,2.93400000,2.75000000,2.83600000,703931.92500000,1620028799999,1985393.08096400,8878,336091.71100000,947380.65268500,0
1620028800000,2.83600000,3.00000000,2.74000000,2.94000000,1660875.64300000,1620043199999,4782330.73591300,20086,890544.35200000,2572661.36922100,0
1620043200000,2.94200000,2.97500000,2.74200000,2.75000000,1070316.40000000,1620057599999,3051118.61170100,12276,483982.00500000,1382867.79209700,0
1620057600000,2.74800000,2.85500000,2.72500000,2.77900000,559310.18200000,1620071999999,1552577.09978900,7056,255674.96300000,711124.86908500,0
1620072000000,2.77900000,2.78100000,2.59400000,2.60500000,998013.49900000,1620086399999,2663341.05882200,10172,431265.02800000,1150383.69126800,0
1620086400000,2.60500000,2.60500000,2.35000000,2.46500000,1223648.38700000,1620100799999,3035270.47750500,12131,542757.76100000,1349130.41809500,0
1620100800000,2.46500000,2.65900000,2.45200000,2.54300000,510123.62500000,1620115199999,1312874.66213600,5619,261626.13500000,671657.33870700,0
1620115200000,2.54300000,2.56200000,2.45000000,2.52200000,629900.40100000,1620129599999,1585242.57255400,6122,293699.66900000,739553.28865300,0
1620129600000,2.52200000,2.52200000,2.20000000,2.25400000,1797002.52200000,1620143999999,4205944.80937500,16615,764807.79800000,1792308.17576200,0
1620144000000,2.25400000,2.51000000,2.21100000,2.47600000,1195922.91800000,1620158399999,2836825.69529300,11958,619199.21900000,1471571.76261900,0
1620158400000,2.47300000,2.54100000,2.25000000,2.26600000,791675.51800000,1620172799999,1911442.79708300,8639,361294.45200000,874183.62353500,0
1620172800000,2.26500000,2.46900000,2.25000000,2.33300000,521232.98600000,1620187199999,1237981.84180400,5303,221252.35400000,525848.49706200,0
1620187200000,2.33300000,2.42500000,2.26400000,2.32300000,635920.11600000,1620201599999,1470755.77809000,5327,426345.54900000,983507.02442100,0
1620201600000,2.32700000,2.60000000,2.32000000,2.50600000,1032296.38700000,1620215999999,2571067.24764500,12088,518345.01700000,1291435.20213700,0
1620216000000,2.50600000,2.59000000,2.42600000,2.47400000,832006.80200000,1620230399999,2085433.59415900,9080,377848.63200000,949389.55364300,0
1620230400000,2.47400000,2.54300000,2.41000000,2.47400000,640471.92500000,1620244799999,1580404.91187700,6674,324686.42000000,802531.15568500,0
1620244800000,2.47700000,2.54000000,2.42700000,2.50500000,405507.95700000,1620259199999,1001991.49746500,4954,182876.43000000,452474.98160300,0
1620259200000,2.50200000,2.53000000,2.37200000,2.38200000,441221.79500000,1620273599999,1074229.50970000,5085,160025.38000000,390242.25559000,0
1620273600000,2.38200000,2.42900000,2.34500000,2.39100000,487839.47400000,1620287999999,1166220.88423800,4399,219590.66000000,525142.53402800,0
1620288000000,2.39100000,2.55000000,2.36900000,2.50100000,760477.03700000,1620302399999,1875281.12411500,8576,369779.95300000,913299.16313300,0
1620302400000,2.50000000,2.52900000,2.41300000,2.43700000,718344.29900000,1620316799999,1770336.59820100,8418,344820.15900000,850830.57977400,0
1620316800000,2.43700000,2.47100000,2.24900000,2.33400000,1165688.33800000,1620331199999,2715635.55338100,12244,496813.18500000,1157433.18902200,0
1620331200000,2.33100000,2.34000000,2.25600000,2.28600000,384215.60600000,1620345599999,883391.30510400,5076,191351.98900000,440111.91942900,0
1620345600000,2.28900000,2.31200000,2.14500000,2.18000000,578897.38400000,1620359999999,1292380.92862300,6061,218774.22900000,489309.41748700,0
1620360000000,2.18400000,2.27300000,2.15600000,2.19500000,350089.96900000,1620374399999,776025.35504600,4646,162784.04300000,361361.09579900,0
1620374400000,2.20000000,2.30000000,2.18700000,2.24000000,558109.14300000,1620388799999,1249561.94189500,6567,256622.88800000,575329.92695200,0
1620388800000,2.23600000,2.25600000,2.15000000,2.24200000,721180.34400000,1620403199999,1610926.12340400,7413,333074.64300000,745974.58594000,0
1620403200000,2.24300000,2.32000000,2.21100000,2.25000000,644788.67900000,1620417599999,1461254.61209700,7758,330362.29900000,750028.41881800,0
1620417600000,2.25000000,2.27400000,2.15100000,2.21700000,503917.58600000,1620431999999,1111000.85012000,5869,228227.66800000,503812.55039300,0
1620432000000,2.21600000,2.30000000,2.19200000,2.27400000,422965.76900000,1620446399999,954991.74202500,4319,192330.61400000,434343.64114600,0
1620446400000,2.27300000,2.29600000,2.14600000,2.21300000,495986.89800000,1620460799999,1093755.01889900,5466,217797.78100000,480215.22582800,0
1620460800000,2.21600000,2.35400000,2.20300000,2.31700000,888411.28400000,1620475199999,2026983.56128300,9734,491952.92900000,1123194.63791700,0
1620475200000,2.31600000,2.33600000,2.26000000,2.26800000,534937.83100000,1620489599999,1230189.69239800,6610,272638.18000000,627688.61317500,0
1620489600000,2.27100000,2.44000000,2.25600000,2.43200000,890461.97500000,1620503999999,2096349.42890900,9414,524710.15200000,1237319.54970200,0
1620504000000,2.43700000,2.59000000,2.34100000,2.45900000,1396240.70500000,1620518399999,3435312.61484000,16165,773466.55800000,1908362.79465400,0
1620518400000,2.45400000,2.48000000,2.32600000,2.36900000,666505.22700000,1620532799999,1592379.46530100,7948,305667.40400000,732517.55390300,0
1620532800000,2.36400000,2.63000000,2.30400000,2.48400000,1492939.37300000,1620547199999,3690633.31597800,15243,773478.82600000,1914027.62163200,0
1620547200000,2.48500000,2.58600000,2.31000000,2.37400000,1515561.32900000,1620561599999,3651752.25226100,16072,734515.91000000,1771614.64532500,0
1620561600000,2.37400000,2.37900000,2.26200000,2.28900000,830778.38000000,1620575999999,1923249.44662400,8559,360289.34100000,834089.21556200,0
1620576000000,2.29500000,2.33000000,2.26200000,2.27000000,378159.79700000,1620590399999,869065.54400100,4742,208990.31800000,480738.15190600,0
1620590400000,2.27100000,2.32700000,2.21800000,2.25700000,502240.57100000,1620604799999,1140379.29661400,5852,212109.25300000,482228.42221600,0
1620604800000,2.25700000,2.30000000,2.15400000,2.28000000,1086006.90200000,1620619199999,2410013.81413300,12476,359536.17500000,802258.69268900,0
1620619200000,2.27600000,2.30000000,2.24100000,2.28100000,463633.96500000,1620633599999,1056149.26848200,5233,228268.85800000,520528.86887900,0
1620633600000,2.28100000,2.28400000,2.15000000,2.17300000,836914.35900000,1620647999999,1844419.02213200,8284,385027.12700000,848494.54257300,0
1620648000000,2.17400000,2.20300000,2.08100000,2.13800000,835573.23500000,1620662399999,1781500.79853400,8238,340242.11300000,726921.10351500,0
1620662400000,2.13500000,2.16700000,1.97000000,1.97100000,707060.24300000,1620676799999,1465640.15123300,7097,275554.95700000,573800.52447400,0
1620676800000,1.97300000,2.08900000,1.83400000,2.00300000,833738.21200000,1620691199999,1655643.52082200,7928,407543.37200000,810904.62625200,0
1620691200000,2.00200000,2.04000000,1.85100000,1.89600000,816584.65200000,1620705599999,1561399.20372300,6351,339602.35700000,650599.54464000,0
1620705600000,1.89600000,2.02100000,1.89600000,2.00000000,389062.54800000,1620719999999,759544.00468500,3897,216931.28600000,423336.87255100,0
1620720000000,2.00600000,2.11900000,1.94100000,2.06800000,938693.32800000,1620734399999,1914005.73492100,7830,407338.27800000,828642.40081700,0
1620734400000,2.06800000,2.08000000,1.97500000,2.01200000,453224.18600000,1620748799999,911132.69871900,4290,206438.85800000,415541.51184800,0
1620748800000,2.01300000,2.17000000,1.99700000,2.09600000,758972.98200000,1620763199999,1590583.31791000,6282,365391.23500000,768064.14563700,0
1620763200000,2.10100000,2.10200000,2.01100000,2.02000000,418485.10800000,1620777599999,857621.82461700,4286,173758.48900000,356488.00720400,0
1620777600000,2.02200000,2.08000000,1.98000000,2.01100000,687162.36800000,1620791999999,1386498.02118100,5556,280109.67700000,566556.31159100,0
1620792000000,2.01100000,2.07700000,1.98100000,1.99100000,625962.82400000,1620806399999,1266464.20874500,4739,312293.30100000,633080.61256500,0
1620806400000,1.99100000,2.03500000,1.91100000,1.98000000,580818.19900000,1620820799999,1145293.00413600,5251,307497.33900000,606956.26129300,0
1620820800000,1.98300000,1.98300000,1.87500000,1.90100000,667014.49300000,1620835199999,1286037.83867300,5996,294332.10400000,568146.50540200,0
1620835200000,1.90300000,1.90900000,1.77000000,1.86800000,1197270.15300000,1620849599999,2191474.00813500,9817,589653.16500000,1079303.35995700,0
1620849600000,1.86700000,1.87300000,1.63200000,1.64800000,1165265.90200000,1620863999999,2068585.72314300,9580,544331.71800000,967843.74862600,0
1620864000000,1.64600000,1.81800000,1.58700000,1.71000000,895064.48400000,1620878399999,1531679.16400100,5990,396669.64400000,677484.66296000,0
1620878400000,1.71100000,1.80800000,1.69800000,1.77500000,500382.59600000,1620892799999,881296.06402900,3946,272361.34300000,480422.15914100,0
1620892800000,1.77800000,1.78000000,1.55100000,1.64000000,1058592.26800000,1620907199999,1734004.58245000,7209,507027.30200000,831150.35370700,0
1620907200000,1.64200000,1.72000000,1.60600000,1.66000000,709154.26200000,1620921599999,1185568.27170100,5138,342393.62700000,573592.48418500,0
1620921600000,1.66600000,1.69400000,1.55000000,1.58600000,934492.95100000,1620935999999,1507761.72807300,5167,415285.63100000,670807.75111400,0
1620936000000,1.58700000,1.70800000,1.58600000,1.67200000,403571.50500000,1620950399999,670495.27662200,3337,213451.14100000,354634.37501800,0
1620950400000,1.67200000,1.71600000,1.65000000,1.66600000,293881.57500000,1620964799999,495150.33340000,2400,132423.80800000,223603.54504400,0
1620964800000,1.66700000,1.80800000,1.62600000,1.78700000,757249.04600000,1620979199999,1300834.87032300,5244,347534.51800000,594795.53942400,0
1620979200000,1.78400000,1.91000000,1.77100000,1.89400000,1430328.88700000,1620993599999,2638744.91258300,11396,679829.06900000,1256145.84152500,0
1620993600000,1.89400000,1.91000000,1.79000000,1.84800000,1043994.73300000,1621007999999,1930466.39169000,8329,480792.60000000,888248.12367700,0
1621008000000,1.84800000,1.92000000,1.79700000,1.80800000,764499.21700000,1621022399999,1405900.54914400,6125,381113.10300000,702509.35436100,0
1621022400000,1.80700000,1.84700000,1.71400000,1.82500000,644950.02200000,1621036799999,1143061.05414900,5652,290328.78600000,515097.92580900,0
1621036800000,1.82500000,1.85300000,1.74300000,1.75500000,438866.13700000,1621051199999,794125.43591300,4059,202816.83500000,366714.28159600,0
1621051200000,1.75500000,1.78000000,1.65000000,1.67200000,551908.05300000,1621065599999,947757.31933800,4146,234059.19700000,403115.28567000,0
1621065600000,1.67000000,1.72500000,1.65300000,1.70100000,646964.97000000,1621079999999,1093566.77254200,4575,317315.11700000,536870.66805800,0
1621080000000,1.70100000,1.75000000,1.66500000,1.74000000,549467.89500000,1621094399999,940587.04388700,4326,287247.61500000,492516.16336600,0
1621094400000,1.74000000,1.74500000,1.60000000,1.63100000,681853.54100000,1621108799999,1130230.61381600,4418,288185.73900000,478189.19691500,0
1621108800000,1.63500000,1.67900000,1.60000000,1.60600000,410031.27700000,1621123199999,672599.36890600,3201,174916.14500000,287897.94802000,0
1621123200000,1.60900000,1.68700000,1.58600000,1.66500000,299515.05200000,1621137599999,492619.49787100,2198,116492.27500000,191725.68444100,0
1621137600000,1.66300000,1.74400000,1.65100000,1.74400000,420437.19100000,1621151999999,714273.02361700,3274,235935.80700000,400770.89923500,0
1621152000000,1.74500000,1.78700000,1.66300000,1.67500000,843202.94200000,1621166399999,1454602.69134300,6342,354731.91600000,614873.61348600,0
1621166400000,1.67400000,1.69200000,1.60600000,1.62000000,633681.39700000,1621180799999,1046535.79491400,4765,275824.92600000,456754.74498400,0
1621180800000,1.61900000,1.64900000,1.48900000,1.51700000,1271612.81900000,1621195199999,2022026.67470500,7528,510186.86400000,814893.59617500,0
1621195200000,1.52200000,1.60500000,1.47500000,1.59000000,1248761.05000000,1621209599999,1917551.56684100,6991,606884.95600000,932924.75688100,0
1621209600000,1.59200000,1.62100000,1.43000000,1.43500000,812483.94800000,1621223999999,1235651.76608600,4605,326711.99300000,499773.78219900,0
1621224000000,1.43400000,1.58200000,1.41400000,1.58000000,1168525.05900000,1621238399999,1748277.42309700,5648,585596.55600000,876260.80121000,0
1621238400000,1.58000000,1.59100000,1.52500000,1.56300000,627779.20100000,1621252799999,979196.47026600,3875,319815.71800000,498172.22770900,0
1621252800000,1.57100000,1.60000000,1.46800000,1.47900000,694682.08900000,1621267199999,1073094.33932200,3984,315164.60200000,487892.31707700,0
1621267200000,1.47700000,1.59800000,1.41800000,1.57300000,1111596.11800000,1621281599999,1659117.99755000,5856,506692.20700000,754345.89114200,0
1621281600000,1.57300000,1.64000000,1.45000000,1.50500000,880632.33700000,1621295999999,1363777.98028400,5823,382053.20700000,592030.23899600,0
1621296000000,1.50900000,1.58600000,1.49300000,1.56100000,376321.04100000,1621310399999,578969.19873500,2221,190499.51600000,292922.85617300,0
1621310400000,1.56100000,1.60800000,1.56000000,1.58500000,433706.12000000,1621324799999,689135.98780300,2635,260412.78400000,414348.34404700,0
1621324800000,1.58500000,1.60600000,1.53400000,1.55100000,560367.31400000,1621339199999,875343.97277700,4439,274557.94900000,429442.77628000,0
1621339200000,1.55100000,1.55300000,1.41000000,1.42100000,1587451.63800000,1621353599999,2315397.61962100,8552,761535.47200000,1113540.93339900,0
1621353600000,1.42100000,1.49300000,1.41200000,1.46000000,868157.97900000,1621367999999,1256224.22791700,5147,425295.83000000,614917.87908300,0
1621368000000,1.46100000,1.47500000,1.42600000,1.43500000,720255.33000000,1621382399999,1044860.36949800,4170,311697.39900000,452533.21456800,0
1621382400000,1.43500000,1.47700000,1.29000000,1.30500000,1395591.71700000,1621396799999,1904492.86211100,7556,543297.31900000,742045.45877800,0
1621396800000,1.30500000,1.30900000,1.14300000,1.24200000,2432315.39700000,1621411199999,2924455.62646600,13294,1144121.21100000,1374493.32426700,0
1621411200000,1.24000000,1.25700000,0.95300000,1.04600000,2078015.49200000,1621425599999,2344761.68343300,10643,944080.81400000,1067906.99573600,0
1621425600000,1.04600000,1.15200000,0.67800000,1.04300000,3270797.63400000,1621439999999,2973209.25243300,12246,1632125.99000000,1486212.28657400,0
1621440000000,1.03800000,1.15000000,0.95300000,0.99600000,1616570.65700000,1621454399999,1678516.56563100,6528,741935.97300000,772572.64051600,0
1621454400000,0.99500000,1.09000000,0.89000000,0.89000000,622890.26100000,1621468799999,607604.25160600,3069,330100.57600000,323465.54593000,0
1621468800000,0.89000000,0.95500000,0.75400000,0.88400000,1178252.02400000,1621483199999,1007281.52963500,3899,656390.13100000,563361.83083000,0
1621483200000,0.88400000,1.04000000,0.88400000,0.98800000,782203.44000000,1621497599999,732582.56889300,3464,447231.52400000,418793.08805400,0
1621497600000,0.98500000,0.99500000,0.91000000,0.95200000,1107522.85200000,1621511999999,1060174.68971700,3600,687904.68200000,658015.23215800,0
1621512000000,0.95100000,1.06600000,0.94000000,0.96300000,2313782.86100000,1621526399999,2300404.84512000,9267,1487646.17900000,1481693.09295500,0
