otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,3.44800000,5.03500000,3.11100000,4.39100000,110110207.79000000,1610323199999,436652339.71696200,898593,56070288.34600000,223035016.60959500,0
1610323200000,4.39100000,7.79800000,3.18000000,7.04300000,104375977.81000000,1610927999999,563996551.50749600,1011042,52472473.06200000,284108437.71484900,0
1610928000000,7.05500000,8.48800000,5.21800000,8.32100000,70557542.50000000,1611532799999,487534790.24840000,848848,35302519.30400000,244292081.44626400,0
1611532800000,8.32900000,11.30000000,6.78600000,10.12100000,102851255.63000000,1612137599999,875863998.04836700,1340490,50570450.78100000,430973281.51216000,0
1612137600000,10.13300000,16.60100000,9.74000000,13.15600000,74660015.35900000,1612742399999,1013346634.17683800,1549540,36207655.57800000,491958125.43823000,0
1612742400000,13.15800000,17.59200000,12.62000000,14.92300000,43900871.19700000,1613347199999,663296340.24914400,1054615,22282486.10100000,337081811.91996900,0
1613347200000,14.94000000,19.76900000,12.71400000,17.32700000,59799346.39600000,1613951999999,989902581.29698300,1371404,30027537.89000000,498949979.52730500,0
1613952000000,17.31600000,17.70000000,11.60000000,15.08200000,60973104.42700000,1614556799999,926935516.47691700,1298674,30556226.64500000,464819940.06857900,0
1614556800000,15.06000000,20.73000000,14.96100000,17.95600000,49947340.49300000,1615161599999,889952683.89021200,1113358,25276480.45700000,450374630.76970600,0
1615161600000,17.96000000,23.43000000,16.68000000,20.64200000,45174265.56700000,1615766399999,885991843.71849200,1139796,23021744.78300000,451696523.05788300,0
1615766400000,20.64300000,21.89800000,18.34000000,18.84800000,19323865.60900000,1616371199999,384541509.73817900,590944,9808832.77000000,195334761.64163600,0
1616371200000,18.83800000,19.97500000,14.07800000,15.27200000,20945084.68000000,1616975999999,339571672.94403900,580638,10488756.41500000,169721044.65621800,0
1616976000000,15.27200000,16.58500000,14.07200000,15.24300000,25420123.39000000,1617580799999,390418353.60403100,669570,12686726.93600000,194803302.35441400,0
1617580800000,15.24500000,15.91900000,13.50000000,14.17600000,20830634.57200000,1618185599999,307778916.12015700,578432,10285891.85400000,152262053.21808700,0
1618185600000,14.18100000,18.34600000,9.99800000,14.01500000,52191017.81500000,1618790399999,808468261.28457200,1475010,26131308.53900000,406048075.29514900,0
1618790400000,14.00400000,14.42800000,10.13900000,10.96400000,45708150.11800000,1619395199999,559475893.10685200,1121033,22852199.84900000,279566399.68563400,0
1619395200000,10.97500000,15.17000000,10.87700000,13.89800000,30682819.89100000,1619999999999,419518256.19930900,782041,15233826.54200000,208412536.69450700,0
1620000000000,13.89300000,17.81000000,12.50100000,15.50600000,50724651.13600000,1620604799999,783620452.05014400,1412200,25505483.78800000,394086817.15377800,0
1620604800000,15.52700000,19.04000000,12.80000000,16.56400000,74670957.82500000,1621209599999,1218669168.36079200,2094888,37677218.17800000,615144851.24387300,0
1621209600000,16.55200000,22.53700000,6.29400000,9.01300000,150567241.95500000,1621814399999,2112490998.33397800,3580702,74167646.20600000,1041622764.23828600,0
1621814400000,9.01300000,13.59900000,8.91100000,10.83700000,75468955.05800000,1622419199999,848939201.75021600,1588347,38313987.86600000,430829500.90661600,0
1622419200000,10.83400000,13.51400000,9.99100000,11.53700000,32804649.85900000,1623023999999,392049139.59340000,750577,16521592.58600000,197445912.68785900,0
1623024000000,11.54100000,11.83300000,7.63400000,8.63200000,32704167.70100000,1623628799999,311629041.45301400,615113,15679355.41000000,148984855.55400300,0
1623628800000,8.63200000,9.65200000,7.31800000,8.41600000,31711709.61900000,1624233599999,268729669.08778500,528896,15754052.65400000,133577035.90631600,0
1624233600000,8.42100000,8.51700000,5.96600000,7.14100000,50540609.73800000,1624838399999,348464469.97952600,743774,24644310.26700000,169941277.16516800,0
1624838400000,7.14100000,8.45100000,6.97100000,7.93400000,25126270.15600000,1625443199999,192704795.28528900,403626,12439578.73300000,95581673.91053100,0
1625443200000,7.93300000,9.72600000,7.21900000,8.15000000,37562883.26200000,1626047999999,320876774.12173400,598065,18608124.61500000,158666941.84089500,0
1626048000000,8.15500000,8.27600000,6.29600000,7.08200000,34763887.89700000,1626652799999,249501359.67056300,491681,16867031.30100000,121012398.41086200,0
1626652800000,7.08500000,8.62800000,6.01900000,8.33100000,45422274.38100000,1627257599999,339713411.14924600,645678,21131217.42700000,157225470.73611500,0
1627257600000,8.32500000,9.62700000,7.81300000,8.48500000,45050764.46200000,1627862399999,382449614.38095800,785537,23507908.85100000,199226471.47496200,0
1627862400000,8.48500000,10.68900000,7.87100000,9.39100000,33068765.95000000,1628467199999,304768128.59491200,742397,16337930.05400000,150764838.96346300,0
1628467200000,9.38800000,12.86900000,9.04000000,12.61300000,41754917.06000000,1629071999999,466911017.51765900,1100883,20929309.77600000,234304980.96332400,0
1629072000000,12.60900000,14.85000000,11.92200000,13.76400000,49660398.00500000,1629676799999,659701379.50151800,1439073,24606593.82400000,327048781.74870400,0
