otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.74100000,0.77100000,0.67500000,0.71200000,17088286.15600000,1609545599999,12372974.25696300,43928,8205986.35200000,5944512.10583500,0
1609545600000,0.71200000,0.76000000,0.68500000,0.74600000,16530728.99900000,1609631999999,11955354.42342100,42280,8071560.99500000,5845904.32951600,0
1609632000000,0.74700000,0.83200000,0.72900000,0.77200000,57275490.26400000,1609718399999,44339050.01167900,117538,29101164.52000000,22528387.01487600,0
1609718400000,0.77300000,0.91500000,0.67500000,0.73100000,63690044.79300000,1609804799999,48781529.07544400,136543,31728643.17300000,24348955.79073700,0
1609804800000,0.73200000,0.77600000,0.69200000,0.75800000,28254693.93100000,1609891199999,20920009.10905200,65820,13426022.16700000,9954956.22536700,0
1609891200000,0.75800000,0.84700000,0.71800000,0.82600000,41055165.94700000,1609977599999,32199062.13784400,87817,20468769.14400000,16067230.58560100,0
1609977600000,0.82500000,0.94100000,0.76200000,0.87200000,58328757.63000000,1610063999999,49718418.91258200,157523,29309743.32900000,25074480.10544700,0
1610064000000,0.87100000,0.98700000,0.77600000,0.98400000,67738412.62800000,1610150399999,61187053.84494700,174571,34236736.15200000,31005885.23852500,0
1610150400000,0.97900000,1.11900000,0.94900000,1.04100000,60666860.26500000,1610236799999,62688137.42734200,179394,30336789.43300000,31363910.31142400,0
1610236800000,1.04200000,1.18200000,0.88800000,1.01200000,58974332.36500000,1610323199999,60977543.28710400,177343,27462361.34000000,28464034.13845200,0
1610323200000,1.01200000,1.01800000,0.73700000,0.84700000,56195496.34300000,1610409599999,48255009.64419100,162975,25960291.32400000,22347481.30319500,0
1610409600000,0.84600000,0.89700000,0.79100000,0.81100000,28907440.34700000,1610495999999,24241478.71616600,61361,13614513.38100000,11429090.11296500,0
1610496000000,0.81000000,0.91000000,0.77700000,0.88300000,34830239.44100000,1610582399999,29856941.73352500,72690,17997775.89900000,15434684.22401400,0
1610582400000,0.88500000,0.90800000,0.84000000,0.88100000,28244505.50300000,1610668799999,24783497.23632900,70590,13751549.76400000,12069921.23112300,0
1610668800000,0.88000000,0.99700000,0.80900000,0.90400000,48856196.82400000,1610755199999,44597857.14007400,125854,23737879.89600000,21681559.05493100,0
1610755200000,0.90400000,1.01000000,0.90000000,0.95300000,38250350.57500000,1610841599999,36828155.54537200,102887,19004018.14600000,18325473.07054800,0
1610841600000,0.95400000,1.04800000,0.89400000,1.02900000,40918729.61600000,1610927999999,39584001.34281600,100491,20962477.08200000,20378096.07005300,0
1610928000000,1.02900000,1.15500000,0.95000000,1.15000000,56933186.01600000,1611014399999,59873859.81556800,138125,30194330.00300000,31832238.35594900,0
1611014400000,1.14900000,1.15900000,0.97400000,1.00700000,48427082.46100000,1611100799999,51491041.49842300,128931,24720642.05600000,26283354.57286400,0
1611100800000,1.00700000,1.03800000,0.92300000,1.01900000,46550415.21500000,1611187199999,45654722.96666600,93787,21435316.73700000,21035052.81620900,0
1611187200000,1.01800000,1.02400000,0.82100000,0.84900000,43522508.78000000,1611273599999,40133447.40746600,102904,19833298.24400000,18325833.67970600,0
1611273600000,0.84800000,0.94200000,0.80200000,0.88900000,35265778.22200000,1611359999999,31157398.01133800,79976,17138692.96200000,15190292.53786300,0
1611360000000,0.88900000,1.03500000,0.87300000,0.98000000,49497879.78200000,1611446399999,48156225.41263200,133543,25666177.11800000,24994566.79220300,0
1611446400000,0.98000000,1.04700000,0.96500000,0.99100000,32602974.30300000,1611532799999,32697574.51830800,85610,15697728.82700000,15754991.61041100,0
1611532800000,0.99100000,1.10800000,0.95400000,0.97700000,56571647.78600000,1611619199999,58616696.89979100,147963,27306465.65500000,28324647.95312200,0
1611619200000,0.97800000,1.05400000,0.94200000,1.02800000,46147656.17200000,1611705599999,46322994.62918100,112350,21856724.57300000,21971505.36265600,0
1611705600000,1.02800000,1.38300000,1.02500000,1.25600000,164586314.29600000,1611791999999,192138415.80003900,377410,79726747.21400000,93172806.73809400,0
1611792000000,1.25700000,1.36900000,1.20100000,1.21000000,89829035.57000000,1611878399999,114102617.09455900,226590,43175168.98500000,54914124.67821800,0
1611878400000,1.21000000,1.33000000,1.10000000,1.23500000,84420362.60500000,1611964799999,101285571.27071100,243722,41741218.42500000,50188294.50668500,0
1611964800000,1.23600000,1.35900000,1.17000000,1.25000000,63553750.73700000,1612051199999,80417954.17745200,181741,30417563.92000000,38531854.94977000,0
1612051200000,1.25100000,1.46800000,1.25100000,1.35600000,77268812.16300000,1612137599999,104787730.48472600,220889,37510183.58100000,50963932.25744200,0
1612137600000,1.35600000,1.41700000,1.22000000,1.27500000,56975564.72200000,1612223999999,74612645.41832000,173238,26272598.04900000,34461555.86640800,0
1612224000000,1.27500000,1.39300000,1.20300000,1.32000000,53685108.02000000,1612310399999,69756645.16145300,149761,26790496.63200000,34843717.49282400,0
1612310400000,1.32100000,1.56000000,1.31500000,1.53000000,67525517.66000000,1612396799999,98312269.14985900,201536,34489557.67100000,50248059.15422200,0
1612396800000,1.53000000,1.86500000,1.32300000,1.72600000,115470655.73500000,1612483199999,188332291.76750300,348739,55014678.71000000,90175264.59974600,0
1612483200000,1.72600000,1.94100000,1.69100000,1.76900000,68896769.88200000,1612569599999,125286871.48647600,235952,32963745.74500000,59994349.42115700,0
1612569600000,1.76800000,1.82900000,1.57700000,1.75300000,62443616.13900000,1612655999999,107651204.73259500,213280,28896451.47000000,49885613.76842100,0
1612656000000,1.75200000,2.17100000,1.73300000,1.99000000,107555077.37700000,1612742399999,212811988.48286100,385242,54037965.99700000,107067745.04454000,0
1612742400000,1.99000000,2.43900000,1.97300000,2.21400000,90913548.56300000,1612828799999,206225695.91105700,343074,45573582.97100000,103292883.13812500,0
