otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1632096000000,0.28630000,0.35230000,0.27320000,0.31120000,57849581.00000000,1632700799999,18449030.66580000,55507,28146960.00000000,9003621.71680000,0
1632700800000,0.31100000,0.32860000,0.26030000,0.30010000,28231140.00000000,1633305599999,8327072.31850000,33849,13653557.00000000,4041007.25320000,0
1633305600000,0.30030000,0.31420000,0.28010000,0.28050000,21089411.00000000,1633910399999,6324984.22120000,22960,8650582.00000000,2601328.78140000,0
1633910400000,0.28170000,0.75820000,0.25790000,0.46940000,563542205.00000000,1634515199999,301662986.01430000,656628,275511878.00000000,147413006.56140000,0
1634515200000,0.46900000,0.52700000,0.35330000,0.36390000,352753786.00000000,1635119999999,144190782.89310000,414187,169933580.00000000,69516042.26750000,0
1635120000000,0.36380000,0.38500000,0.30140000,0.32170000,80170497.00000000,1635724799999,27611171.72670000,106897,38068771.00000000,13134864.10570000,0
1635724800000,0.32100000,0.55250000,0.30950000,0.37060000,326737737.00000000,1636329599999,133865733.73120000,428285,162000606.00000000,66616385.38950000,0
1636329600000,0.37060000,0.50880000,0.36000000,0.47070000,143197618.00000000,1636934399999,60425627.93840000,237793,70416654.00000000,29819162.82620000,0
1636934400000,0.46940000,0.57800000,0.39730000,0.47520000,185332154.00000000,1637539199999,90614066.21610000,351752,90288917.00000000,44309435.81460000,0
1637539200000,0.47370000,0.70430000,0.46240000,0.69300000,195845068.00000000,1638143999999,117571469.19970000,455956,97416517.00000000,58581873.51530000,0
1638144000000,0.69250000,0.89750000,0.45200000,0.63540000,231157840.00000000,1638748799999,173890937.26960000,597086,112492226.00000000,84838759.47630000,0
1638748800000,0.63550000,0.63550000,0.48600000,0.57540000,21006224.00000000,1639353599999,11389505.65140000,44757,9356802.00000000,5087136.93800000,0
