otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00812000,0.01108000,0.00803900,0.00864700,134874386.00000000,1609545599999,1281111.89922900,8430,73452347.00000000,698421.01664400,0
1609545600000,0.00847000,0.00931000,0.00803700,0.00817000,36241751.00000000,1609631999999,307080.64501500,2694,15417618.00000000,131321.57637100,0
1609632000000,0.00816400,0.00881900,0.00796900,0.00855200,20382892.00000000,1609718399999,170054.04029500,1656,8796115.00000000,73453.30668000,0
1609718400000,0.00860200,0.00950000,0.00764200,0.00900000,40210241.00000000,1609804799999,353616.59360700,3496,18841816.00000000,166680.55144900,0
1609804800000,0.00900000,0.00945000,0.00820000,0.00858800,28048247.00000000,1609891199999,244839.03157300,2501,12196124.00000000,107109.43724100,0
1609891200000,0.00863000,0.00930000,0.00853300,0.00918400,34278303.00000000,1609977599999,308502.03341000,3216,17201322.00000000,155273.72724900,0
1609977600000,0.00923400,0.01000000,0.00879000,0.00946500,40496327.00000000,1610063999999,384185.87926000,4021,19684968.00000000,187194.81236400,0
1610064000000,0.00948200,0.00956000,0.00841700,0.00920400,34425927.00000000,1610150399999,307839.44410700,3668,16742800.00000000,150099.64345300,0
1610150400000,0.00923500,0.01057600,0.00880000,0.01010500,58068134.00000000,1610236799999,560586.08077000,4991,29724332.00000000,287433.94440700,0
1610236800000,0.01005900,0.01069100,0.00843200,0.00910400,67632357.00000000,1610323199999,655293.44929000,6089,27862566.00000000,272712.67853400,0
1610323200000,0.00925300,0.00931900,0.00785100,0.00879900,37601133.00000000,1610409599999,320769.01674800,2767,14984350.00000000,129224.55213300,0
1610409600000,0.00879900,0.01050000,0.00810100,0.00861000,79159821.00000000,1610495999999,713480.32400300,5273,37143728.00000000,333987.78740500,0
1610496000000,0.00861000,0.01020000,0.00835400,0.00948900,46241444.00000000,1610582399999,432418.67781700,3832,23670011.00000000,221086.61253400,0
1610582400000,0.00948900,0.00976600,0.00895200,0.00942700,25090170.00000000,1610668799999,233962.47270500,2621,11695114.00000000,109383.29173000,0
1610668800000,0.00940900,0.01000000,0.00902200,0.00984200,30780575.00000000,1610755199999,294490.48311900,2886,13679475.00000000,131472.92385900,0
1610755200000,0.00984200,0.01035500,0.00951000,0.00979400,39437730.00000000,1610841599999,392746.17109200,3726,19504172.00000000,194795.35957200,0
1610841600000,0.00979500,0.01030000,0.00922200,0.00954400,29366751.00000000,1610927999999,282890.69890000,2849,12894300.00000000,125028.35918700,0
1610928000000,0.00954700,0.01110000,0.00935700,0.01003900,57299316.00000000,1611014399999,580248.22559600,4946,30257719.00000000,308497.85979100,0
1611014400000,0.01003500,0.01044900,0.00976100,0.00987600,38007085.00000000,1611100799999,384296.07620900,3178,17393482.00000000,175540.76283000,0
1611100800000,0.00987600,0.01018800,0.00911000,0.01018800,30155215.00000000,1611187199999,288400.41315800,2927,15938308.00000000,151856.90515600,0
1611187200000,0.01013700,0.01275600,0.00930000,0.00930000,236464755.00000000,1611273599999,2651411.42602800,11939,124497005.00000000,1408451.73933400,0
1611273600000,0.00927800,0.01119700,0.00850000,0.01006800,149730096.00000000,1611359999999,1536390.16177700,6820,88803999.00000000,911841.37576200,0
1611360000000,0.01002200,0.01100000,0.00950100,0.01020400,31901943.00000000,1611446399999,320561.63305400,3469,16866272.00000000,170259.22026700,0
1611446400000,0.01020000,0.01150000,0.01003200,0.01070800,87482616.00000000,1611532799999,939426.01631300,5507,41077698.00000000,442567.80702500,0
1611532800000,0.01070700,0.01200200,0.01035000,0.01050600,185688524.00000000,1611619199999,2079846.60096300,9303,96194283.00000000,1078653.13739300,0
1611619200000,0.01050800,0.01068800,0.00958800,0.01022600,30969994.00000000,1611705599999,308794.21462200,2802,16171502.00000000,161383.89588300,0
1611705600000,0.01022600,0.01022600,0.00881000,0.00901400,32910067.00000000,1611791999999,312625.30629200,2517,11649904.00000000,110661.74258800,0
1611792000000,0.00904700,0.01099700,0.00897300,0.01062700,39544915.00000000,1611878399999,403911.59774900,4135,22075906.00000000,226269.76842100,0
1611878400000,0.01062600,0.01250000,0.01000100,0.01095700,106663463.00000000,1611964799999,1164964.66885400,9899,50871073.00000000,556861.07470800,0
