otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00860200,0.01069100,0.00764200,0.00910400,303159536.00000000,1610323199999,2814862.51201700,27982,142253928.00000000,1326504.79469700,0
1610323200000,0.00925300,0.01050000,0.00785100,0.00954400,287677624.00000000,1610927999999,2670757.84438400,23954,133571150.00000000,1244978.88642000,0
1610928000000,0.00954700,0.01275600,0.00850000,0.01070800,631041026.00000000,1611532799999,6700733.95213500,38786,334834483.00000000,3569015.67016500,0
1611532800000,0.01070700,0.01400000,0.00881000,0.01288900,635180465.00000000,1612137599999,7203577.52507100,50891,314728832.00000000,3586225.47619000,0
1612137600000,0.01289000,0.01689100,0.01205000,0.01388500,478731497.00000000,1612742399999,6973245.76321900,58337,237078109.00000000,3464080.24176500,0
1612742400000,0.01383900,0.02450000,0.01336100,0.02185700,804329897.00000000,1613347199999,15464502.20545900,101128,370726072.00000000,7140708.43194100,0
1613347200000,0.02185700,0.03162000,0.01900000,0.02650200,843981964.00000000,1613951999999,22152944.30983100,145121,398849103.00000000,10500258.49328200,0
1613952000000,0.02650000,0.02680800,0.01510000,0.01773000,259606913.00000000,1614556799999,5328194.23237500,38296,122612169.00000000,2497606.94849700,0
1614556800000,0.01772900,0.03523600,0.01764400,0.02452000,1154934106.00000000,1615161599999,30671312.86999800,158536,566230988.00000000,15194869.95086700,0
1615161600000,0.02455000,0.03641100,0.02310000,0.03102100,954663811.00000000,1615766399999,28966584.76071200,193299,473873623.00000000,14387482.75261000,0
1615766400000,0.03102000,0.04800000,0.02975200,0.04318100,627932096.00000000,1616371199999,23456366.75974100,145948,329704137.00000000,12375269.67441300,0
1616371200000,0.04328600,0.06280000,0.04010000,0.05183000,2275916918.00000000,1616975999999,117710297.31920700,522771,1161867708.00000000,60125938.52583700,0
1616976000000,0.05182600,0.05950000,0.04450000,0.05249700,850065686.00000000,1617580799999,45065727.69398500,252151,412730708.00000000,21902488.26603800,0
1617580800000,0.05248900,0.09158800,0.04945200,0.06725000,3989942943.00000000,1618185599999,292630597.64213700,866815,2025624842.00000000,148578667.33087700,0
1618185600000,0.06725000,0.07064300,0.04991700,0.05329200,870436598.00000000,1618790399999,54827008.25522900,206118,435021151.00000000,27424747.23195900,0
1618790400000,0.05329000,0.05595300,0.02926100,0.03326500,695556853.00000000,1619395199999,28688546.11860000,114231,347441179.00000000,14301827.61325600,0
1619395200000,0.03333200,0.06800000,0.03319200,0.06591900,1045653540.00000000,1619999999999,55178564.21308100,312877,535094214.00000000,28277937.24212800,0
1620000000000,0.06586900,0.11790000,0.06063300,0.08730000,4665401845.00000000,1620604799999,412691871.80524300,1197097,2412979875.00000000,211613985.23200400,0
1620604800000,0.08744900,0.09307300,0.04924600,0.05293600,1425931373.00000000,1621209599999,103188494.15128600,459730,696305212.00000000,50743206.98676400,0
1621209600000,0.05300800,0.05372100,0.01760100,0.02167500,662402949.00000000,1621814399999,23277088.65601000,116914,324289808.00000000,11390630.61878300,0
1621814400000,0.02162300,0.03721700,0.02070200,0.02810800,820820432.00000000,1622419199999,24911626.07401700,124246,413067625.00000000,12579393.87585100,0
1622419200000,0.02805200,0.03875700,0.02603100,0.03249200,671935944.00000000,1623023999999,21066051.50535900,107662,336677441.00000000,10599548.56526400,0
1623024000000,0.03254600,0.04320000,0.02367100,0.03272500,1894469826.00000000,1623628799999,65117471.99261200,245305,933208109.00000000,32163297.23310300,0
1623628800000,0.03272500,0.03598400,0.02576100,0.02836500,512638487.00000000,1624233599999,15944537.85441800,84698,251308603.00000000,7830928.05707800,0
1624233600000,0.02846200,0.02856400,0.01719300,0.02086500,1030707930.00000000,1624838399999,22600018.20021500,102869,538727563.00000000,11833442.69737700,0
1624838400000,0.02088000,0.02499900,0.02020000,0.02356900,544429426.00000000,1625443199999,12446874.37161500,75281,269558363.00000000,6173526.78548600,0
1625443200000,0.02351400,0.02587700,0.02117100,0.02305100,432818402.00000000,1626047999999,10162640.79000600,54514,214233937.00000000,5034413.32607800,0
1626048000000,0.02305100,0.02523600,0.01892600,0.01938700,342859603.00000000,1626652799999,7261951.83729100,39684,163770776.00000000,3471894.47448500,0
1626652800000,0.01945500,0.02084900,0.01551600,0.02008300,418954555.00000000,1627257599999,7954730.25429000,44486,211921395.00000000,4029737.62967900,0
