otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,2.12904000,2.35586000,1.76110000,1.98621000,169220666.10000000,1610323199999,348143080.90317800,828385,85498139.60000000,175998338.57508400,0
1610323200000,1.98593000,2.28000000,1.46000000,2.00854000,133024923.60000000,1610927999999,261662064.54218500,603595,66459688.90000000,130968462.33783200,0
1610928000000,2.00756000,2.10610000,1.60509000,1.95055000,83798108.90000000,1611532799999,163398056.96226000,402094,42578443.30000000,83086286.24518800,0
1611532800000,1.94903000,2.41950000,1.88200000,1.91015000,107559696.00000000,1612137599999,227156570.18820200,525157,54036556.30000000,114221560.36118400,0
1612137600000,1.91001000,2.58440000,1.84426000,2.29069000,93403713.20000000,1612742399999,208509818.73075800,551264,47904543.00000000,106981050.47458500,0
1612742400000,2.29316000,3.49500000,2.28471000,3.18318000,158810662.40000000,1613347199999,468564253.48480200,947372,84443876.40000000,249252239.12003200,0
1613347200000,3.18805000,3.97000000,3.03479000,3.56677000,95806032.70000000,1613951999999,336404101.45589700,677919,50218826.00000000,176750898.01548900,0
1613952000000,3.56963000,3.57336000,2.64178000,3.13475000,86536265.90000000,1614556799999,270422213.61383300,602633,43142800.00000000,135005406.99704000,0
1614556800000,3.13731000,4.72000000,3.08223000,4.33521000,125647926.10000000,1615161599999,503943519.61480300,915899,65581983.40000000,262760263.67404400,0
1615161600000,4.34004000,7.99990000,4.25142000,7.33788000,215967593.90000000,1615766399999,1402942288.43210900,2079424,112491812.80000000,731733526.56371800,0
1615766400000,7.33792000,9.77000000,6.35933000,9.62516000,123442540.00000000,1616371199999,975208374.85279400,1638278,63150655.50000000,499999942.31518300,0
1616371200000,9.62166000,14.96141000,9.53993000,12.86302000,278407482.10000000,1616975999999,3407496114.34905800,4308292,140886080.50000000,1723674531.10148200,0
1616976000000,12.85637000,13.95000000,11.20505000,11.78727000,97490356.70000000,1617580799999,1210194729.83591000,1941628,48650529.80000000,604206140.87757600,0
1617580800000,11.78590000,13.75000000,11.27353000,12.19659000,96116053.80000000,1618185599999,1189730989.86977500,2095370,48339045.90000000,598670088.65029100,0
1618185600000,12.19897000,15.88000000,8.94111000,11.76513000,133404842.20000000,1618790399999,1702987991.95437300,3436608,66238850.50000000,847664627.83287400,0
1618790400000,11.77109000,12.55999000,7.20000000,9.16700000,141627947.96500000,1619395199999,1410574200.81512700,3247766,70486289.86500000,702015380.19741800,0
1619395200000,9.17400000,11.77500000,8.94200000,10.94600000,91724749.47400000,1619999999999,1006477524.88193800,2432475,45907960.03200000,503515543.24556700,0
1620000000000,10.94700000,13.20000000,10.01300000,11.95600000,124485000.05300000,1620604799999,1437131442.56388800,3060660,62695452.27800000,724258503.49280500,0
1620604800000,11.95600000,12.19000000,8.30400000,9.43300000,118405265.81200000,1621209599999,1203873058.61718300,2836603,58113002.46400000,590873304.66439000,0
1621209600000,9.43100000,10.58500000,3.85000000,5.90200000,234028850.06600000,1621814399999,1660345056.17467800,4055592,116372587.30400000,825922652.77886100,0
1621814400000,5.91700000,8.50000000,5.68700000,6.51200000,163188229.41800000,1622419199999,1133610148.52763600,3086207,81208803.47200000,564418865.50638200,0
1622419200000,6.51200000,10.47700000,6.04200000,8.84400000,161179489.80000000,1623023999999,1374552322.53147600,3382088,81216465.44300000,692901172.61945700,0
1623024000000,8.84400000,10.09300000,7.33700000,8.77100000,150174024.99500000,1623628799999,1316479234.27317700,2756713,75080419.22900000,658592911.84419000,0
1623628800000,8.77100000,10.10300000,8.05000000,8.70000000,90123190.73600000,1624233599999,819081692.68868900,1992080,44695810.59500000,406286706.00055100,0
1624233600000,8.69900000,8.78700000,5.24000000,6.91800000,157819043.67200000,1624838399999,1063733395.02596800,2286703,78697240.88000000,530077415.99994700,0
1624838400000,6.92000000,7.40000000,5.76000000,6.34000000,86237146.92600000,1625443199999,568780843.08875100,1334827,42623706.61100000,281211620.51736500,0
1625443200000,6.33900000,6.82900000,5.72200000,5.94000000,96457876.75100000,1626047999999,597330811.19533200,1320531,47826212.14900000,296315195.82778800,0
1626048000000,5.94000000,5.99600000,4.32100000,4.43300000,103449333.59700000,1626652799999,504667306.21050000,1223966,51168329.77500000,249561120.92737700,0
1626652800000,4.43400000,6.56500000,3.49500000,6.12700000,192266813.62700000,1627257599999,943420279.97373800,2609252,96773745.06700000,474851316.04102600,0
1627257600000,6.12600000,6.75000000,5.28700000,5.75000000,161669909.63700000,1627862399999,961699493.25180600,3098447,80904081.57700000,481413178.82104300,0
1627862400000,5.75000000,7.29000000,5.54800000,6.40800000,122685669.90700000,1628467199999,794835784.84002000,2837870,60757363.70800000,393681414.71180100,0
1628467200000,6.40900000,7.59400000,6.12200000,7.46200000,115748338.39000000,1629071999999,812465428.47839600,2172485,57086575.35600000,400821345.52193700,0
1629072000000,7.46100000,8.33500000,6.52100000,7.34100000,122675274.32500000,1629676799999,901460050.75663200,2533779,60365666.10100000,443656049.61959700,0
1629676800000,7.34200000,8.14900000,6.31000000,6.91400000,109481416.82700000,1630281599999,780017584.33895300,2011603,53697862.33500000,382786023.92867300,0
1630281600000,6.91400000,8.27000000,6.41400000,8.18800000,92596167.99900000,1630886399999,664543781.73837900,1932194,46523036.05000000,334156917.87384200,0
1630886400000,8.18700000,9.74700000,5.92400000,6.58800000,225686936.95100000,1631491199999,1667172317.95601300,3796336,111761190.92500000,826442996.56855900,0
1631491200000,6.58800000,7.11400000,5.70000000,6.09900000,86062758.39300000,1632095999999,554818591.41476700,1647196,42415553.74500000,273510014.50253900,0
1632096000000,6.09900000,6.10400000,4.73500000,5.09900000,157164346.00700000,1632700799999,831541581.66072600,1912147,78432083.00900000,414981297.28955100,0
1632700800000,5.09900000,6.28800000,4.65900000,6.12300000,113662181.13500000,1633305599999,617644903.74341500,1618998,57102941.00000000,310321309.01650000,0
1633305600000,6.12300000,7.01100000,5.70400000,6.32700000,124403758.41800000,1633910399999,806120803.89006600,2336871,61849040.51800000,400775925.44015600,0
1633910400000,6.32500000,6.54700000,5.58800000,5.96600000,87865483.90000000,1634515199999,532234367.91150000,1457642,42933261.10000000,260122733.77990000,0
1634515200000,5.96600000,6.84300000,5.75400000,6.44300000,83481316.40000000,1635119999999,526117614.67520000,1561721,41434525.10000000,261179198.53830000,0
1635120000000,6.44300000,8.59000000,5.69000000,7.22000000,156544249.67900000,1635724799999,1112005694.47161300,3591196,77938883.77900000,553838784.99551300,0
1635724800000,7.22000000,8.13800000,6.90100000,7.45300000,96357988.00000000,1636329599999,724949439.73620000,2484984,47467464.60000000,357249294.51890000,0
1636329600000,7.45200000,8.49000000,6.36200000,7.04700000,97387036.90000000,1636934399999,735547589.54920000,2490805,47977803.10000000,362805620.60740000,0
1636934400000,7.04700000,7.21000000,5.83000000,7.10600000,85739423.70000000,1637539199999,554389133.91720000,1902503,42792813.80000000,276739891.77160000,0
1637539200000,7.10500000,7.57000000,6.00600000,6.60800000,101816092.60000000,1638143999999,687662565.79630000,2446850,50541807.20000000,341501530.98160000,0
1638144000000,6.60900000,6.82700000,3.65400000,4.73900000,120805501.97500000,1638748799999,681785263.73249500,2051935,59939815.64300000,338929630.57518400,0
1638748800000,4.74000000,4.81800000,4.15100000,4.78400000,22046184.70000000,1639353599999,99063446.82590000,262668,10973455.90000000,49332481.45210000,0
