otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1617580800000,0.10000000,10.00000000,0.10000000,2.30320000,488907214.37000000,1618185599999,1449405682.10069000,2852694,244237347.11000000,733735700.90137600,0
1618185600000,2.30450000,3.48150000,1.68800000,2.92510000,280721587.11000000,1618790399999,660245536.40976400,1341789,139497658.85000000,330648301.25594100,0
1618790400000,2.93340000,3.79410000,1.78000000,2.29500000,333198647.97000000,1619395199999,946919475.51923500,1807187,164529671.45000000,470419303.44576100,0
1619395200000,2.29500000,4.65190000,2.27140000,4.46680000,225277402.66000000,1619999999999,721245860.54989400,1452110,114169908.92000000,367763119.59080200,0
1620000000000,4.46240000,4.99000000,3.38000000,3.53280000,203761330.07000000,1620604799999,830500465.14868500,1693629,99108031.28000000,405098936.30772200,0
1620604800000,3.53280000,3.88000000,2.80000000,2.94810000,100516171.22000000,1621209599999,331997244.02485500,855762,48078049.29000000,159065357.50343100,0
1621209600000,2.94990000,3.17660000,1.00200000,1.28060000,100720610.71000000,1621814399999,215009252.80984600,669601,48862309.46000000,104916446.41540600,0
1621814400000,1.28020000,1.95000000,1.19860000,1.53370000,55081458.66000000,1622419199999,88724887.34498900,330402,27246919.93000000,43872817.85631200,0
1622419200000,1.53020000,2.87900000,1.43610000,2.38970000,140219204.55000000,1623023999999,318883656.23115500,1048665,70734905.24000000,160904086.35794000,0
1623024000000,2.38950000,2.52820000,1.78660000,2.06820000,60062241.41000000,1623628799999,124213455.82382500,466699,29753569.94000000,61463366.10267900,0
1623628800000,2.06820000,2.09890000,1.58970000,1.70250000,30187493.47000000,1624233599999,56003274.63703500,248997,14723981.43000000,27275360.47605900,0
1624233600000,1.70340000,1.72360000,1.15170000,1.37940000,37748944.05000000,1624838399999,52742431.69471900,248902,18922793.88000000,26465172.37685200,0
1624838400000,1.38080000,1.50010000,1.27000000,1.42170000,19978462.88000000,1625443199999,27667251.53434900,130572,9977259.93000000,13813781.61833700,0
1625443200000,1.42170000,1.58590000,1.30000000,1.40300000,22809178.07000000,1626047999999,32361880.34322800,140205,11047239.22000000,15666302.52969000,0
1626048000000,1.40410000,1.89000000,1.28250000,1.52410000,95346200.98000000,1626652799999,154438236.95186600,522243,45746914.52000000,74201145.96434300,0
1626652800000,1.52560000,1.72960000,1.20000000,1.62400000,70387943.57000000,1627257599999,104746884.74666000,401584,34404704.61000000,51403420.70579200,0
1627257600000,1.62370000,1.71980000,1.48880000,1.57200000,45929430.17000000,1627862399999,72848115.43092900,252838,21899325.86000000,34761098.72026400,0
1627862400000,1.57290000,1.99760000,1.49200000,1.79900000,60811489.32000000,1628467199999,107681630.25906600,344959,29951553.49000000,53148159.65843000,0
1628467200000,1.79890000,2.21740000,1.75150000,2.03330000,56947943.68000000,1629071999999,110912552.90769300,308843,27808767.34000000,54193212.74398000,0
1629072000000,2.03300000,2.51990000,2.00030000,2.27290000,69148971.98000000,1629676799999,155194219.18962500,419315,34166558.28000000,76717686.76599700,0
1629676800000,2.27330000,3.46400000,2.06800000,2.87800000,136578574.68000000,1630281599999,385137492.05390600,888890,67235366.48000000,189876970.74750100,0
1630281600000,2.87700000,2.95000000,2.51500000,2.73300000,48959652.07000000,1630886399999,133154080.06090200,314099,23706802.51000000,64495837.41236000,0
1630886400000,2.73400000,2.83200000,1.85000000,2.16600000,54028936.88000000,1631491199999,123657662.16580500,341582,26690420.09000000,61142903.55369800,0
1631491200000,2.16500000,2.44800000,1.95100000,2.18400000,33657804.60000000,1632095999999,72978499.41740000,241911,15982250.50000000,34691452.41860000,0
1632096000000,2.18700000,2.22000000,1.58200000,1.71300000,35907616.96000000,1632700799999,67482924.40234800,220690,17423106.32000000,32796407.41792500,0
1632700800000,1.71300000,2.04900000,1.59500000,1.94300000,24279935.60000000,1633305599999,44107354.80220000,156384,12103989.60000000,22027305.58510000,0
1633305600000,1.94400000,2.00900000,1.78000000,1.85800000,27549489.90000000,1633910399999,52644910.54120000,165995,13311108.10000000,25448877.56770000,0
1633910400000,1.85900000,2.34000000,1.73000000,2.06800000,41632335.50000000,1634515199999,84707898.84030000,273361,20467880.40000000,41728584.31050000,0
1634515200000,2.07000000,2.22200000,1.95500000,2.02300000,29435533.40000000,1635119999999,60921462.55060000,205022,14387239.60000000,29806695.72610000,0
1635120000000,2.02500000,2.07100000,1.77600000,1.91500000,22194273.20000000,1635724799999,43026289.34220000,157166,10486233.30000000,20340668.56300000,0
1635724800000,1.91500000,2.35000000,1.88000000,2.00100000,39156492.60000000,1636329599999,81625338.91960000,293442,19088451.30000000,39860394.16080000,0
1636329600000,2.00200000,2.09600000,1.81400000,1.90400000,22073013.10000000,1636934399999,42943208.89280000,148419,10548543.70000000,20518478.83700000,0
1636934400000,1.90700000,1.94300000,1.50200000,1.76200000,33473355.08000000,1637539199999,58444262.07262800,172847,16479350.52000000,28760760.49170000,0
1637539200000,1.76300000,1.81900000,1.51000000,1.58300000,24876126.50000000,1638143999999,40978005.80830000,137664,12143276.00000000,20011382.12190000,0
1638144000000,1.58400000,1.98000000,1.27100000,1.35300000,44128819.27000000,1638748799999,74071540.39342000,250874,21610741.95000000,36316902.50118000,0
1638748800000,1.35200000,1.40100000,1.27700000,1.37800000,3181827.00000000,1639353599999,4259000.47630000,19086,1659951.20000000,2224367.44790000,0
