otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.67670000,0.70880000,0.65300000,0.67500000,3026311.42000000,1609545599999,2061389.80084400,13556,1463173.58000000,997698.43073500,0
1609545600000,0.67600000,0.75000000,0.64270000,0.70250000,5778924.74000000,1609631999999,3966416.26178000,21526,2954383.61000000,2036286.22861400,0
1609632000000,0.70300000,0.86510000,0.70300000,0.81990000,10916096.72000000,1609718399999,8784196.31515600,44613,5732948.17000000,4620756.48620400,0
1609718400000,0.82020000,1.00810000,0.80110000,0.96160000,10776316.39000000,1609804799999,9630323.62392700,48857,5742893.20000000,5136015.64737200,0
1609804800000,0.96440000,1.05000000,0.90000000,0.92750000,12973225.83000000,1609891199999,12607932.78490000,53319,6538427.61000000,6357671.43499600,0
1609891200000,0.92780000,1.01810000,0.88010000,0.97730000,7297899.41000000,1609977599999,7024577.88928900,34951,3602475.72000000,3472685.58436600,0
1609977600000,0.97750000,1.05720000,0.89470000,0.92620000,6060680.28000000,1610063999999,5903591.08008100,31031,3007398.58000000,2933150.11960100,0
1610064000000,0.92620000,1.15000000,0.81000000,1.14600000,11604690.80000000,1610150399999,11542042.72618800,54366,6320726.13000000,6336838.98299800,0
1610150400000,1.14600000,1.29700000,1.11150000,1.13000000,10574365.02000000,1610236799999,12652633.81651300,56576,5574529.34000000,6669218.42822900,0
1610236800000,1.13000000,1.23390000,0.99000000,1.16040000,7046111.25000000,1610323199999,7971082.93827300,37083,3437347.21000000,3897762.87305400,0
1610323200000,1.15730000,1.23130000,0.97590000,1.21760000,12010666.26000000,1610409599999,13213744.39829200,46906,6178061.26000000,6821303.11699400,0
1610409600000,1.21970000,1.32780000,1.11040000,1.13550000,8763723.71000000,1610495999999,10665411.18589600,42360,4453388.84000000,5426349.96070800,0
1610496000000,1.13360000,1.25000000,1.08230000,1.22590000,5058913.84000000,1610582399999,6004615.60466200,28309,2478558.21000000,2945418.84300600,0
1610582400000,1.22410000,1.38000000,1.19800000,1.33240000,5769343.86000000,1610668799999,7602812.76232600,34318,2973096.42000000,3921814.67586700,0
1610668800000,1.33100000,1.39900000,1.19910000,1.28750000,5641164.81000000,1610755199999,7398164.10526000,32395,2734525.03000000,3590048.50159800,0
1610755200000,1.28750000,1.45000000,1.27510000,1.35700000,5543454.91000000,1610841599999,7629087.11278000,35948,2908176.34000000,4013132.42230600,0
1610841600000,1.35680000,1.39030000,1.28200000,1.32810000,4411507.85000000,1610927999999,5900107.03646600,33868,2207812.00000000,2955977.58806000,0
