otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1623024000000,71.89000000,87.55000000,49.90000000,57.55000000,527664.50000000,1623628799999,37683276.70860000,96434,269459.82000000,19704106.20660000,0
1623628800000,57.59000000,72.20000000,44.02000000,47.10000000,443202.21000000,1624233599999,24089248.09800000,84788,204386.38000000,11172483.11680000,0
1624233600000,47.03000000,49.00000000,34.10000000,40.65000000,542592.96000000,1624838399999,22837064.32780000,100418,256231.19000000,10840739.72110000,0
1624838400000,40.65000000,45.90000000,36.43000000,39.04000000,128778.38000000,1625443199999,5189512.34800000,27491,60387.98000000,2435798.12520000,0
1625443200000,39.04000000,41.31000000,33.57000000,34.93000000,137527.02000000,1626047999999,5125870.75020000,23392,65311.77000000,2435287.72830000,0
1626048000000,34.96000000,35.99000000,29.03000000,30.80000000,152006.65000000,1626652799999,4893306.38170000,25719,66190.44000000,2135274.06670000,0
1626652800000,30.78000000,38.85000000,26.08000000,32.63000000,228863.42000000,1627257599999,7017338.32670000,36433,107532.47000000,3317892.25900000,0
1627257600000,32.63000000,38.56000000,31.55000000,34.70000000,156700.13000000,1627862399999,5455120.63080000,31743,72032.53000000,2513926.28090000,0
1627862400000,34.65000000,83.71000000,30.24000000,59.26000000,3010186.25000000,1628467199999,186539625.20220000,569050,1484582.34000000,92503402.49040000,0
1628467200000,59.26000000,62.87000000,49.01000000,53.37000000,971948.89000000,1629071999999,54316821.04320000,202624,461172.02000000,25816187.25310000,0
1629072000000,53.47000000,56.96000000,44.55000000,49.28000000,323270.67000000,1629676799999,16059513.15470000,79459,146837.57000000,7300014.38390000,0
1629676800000,49.34000000,95.70000000,46.73000000,70.00000000,2457364.88000000,1630281599999,182478181.93680000,665433,1210827.23000000,90452935.72480000,0
1630281600000,70.00000000,87.98000000,63.67000000,76.28000000,792074.69000000,1630886399999,60415537.70710000,256834,387355.14000000,29650501.01650000,0
1630886400000,76.27000000,76.28000000,54.40000000,62.83000000,340538.37000000,1631491199999,21855410.04440000,94453,158903.51000000,10180526.40350000,0
1631491200000,62.83000000,98.43000000,54.96000000,66.99000000,1091734.67000000,1632095999999,80157499.94090000,277653,518784.12000000,38273695.79080000,0
1632096000000,67.18000000,68.26000000,50.15000000,57.10000000,453751.80000000,1632700799999,27154292.45140000,104632,218559.21000000,13082753.94220000,0
1632700800000,56.95000000,73.80000000,55.53000000,68.04000000,536609.69000000,1633305599999,34102995.75180000,133337,264911.06000000,16833958.56130000,0
1633305600000,68.10000000,72.87000000,63.66000000,64.74000000,305238.00000000,1633910399999,20750418.18960000,79797,151951.30000000,10344987.29150000,0
1633910400000,64.70000000,84.45000000,58.82000000,73.66000000,560576.61000000,1634515199999,39912913.21310000,138606,271619.31000000,19408203.13800000,0
1634515200000,73.70000000,77.83000000,64.65000000,68.38000000,258557.78000000,1635119999999,18104267.88570000,63024,127302.39000000,8916678.89710000,0
1635120000000,68.38000000,73.89000000,57.61000000,60.31000000,295208.89000000,1635724799999,19063490.93200000,70925,137525.78000000,8877271.67030000,0
1635724800000,60.31000000,63.96000000,55.19000000,57.27000000,309453.33000000,1636329599999,18089135.21720000,63797,150517.90000000,8810920.03150000,0
1636329600000,57.40000000,59.70000000,50.84000000,54.81000000,281628.13000000,1636934399999,15590403.07980000,54852,133472.65000000,7402350.65250000,0
1636934400000,54.88000000,57.00000000,46.20000000,50.72000000,238908.23000000,1637539199999,12375444.37490000,42118,118720.40000000,6158072.38850000,0
1637539200000,50.72000000,53.62000000,42.00000000,45.28000000,264654.97000000,1638143999999,12838188.32540000,52797,119701.65000000,5817444.03360000,0
1638144000000,45.28000000,52.35000000,33.69000000,36.55000000,338426.09000000,1638748799999,14679403.34000000,62830,159322.75000000,6915232.51100000,0
1638748800000,36.67000000,36.85000000,32.70000000,36.32000000,39988.84000000,1639353599999,1381835.81790000,7070,19235.88000000,664740.66660000,0
