otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1629676800000,0.68220000,1.10000000,0.68220000,0.79490000,303082878.00000000,1630281599999,265211623.91380000,651973,143500825.00000000,126659897.51040000,0
1630281600000,0.79510000,0.88280000,0.75690000,0.77150000,77133944.00000000,1630886399999,61435119.24870000,160874,32073631.00000000,25632335.46140000,0
1630886400000,0.77240000,0.79750000,0.58530000,0.63200000,55442108.00000000,1631491199999,37525522.59220000,136720,27438968.00000000,18510320.01470000,0
1631491200000,0.63200000,0.73290000,0.59450000,0.63340000,86849102.00000000,1632095999999,56064163.71580000,147391,42300617.00000000,27350108.45910000,0
1632096000000,0.63260000,0.90350000,0.57420000,0.58040000,131680769.00000000,1632700799999,86911831.09060000,208522,61396282.00000000,40872668.34790000,0
1632700800000,0.58100000,0.63350000,0.57720000,0.61440000,35628828.00000000,1633305599999,21286471.87250000,70939,17184873.00000000,10277873.68290000,0
1633305600000,0.61480000,0.75240000,0.60110000,0.72180000,62545647.00000000,1633910399999,41717993.52380000,117281,28571201.00000000,19078531.66450000,0
1633910400000,0.72070000,0.91810000,0.72010000,0.83150000,70380213.00000000,1634515199999,58826782.01170000,197389,33947852.00000000,28310182.99440000,0
1634515200000,0.83190000,0.98000000,0.79270000,0.89710000,29058857.00000000,1635119999999,25138948.17040000,64580,13640657.00000000,11809732.83780000,0
1635120000000,0.89660000,0.92240000,0.86510000,0.89210000,19481980.00000000,1635724799999,17417343.61340000,45605,8890315.00000000,7960453.26260000,0
1635724800000,0.89230000,1.17200000,0.88130000,1.11170000,44590318.00000000,1636329599999,44958411.37890000,104938,21853803.00000000,21928798.23630000,0
1636329600000,1.11200000,1.35450000,1.09540000,1.23940000,39571584.00000000,1636934399999,48521985.49210000,83055,17359389.00000000,21329478.04170000,0
1636934400000,1.23940000,1.35800000,0.96910000,1.11090000,40886935.00000000,1637539199999,46923095.50010000,119189,16725400.00000000,19345095.64830000,0
1637539200000,1.11100000,1.15600000,0.90310000,0.93100000,17709842.00000000,1638143999999,18172040.04490000,46663,7979681.00000000,8111197.18000000,0
1638144000000,0.93100000,1.52090000,0.92470000,1.01370000,76691725.00000000,1638748799999,89764380.94650000,253722,35652388.00000000,41846912.74390000,0
1638748800000,1.01530000,1.08000000,1.00010000,1.03700000,5654932.00000000,1639353599999,5825089.77540000,16120,2751160.00000000,2842381.29660000,0
