otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00233350,0.00265320,0.00230000,0.00248370,154012025.00000000,1609545599999,380613.07650450,4531,69603530.00000000,172718.45071850,0
1609545600000,0.00248440,0.00267690,0.00239070,0.00258380,93025675.00000000,1609631999999,237815.41768460,3719,43240201.00000000,111232.74083770,0
1609632000000,0.00258380,0.00280530,0.00252890,0.00274550,87424376.00000000,1609718399999,234376.29620530,3731,42509171.00000000,114448.79388290,0
1609718400000,0.00274540,0.00300000,0.00255900,0.00272910,130381412.00000000,1609804799999,363279.19346130,4658,74778557.00000000,209839.99125790,0
1609804800000,0.00272640,0.00295490,0.00264140,0.00280480,140089651.00000000,1609891199999,396989.73997300,3896,77196624.00000000,220161.68941020,0
1609891200000,0.00280180,0.00292010,0.00250730,0.00282040,426811601.00000000,1609977599999,1151865.67174050,8687,179114117.00000000,484661.93769550,0
1609977600000,0.00282030,0.00338440,0.00275000,0.00298780,320041093.00000000,1610063999999,969698.15607780,8652,158835447.00000000,483190.30404220,0
1610064000000,0.00296450,0.00363600,0.00280010,0.00336820,308066948.00000000,1610150399999,1017077.66611010,8293,175011597.00000000,582464.49083350,0
1610150400000,0.00336860,0.00375000,0.00318000,0.00332190,428644601.00000000,1610236799999,1469426.52546180,11969,175158645.00000000,608581.40932710,0
1610236800000,0.00332200,0.00350000,0.00302310,0.00334000,216391764.00000000,1610323199999,710540.40412210,6720,82905103.00000000,275960.18399910,0
1610323200000,0.00334020,0.00388520,0.00270000,0.00374480,923216403.00000000,1610409599999,3210058.07701450,19947,448508050.00000000,1586026.99144530,0
1610409600000,0.00374490,0.00380000,0.00306000,0.00326660,373186777.00000000,1610495999999,1290897.81376890,12228,169085379.00000000,586403.91705680,0
1610496000000,0.00326660,0.00344810,0.00306000,0.00339120,155468767.00000000,1610582399999,510342.38739780,5968,80256441.00000000,264436.61825740,0
1610582400000,0.00339120,0.00374020,0.00330490,0.00358200,120441164.00000000,1610668799999,429129.56233510,5049,67687402.00000000,241769.63043400,0
1610668800000,0.00359470,0.00369880,0.00323010,0.00339730,115212031.00000000,1610755199999,394890.14670490,5238,50594337.00000000,174201.72709460,0
1610755200000,0.00339730,0.00415000,0.00339730,0.00385040,248092386.00000000,1610841599999,946995.63408220,9422,145033971.00000000,554140.55007700,0
1610841600000,0.00385170,0.00400000,0.00367230,0.00385990,133597270.00000000,1610927999999,513840.70207900,5222,58474979.00000000,225936.13574230,0
1610928000000,0.00385990,0.00398600,0.00374090,0.00392900,87798480.00000000,1611014399999,338605.94830310,3925,34630328.00000000,133985.55003280,0
1611014400000,0.00394270,0.00397230,0.00360000,0.00370440,84456872.00000000,1611100799999,319623.74698700,4052,36091402.00000000,137149.91824500,0
1611100800000,0.00368400,0.00393330,0.00360000,0.00378650,91281544.00000000,1611187199999,343058.56657430,3848,43682684.00000000,165025.66282340,0
