otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.00274540,0.00375000,0.00250730,0.00334000,1970427070.00000000,1610323199999,6078877.35694660,52875,923000090.00000000,2864860.00656550,0
1610323200000,0.00334020,0.00415000,0.00270000,0.00385990,2069214798.00000000,1610927999999,7296154.32338240,63074,1019640559.00000000,3632915.57010740,0
1610928000000,0.00385990,0.00409900,0.00341000,0.00388620,813774686.00000000,1611532799999,3121408.44152260,32614,385236776.00000000,1483608.92226610,0
1611532800000,0.00388490,0.00446920,0.00323030,0.00423440,1144496375.00000000,1612137599999,4592907.14210300,46096,562586834.00000000,2269857.05086710,0
1612137600000,0.00422080,0.00665740,0.00411010,0.00518160,2934503950.00000000,1612742399999,16213673.65375620,137417,1453683903.00000000,8053835.98356770,0
1612742400000,0.00517000,0.01100000,0.00493910,0.00936770,6378414800.00000000,1613347199999,51685290.31392620,259932,3831295278.00000000,31242617.20290270,0
1613347200000,0.00937000,0.01000000,0.00728520,0.00917600,1798480456.00000000,1613951999999,16020266.04557040,145185,888010239.00000000,7923419.19697780,0
1613952000000,0.00917690,0.00939910,0.00599000,0.00707420,1495370800.00000000,1614556799999,11024979.70462200,91539,710096458.00000000,5222490.18381830,0
1614556800000,0.00709060,0.00980540,0.00657230,0.00893740,2348574557.00000000,1615161599999,19680428.76229230,139818,1148499062.00000000,9667738.26886000,0
1615161600000,0.00893730,0.01849000,0.00855370,0.01576680,6141784576.00000000,1615766399999,83220669.65931590,462469,3088690283.00000000,41858521.24608290,0
1615766400000,0.01576010,0.02678910,0.01430000,0.02410620,7614691641.00000000,1616371199999,163564814.38338150,765727,3859105364.00000000,82847475.24956900,0
1616371200000,0.02410620,0.02790000,0.01945000,0.02406800,2717008690.00000000,1616975999999,64479562.61935780,354458,1321670767.00000000,31429764.33944770,0
1616976000000,0.02410000,0.02989000,0.02340010,0.02620000,2716310016.00000000,1617580799999,71318405.22019130,374791,1325935216.00000000,34847209.85945410,0
1617580800000,0.02619800,0.03299450,0.02600000,0.02733660,2656353533.00000000,1618185599999,76721910.51034610,387919,1261249595.00000000,36478048.83954070,0
1618185600000,0.02738630,0.03760000,0.02280550,0.02745560,3850590556.00000000,1618790399999,110776774.91995040,475462,1924375740.00000000,55547722.17516810,0
1618790400000,0.02745590,0.02912700,0.01170570,0.01734900,2486950368.00000000,1619395199999,53618951.55733210,228602,1214980658.00000000,26194898.92071660,0
1619395200000,0.01734800,0.02438400,0.01690000,0.02314900,1968897932.00000000,1619999999999,43690079.07646690,291689,988078984.00000000,21923104.00896790,0
1620000000000,0.02315500,0.02512000,0.01933100,0.02152500,1831992169.00000000,1620604799999,41404076.55593120,299113,904638186.00000000,20503481.72597620,0
1620604800000,0.02153700,0.02383300,0.01569800,0.01679400,1863586382.00000000,1621209599999,35742694.93381850,204774,892817638.00000000,17139217.18378800,0
1621209600000,0.01677900,0.01788200,0.00666900,0.00794000,2400601181.00000000,1621814399999,30939181.89744620,140512,1175444608.00000000,15112188.04041700,0
1621814400000,0.00793800,0.01139000,0.00769700,0.00866000,1364818771.00000000,1622419199999,12976685.58720400,87812,680990904.00000000,6488935.37407900,0
1622419200000,0.00860900,0.01390000,0.00800100,0.01093100,2410536831.00000000,1623023999999,24889510.43275000,126089,1107825260.00000000,11371208.89976700,0
1623024000000,0.01093200,0.01290000,0.00843900,0.01037200,4240048356.00000000,1623628799999,45824982.89441000,229394,2071463757.00000000,22440152.33272000,0
1623628800000,0.01042500,0.01129400,0.00800000,0.00893400,1018657175.00000000,1624233599999,10196241.13094800,66020,494307275.00000000,4953517.39754600,0
1624233600000,0.00893000,0.00896900,0.00554700,0.00740400,1137179828.00000000,1624838399999,8279255.05190800,57011,567820380.00000000,4127576.24266400,0
1624838400000,0.00742900,0.00910000,0.00723600,0.00860400,1474696556.00000000,1625443199999,12200054.85897800,68875,743701313.00000000,6163614.25161800,0
1625443200000,0.00861900,0.00887500,0.00753500,0.00797600,718253928.00000000,1626047999999,5855086.05865700,36772,356254847.00000000,2907215.33187600,0
1626048000000,0.00797200,0.00807400,0.00664200,0.00710900,642386468.00000000,1626652799999,4690407.98011100,31176,317480515.00000000,2318063.26237800,0
1626652800000,0.00712400,0.00723100,0.00567100,0.00719200,666417561.00000000,1627257599999,4327949.28865900,29049,321362513.00000000,2087326.31500900,0
1627257600000,0.00718200,0.00915100,0.00712700,0.00851600,954106389.00000000,1627862399999,7682825.95145700,52625,462803220.00000000,3739621.74803400,0
1627862400000,0.00852400,0.00913500,0.00679900,0.00755000,4397701457.00000000,1628467199999,32933529.35171300,159931,2076387213.00000000,15559948.44315600,0
1628467200000,0.00756300,0.01075000,0.00725000,0.01022300,6248149569.00000000,1629071999999,55911581.80039600,279236,3251821066.00000000,29166775.33693100,0
1629072000000,0.01022000,0.01233500,0.00854000,0.01098800,4746718848.00000000,1629676799999,49075908.66875100,231741,2390659603.00000000,24838927.64526200,0
1629676800000,0.01096600,0.01222500,0.00899100,0.00960600,3702352451.00000000,1630281599999,38610409.07035500,200164,1835334043.00000000,19291303.94311100,0
1630281600000,0.00960600,0.01190000,0.00925800,0.01080000,3749646440.00000000,1630886399999,38975713.08337400,224458,1851426299.00000000,19311519.11865500,0
1630886400000,0.01081400,0.01117000,0.00722600,0.00871100,2140734034.00000000,1631491199999,19488103.42323200,128572,1033521859.00000000,9451657.66554400,0
1631491200000,0.00870600,0.01040000,0.00767300,0.00942700,2464987698.00000000,1632095999999,21642852.51117400,142114,1250575536.00000000,11007776.41826600,0
1632096000000,0.00944200,0.04012800,0.00808700,0.01119800,32179384457.00000000,1632700799999,475465157.33998300,1521212,16146725201.00000000,238196515.44966800,0
1632700800000,0.01119300,0.01766600,0.01119300,0.01579900,17356206742.00000000,1633305599999,239268439.25167700,1062666,8774964980.00000000,121319017.01155000,0
1633305600000,0.01579600,0.02680000,0.01250000,0.01924400,22579796111.00000000,1633910399999,424310103.01811100,1779871,11329298847.00000000,213494898.24626100,0
1633910400000,0.01924800,0.02542700,0.01668000,0.01912600,12211564593.00000000,1634515199999,250561498.84180300,1320807,6037945531.00000000,124344761.19803800,0
1634515200000,0.01912400,0.01989500,0.01682300,0.01704100,3499882395.00000000,1635119999999,65187543.40454900,392135,1688055468.00000000,31490642.23610300,0
1635120000000,0.01707000,0.01964100,0.01358300,0.01497900,5898403465.00000000,1635724799999,96259875.23092100,625754,2873612740.00000000,46955431.24213600,0
1635724800000,0.01497800,0.01880000,0.01447000,0.01552200,4195526182.00000000,1636329599999,66162167.18887100,406761,2041829991.00000000,32283740.62995500,0
1636329600000,0.01552200,0.01619500,0.01368700,0.01485400,2583722137.00000000,1636934399999,39027705.17748400,237601,1235472196.00000000,18681541.25927800,0
1636934400000,0.01483800,0.01790000,0.01243200,0.01435200,4775345126.00000000,1637539199999,69955602.02702500,424934,2398259336.00000000,35268063.68736400,0
1637539200000,0.01430300,0.01534000,0.01241000,0.01316400,2805352804.00000000,1638143999999,38650125.32368400,209653,1397799422.00000000,19306339.24881300,0
1638144000000,0.01319100,0.01960000,0.01095600,0.01325500,12366207287.00000000,1638748799999,182515232.66826300,979745,6228130031.00000000,92151776.45186400,0
1638748800000,0.01326900,0.01536800,0.01190000,0.01274500,1692536276.00000000,1639353599999,22678773.43481300,128272,882377274.00000000,11868357.43334800,0
