otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1611014400000,0.24660000,0.38500000,0.24660000,0.27510000,68277436.22000000,1611100799999,22439925.68691200,64652,35165045.49000000,11599161.55602300,0
1611100800000,0.27720000,0.28930000,0.23580000,0.27100000,21395633.73000000,1611187199999,5650919.26280700,18921,9883723.06000000,2609261.77831600,0
1611187200000,0.26970000,0.28030000,0.22000000,0.23150000,10326540.37000000,1611273599999,2543878.27924300,8893,4276861.75000000,1052496.12164200,0
1611273600000,0.23150000,0.24600000,0.20140000,0.23730000,7526826.76000000,1611359999999,1718644.28044700,6718,3638530.58000000,834623.02215600,0
1611360000000,0.23720000,0.24460000,0.21860000,0.22630000,6300422.55000000,1611446399999,1455996.79284200,5191,2743657.08000000,634856.81273700,0
1611446400000,0.22640000,0.25920000,0.21810000,0.25140000,11759119.41000000,1611532799999,2828316.09137600,9203,5811811.99000000,1401244.34831000,0
1611532800000,0.25130000,0.27000000,0.23300000,0.23810000,8555914.12000000,1611619199999,2167740.81137400,7056,4001575.97000000,1017115.24898000,0
1611619200000,0.23800000,0.24970000,0.21650000,0.23610000,7937679.63000000,1611705599999,1825031.05834300,7374,3963157.15000000,912810.31877300,0
1611705600000,0.23620000,0.23620000,0.20580000,0.21600000,4699081.64000000,1611791999999,1032323.43112700,4841,1789153.96000000,392503.02354800,0
1611792000000,0.21540000,0.24600000,0.21010000,0.22710000,6607612.26000000,1611878399999,1503681.23396400,6285,3091532.42000000,704074.25763500,0
1611878400000,0.22720000,0.24250000,0.21820000,0.23160000,5918330.83000000,1611964799999,1352190.23691300,6144,2607025.33000000,595633.03030800,0
1611964800000,0.23080000,0.23700000,0.22040000,0.22920000,6014939.50000000,1612051199999,1368647.40121200,5533,2542919.30000000,578275.02055000,0
1612051200000,0.22960000,0.26850000,0.22720000,0.24930000,12043864.17000000,1612137599999,2958530.25530000,10486,5813461.78000000,1431350.83155600,0
1612137600000,0.24890000,0.24890000,0.22060000,0.23320000,7231184.71000000,1612223999999,1674074.40768900,6934,3580234.32000000,827383.18947600,0
1612224000000,0.23300000,0.27100000,0.23020000,0.26190000,7420791.09000000,1612310399999,1839962.48687700,7290,3485741.10000000,862252.08834100,0
1612310400000,0.26120000,0.29590000,0.25140000,0.28910000,10960515.66000000,1612396799999,3022193.30792600,10703,5256217.69000000,1451906.86542500,0
1612396800000,0.28910000,0.29200000,0.25140000,0.26900000,8879193.36000000,1612483199999,2409031.48034400,9500,3935898.23000000,1071778.25952700,0
1612483200000,0.26860000,0.32260000,0.26650000,0.30160000,11694537.66000000,1612569599999,3491151.15420900,12734,5265962.17000000,1578277.13342300,0
