otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,2.50100000,2.67600000,2.40800000,2.51000000,189361.74000000,1609545599999,481555.42903000,1304,96695.18000000,246395.08258000,0
1609545600000,2.51200000,2.85000000,2.42800000,2.62800000,169707.71000000,1609631999999,438055.73409000,1697,100995.76000000,261755.23233000,0
1609632000000,2.67000000,3.48800000,2.44800000,3.31200000,475102.55000000,1609718399999,1417224.39636000,3816,236624.35000000,706656.24038000,0
1609718400000,3.33000000,4.14200000,2.46200000,3.59400000,1247139.32000000,1609804799999,4119628.92258000,9448,635288.16000000,2090666.65998000,0
1609804800000,3.59100000,3.67000000,2.50700000,2.90400000,1106913.12000000,1609891199999,3161599.65442000,6513,527402.33000000,1508643.66754000,0
1609891200000,2.91000000,3.54700000,2.75000000,3.36700000,714342.90000000,1609977599999,2287584.60986000,5912,365065.99000000,1166046.71475000,0
1609977600000,3.42300000,4.15700000,3.28800000,3.59400000,1004148.85000000,1610063999999,3775860.67881000,5709,524306.11000000,1985828.77019000,0
1610064000000,3.59500000,3.66000000,3.06800000,3.47600000,473166.48000000,1610150399999,1602789.38952000,3839,248906.37000000,840731.39435000,0
1610150400000,3.50400000,4.69800000,3.27900000,4.27300000,639591.10000000,1610236799999,2608127.27054000,6960,357048.10000000,1451474.05370000,0
1610236800000,4.28000000,4.95000000,3.05500000,3.58500000,1111964.98000000,1610323199999,4375086.75744000,10222,544293.17000000,2153895.38916000,0
1610323200000,3.57100000,3.58500000,1.98800000,2.45900000,1447712.64000000,1610409599999,3608032.13956000,6797,618806.34000000,1537675.15859000,0
1610409600000,2.44900000,2.79200000,2.22000000,2.38000000,420002.09000000,1610495999999,1037023.98692000,3239,201541.14000000,498419.94659000,0
1610496000000,2.37800000,2.88000000,2.17600000,2.86100000,249993.50000000,1610582399999,625955.50451000,2157,127413.28000000,318535.26394000,0
1610582400000,2.88800000,3.03000000,2.53000000,2.72000000,509794.87000000,1610668799999,1398738.33626000,3803,286960.54000000,788892.65932000,0
1610668800000,2.73000000,3.03000000,2.29600000,2.63100000,801900.58000000,1610755199999,2188372.95471000,5365,434142.74000000,1187946.86727000,0
1610755200000,2.63100000,2.97100000,2.55700000,2.70200000,635453.29000000,1610841599999,1759709.94007000,4335,341462.72000000,947821.69505000,0
1610841600000,2.70000000,2.85000000,2.49000000,2.70500000,380179.11000000,1610927999999,1027234.33345000,3412,222197.94000000,601040.73833000,0
1610928000000,2.74400000,3.22500000,2.60000000,3.06100000,573338.47000000,1611014399999,1676183.78966000,4380,328091.23000000,962524.24344000,0
1611014400000,3.05100000,3.23500000,2.78500000,2.80000000,513025.42000000,1611100799999,1556974.69545000,4025,273634.69000000,835099.34256000,0
1611100800000,2.79100000,2.90800000,2.44000000,2.75400000,521003.41000000,1611187199999,1386254.01771000,3346,275842.53000000,728993.58547000,0
1611187200000,2.77000000,2.77500000,2.06000000,2.06500000,384847.17000000,1611273599999,928257.59942000,2845,192858.30000000,467590.42216000,0
1611273600000,2.07100000,2.34000000,1.80900000,2.27000000,471640.59000000,1611359999999,978022.67724000,2297,233268.22000000,488064.71821000,0
1611360000000,2.27200000,2.45000000,2.16700000,2.41000000,298649.30000000,1611446399999,693208.38093000,2190,162559.15000000,377411.26178000,0
1611446400000,2.41000000,2.68400000,2.35700000,2.54100000,1442020.53000000,1611532799999,3640882.78862000,4176,716424.03000000,1816753.16750000,0
1611532800000,2.53800000,3.12300000,2.40500000,2.42100000,713895.19000000,1611619199999,1981685.95848000,4848,415582.95000000,1158166.29493000,0
1611619200000,2.40400000,2.51300000,2.17400000,2.39700000,228403.56000000,1611705599999,537662.15644000,1769,99505.19000000,233882.18425000,0
1611705600000,2.39600000,2.39600000,1.98400000,2.12900000,309758.62000000,1611791999999,673538.30639000,2444,162162.62000000,352627.72701000,0
1611792000000,2.16500000,2.46300000,2.06200000,2.40400000,529577.86000000,1611878399999,1219487.17116000,2486,337224.01000000,776643.88909000,0
1611878400000,2.37900000,5.13100000,2.35100000,2.62200000,7224525.23000000,1611964799999,24786674.19120000,20824,3672282.08000000,12763437.24639000,0
1611964800000,2.61700000,2.66900000,2.10000000,2.41100000,1812236.65000000,1612051199999,4252029.66804000,10126,852924.68000000,2000024.74253000,0
1612051200000,2.40300000,2.92100000,2.17000000,2.29800000,2087077.77000000,1612137599999,5203313.63790000,14212,1112110.35000000,2773518.41472000,0
1612137600000,2.28100000,2.94200000,2.21100000,2.54500000,2406092.32000000,1612223999999,6079818.68086000,14148,1111745.74000000,2832116.86460000,0
1612224000000,2.54400000,2.65000000,2.38700000,2.58000000,953793.39000000,1612310399999,2438354.59298000,6666,505365.25000000,1293427.94136000,0
1612310400000,2.57600000,2.93900000,2.57500000,2.78600000,1912229.06000000,1612396799999,5186066.70268000,7749,702210.79000000,1914737.03246000,0
1612396800000,2.77800000,2.80800000,2.13500000,2.38900000,3923855.70000000,1612483199999,9758206.93862000,12751,2341775.01000000,5892367.84508000,0
1612483200000,2.38400000,3.27300000,2.34400000,3.14500000,2478438.44000000,1612569599999,7215096.75727000,12629,1419552.13000000,4135329.82191000,0
1612569600000,3.12400000,3.19600000,2.37000000,2.74200000,1869402.58000000,1612655999999,5100290.35160000,8825,867261.93000000,2391677.63283000,0
1612656000000,2.74400000,3.32700000,2.42000000,2.81200000,5142312.78000000,1612742399999,14371931.18749000,19946,2646616.42000000,7442485.79524000,0
1612742400000,2.81700000,4.37600000,2.65300000,3.98500000,2368255.63000000,1612828799999,8305692.46503000,21511,1341460.83000000,4705456.14297000,0
1612828800000,3.96000000,7.80000000,3.93500000,5.66200000,4113900.07000000,1612915199999,23729157.18213000,33960,2144957.07000000,12380544.24945000,0
1612915200000,5.65400000,7.04900000,3.72800000,4.94900000,2581446.22000000,1613001599999,13325861.23235000,23857,1248809.73000000,6505507.12124000,0
1613001600000,4.94700000,8.10000000,4.55000000,7.37200000,1855967.47000000,1613087999999,10934358.24276000,16858,1003799.24000000,5860108.97080000,0
1613088000000,7.39700000,7.70000000,5.44000000,6.74100000,1913124.92000000,1613174399999,12695419.48011000,23942,1024848.26000000,6806108.63901000,0
1613174400000,6.72300000,8.60600000,5.33700000,8.18800000,2365225.63000000,1613260799999,16849753.55187000,27746,1249993.20000000,8977753.15629000,0
1613260800000,8.16300000,8.22000000,5.10000000,6.11500000,1540079.38000000,1613347199999,9965475.01430000,21859,768441.42000000,5019305.94628000,0
1613347200000,6.12800000,6.45400000,2.92000000,4.12300000,5666136.04000000,1613433599999,23191888.86596000,30159,2829467.50000000,11532816.67725000,0
1613433600000,4.12300000,4.99900000,3.79300000,4.37900000,1813315.75000000,1613519999999,7998972.06211000,15537,945702.50000000,4165562.82245000,0
1613520000000,4.35700000,4.79100000,3.70000000,4.47000000,955397.96000000,1613606399999,4179040.58516000,10587,496585.26000000,2179214.01761000,0
1613606400000,4.49900000,5.17200000,4.36600000,4.97500000,903264.69000000,1613692799999,4327487.66037000,10689,537609.89000000,2574764.25175000,0
1613692800000,4.98300000,7.20000000,4.74800000,6.07500000,2265666.66000000,1613779199999,13896563.44150000,18583,1229320.98000000,7604143.34863000,0
1613779200000,6.06200000,6.93800000,4.31000000,5.07400000,1838250.31000000,1613865599999,10526822.11414000,18912,1032357.83000000,5905935.48188000,0
1613865600000,5.07400000,6.12800000,4.70400000,5.51900000,694223.43000000,1613951999999,3857505.00889000,11197,381354.72000000,2123529.85413000,0
