otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.02949000,0.03674000,0.02680000,0.03275000,29980393170.70000000,1610323199999,931479620.16499100,1886004,15133807815.20000000,470683804.60677900,0
1610323200000,0.03274000,0.03280000,0.02694000,0.03020000,16958482729.20000000,1610927999999,503561683.77847400,1002147,8705670690.00000000,258439493.03844000,0
1610928000000,0.03020000,0.03248000,0.02636000,0.02999000,11061817756.50000000,1611532799999,330657304.51990100,735150,5534571188.80000000,165616770.46959500,0
1611532800000,0.03000000,0.04439000,0.02754000,0.03154000,28817710556.90000000,1612137599999,963954829.65273400,1720881,14458084450.40000000,484320744.29939300,0
1612137600000,0.03154000,0.03734000,0.03117000,0.03597000,18831801191.70000000,1612742399999,644033032.15586300,1314019,9388329096.00000000,321195646.88778800,0
1612742400000,0.03597000,0.06122000,0.03526000,0.05519000,33368755893.30000000,1613347199999,1645541589.79283100,2756305,16793937385.20000000,827166737.15962200,0
1613347200000,0.05519000,0.06449000,0.04509000,0.05935000,21279937724.10000000,1613951999999,1186877430.70793900,1933304,10619149374.60000000,592624818.80705900,0
1613952000000,0.05935000,0.05960000,0.03800000,0.04562000,16951190900.70000000,1614556799999,809922858.05439100,1486280,8491626948.70000000,405633775.75495900,0
1614556800000,0.04560000,0.05340000,0.04494000,0.05173000,11142513133.30000000,1615161599999,549540423.57639000,1032868,5652423181.90000000,278724772.86569700,0
1615161600000,0.05174000,0.05417000,0.04861000,0.05105000,10620705024.90000000,1615766399999,549976001.68833000,1064781,5402232534.60000000,279833166.49371200,0
1615766400000,0.05106000,0.06850000,0.04820000,0.06337000,19480679694.90000000,1616371199999,1133664025.32844000,2166542,9829284489.50000000,571449590.45659100,0
1616371200000,0.06337000,0.06762000,0.05273000,0.06362000,15304731282.40000000,1616975999999,938482628.04560900,2183476,7667816762.90000000,470121552.74596600,0
