otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,0.99860000,1.00670000,0.99020000,0.99970000,130495015.17000000,1610323199999,130304596.73031200,161584,63811446.32000000,63726083.79797100,0
1610323200000,0.99980000,1.00890000,0.99620000,1.00010000,99495563.63000000,1610927999999,99555570.60479100,128930,54088036.75000000,54122536.93346000,0
1610928000000,1.00010000,1.00500000,0.99810000,0.99900000,80085984.30000000,1611532799999,80070982.02172100,103234,47843562.27000000,47833802.70830900,0
1611532800000,0.99900000,1.00090000,0.46540000,0.99920000,71643250.57000000,1612137599999,71498342.44043000,91208,42389977.24000000,42347529.35825900,0
1612137600000,0.99920000,1.00200000,0.95460000,0.99830000,80159075.51000000,1612742399999,80079392.68260500,115819,40776065.31000000,40739925.04230600,0
1612742400000,0.99820000,1.00380000,0.96780000,0.99890000,135713358.23000000,1613347199999,135554834.91377400,184041,80301561.68000000,80217781.35899100,0
1613347200000,0.99890000,1.02060000,0.97000000,0.99900000,126368327.30000000,1613951999999,126341713.47138400,168859,80867940.32000000,80855453.17972100,0
1613952000000,0.99910000,1.01990000,0.98000000,0.99830000,119872393.78000000,1614556799999,119863818.81030400,125095,63745968.00000000,63742435.08939700,0
1614556800000,0.99840000,1.00160000,0.99010000,0.99970000,84661223.48000000,1615161599999,84619815.92833200,91461,50262613.66000000,50239918.44698000,0
1615161600000,0.99970000,1.00840000,0.99830000,0.99990000,104193863.43000000,1615766399999,104190492.84629900,104588,61018573.68000000,61018941.22660200,0
1615766400000,0.99990000,1.00510000,0.99600000,0.99970000,96372082.10000000,1616371199999,96368912.93927800,119964,53878974.16000000,53878497.54146600,0
1616371200000,0.99970000,1.01990000,0.99700000,1.00020000,68731790.23000000,1616975999999,68729144.68649300,75824,32964334.61000000,32964520.95462900,0
1616976000000,1.00020000,1.01300000,0.99300000,0.99980000,75341342.67000000,1617580799999,75339803.77388600,101765,38416987.03000000,38417747.13607800,0
1617580800000,0.99990000,1.00800000,0.99800000,1.00060000,125945370.32000000,1618185599999,125980209.58182800,163815,64997323.16000000,65016738.85692700,0
1618185600000,1.00070000,1.00360000,0.98300000,0.99800000,188792646.91000000,1618790399999,188665894.87936300,183784,94218174.93000000,94154724.87243900,0
1618790400000,0.99810000,1.00310000,0.99650000,0.99910000,133894003.00000000,1619395199999,133810576.31442900,118814,67798752.78000000,67759162.23791400,0
1619395200000,0.99900000,1.00070000,0.99000000,0.99940000,88126572.35000000,1619999999999,88042578.12047100,78289,44345677.78000000,44304581.50842000,0
1620000000000,0.99940000,1.00150000,0.98800000,0.99900000,205881347.54000000,1620604799999,205704221.76187400,150064,105100915.55000000,105014994.94209200,0
