otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,7.59800000,8.30500000,7.50000000,7.90600000,154285.88900000,1609545599999,1230100.49873400,9236,78518.09200000,626050.64658300,0
1609545600000,7.90600000,8.40000000,7.76000000,8.28100000,96060.91800000,1609631999999,783695.84224700,6161,47956.54400000,391941.47010000,0
1609632000000,8.29600000,8.67100000,7.99300000,8.38000000,104428.04800000,1609718399999,863907.81398600,6615,51905.26800000,430325.44390700,0
1609718400000,8.39600000,10.66900000,8.11200000,8.81100000,385622.01000000,1609804799999,3594647.95807000,21476,194936.37100000,1828225.91271000,0
1609804800000,8.81100000,9.49000000,8.27200000,9.23200000,244980.11100000,1609891199999,2169160.02289600,14937,132047.40100000,1171129.00370000,0
1609891200000,9.25300000,9.98200000,8.68400000,9.65500000,164351.44900000,1609977599999,1518532.94243200,12908,87866.71500000,811665.13635200,0
1609977600000,9.65500000,11.30000000,9.57000000,9.99700000,273749.51600000,1610063999999,2821575.75627200,18878,144962.38900000,1492336.99389500,0
1610064000000,9.98200000,10.15200000,8.90000000,9.64000000,94408.90700000,1610150399999,901746.97927200,9871,41704.41700000,399766.70335200,0
1610150400000,9.64700000,10.39400000,9.24200000,9.74600000,129636.33800000,1610236799999,1260126.55438300,10286,66847.17000000,648960.57101500,0
1610236800000,9.75600000,10.33300000,8.90000000,9.43700000,134249.96600000,1610323199999,1311397.30823900,12540,68911.75700000,676629.70709200,0
1610323200000,9.45100000,9.45100000,7.36300000,8.36500000,185650.15600000,1610409599999,1498862.53976300,14639,91289.28200000,734685.91363800,0
1610409600000,8.36300000,8.87000000,8.05000000,8.17600000,67933.00600000,1610495999999,577298.14037600,5577,28400.29400000,241507.83795300,0
1610496000000,8.17900000,9.00000000,7.87000000,8.95000000,71404.95900000,1610582399999,607728.12617800,5494,40426.48100000,343795.42936000,0
1610582400000,8.95500000,9.72000000,8.62600000,9.25100000,89049.91600000,1610668799999,817918.40753100,7109,43987.78700000,402480.02921900,0
1610668800000,9.25000000,9.60300000,8.56000000,9.32100000,138548.38900000,1610755199999,1277067.45017200,10556,76066.81100000,699693.26699100,0
