otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609718400000,6.75900000,8.85000000,4.77100000,5.96200000,3530066.84000000,1610323199999,23781984.00116000,43399,1773399.73000000,12065921.38613000,0
1610323200000,5.95300000,11.73800000,2.53100000,9.41400000,6077789.77000000,1610927999999,36975284.94057000,65037,3147954.49000000,19038804.72729000,0
1610928000000,9.42700000,13.65000000,4.20000000,12.91600000,5318713.69000000,1611532799999,43483155.45184000,81850,2686246.82000000,22266919.63156000,0
1611532800000,12.95200000,50.00000000,9.57600000,26.65700000,4535664.47000000,1612137599999,82044026.80167000,137496,2373216.86000000,43381655.25056000,0
1612137600000,26.59700000,41.19300000,20.65900000,25.67300000,2006715.15000000,1612742399999,61258858.81169000,120005,1048696.81000000,32080751.50375000,0
1612742400000,25.62900000,42.00000000,23.94900000,26.46400000,1562872.41000000,1613347199999,50921321.07250000,95285,827046.97000000,27078953.76959000,0
1613347200000,26.40100000,55.85700000,14.05600000,42.47500000,3059182.56000000,1613951999999,90995814.86803000,161158,1562263.10000000,46094871.15331000,0
1613952000000,42.47500000,43.44000000,10.43000000,15.25700000,5844238.63000000,1614556799999,119829438.63035000,290785,2904350.36000000,60588490.64871000,0
1614556800000,15.32600000,41.00300000,15.02100000,39.43400000,4426871.06000000,1615161599999,106867888.58915000,288701,2261552.04000000,54847424.32419000,0
1615161600000,39.55200000,41.16900000,26.10100000,29.00000000,1942343.26000000,1615766399999,65625453.62577000,209424,932903.15000000,31579185.78026000,0
1615766400000,29.00000000,38.70600000,23.23700000,32.89400000,919628.36000000,1616371199999,27685182.93234000,78711,460915.43000000,13834862.07157000,0
1616371200000,32.91800000,39.58800000,21.08300000,24.62800000,1057355.51000000,1616975999999,30251146.62151000,83226,529600.81000000,15122026.78000000,0
1616976000000,24.65600000,31.76300000,21.65800000,28.67600000,670886.78000000,1617580799999,17998568.55228000,62842,351613.38000000,9408708.35655000,0
1617580800000,28.72200000,31.21800000,22.15400000,25.63900000,511408.44000000,1618185599999,13614077.01732000,55450,253174.28000000,6736659.77595000,0
1618185600000,25.58300000,40.94500000,15.21800000,24.94800000,1837906.13000000,1618790399999,59686856.09291000,196100,920063.17000000,30341152.62131000,0
1618790400000,24.97700000,38.52000000,18.69900000,28.78000000,2215865.41000000,1619395199999,59730001.91156000,189752,1151846.33000000,31181139.48895000,0
1619395200000,28.86800000,45.64200000,28.34000000,42.82000000,1473048.94000000,1619999999999,55296183.63891000,179706,763163.23000000,28464559.08076000,0
1620000000000,42.96600000,48.00000000,32.50000000,35.55700000,1284608.03000000,1620604799999,52199494.71007000,167160,707006.79000000,28819639.21970000,0
1620604800000,35.74400000,43.01700000,23.76300000,29.00000000,1193184.88000000,1621209599999,39895222.65166000,122106,613186.58000000,20550972.90331000,0
1621209600000,29.00000000,29.14200000,2.94700000,5.63600000,10624693.92000000,1621814399999,74657246.57263000,235987,5282470.61000000,36852830.11562000,0
1621814400000,5.63400000,14.80800000,5.50300000,11.15500000,4104704.49000000,1622419199999,43543429.01571000,136559,2084835.15000000,22051831.78037000,0
1622419200000,11.12200000,14.19900000,9.37700000,10.41600000,2187855.26000000,1623023999999,25498871.01214000,87161,1169751.13000000,13703643.66816000,0
1623024000000,10.41500000,11.73600000,5.53300000,7.75200000,3115980.83000000,1623628799999,23890104.31790000,103346,1584125.48000000,12193147.53929000,0
