otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.01877500,0.02018500,0.01840100,0.01905200,1654197955.00000000,1609545599999,32196622.58476200,89461,840012211.00000000,16352723.12597100,0
1609545600000,0.01905000,0.02120000,0.01847000,0.01999300,2226613989.00000000,1609631999999,43899199.71815500,117421,1142097642.00000000,22528001.72125500,0
1609632000000,0.02001300,0.02698200,0.01974100,0.02622600,6154508309.80000000,1609718399999,145247261.83525920,294930,3148841994.80000000,74247781.74048720,0
1609718400000,0.02625500,0.02718400,0.02119100,0.02459800,4732839020.70000000,1609804799999,113828779.35415840,246590,2374207777.70000000,57071236.89404240,0
1609804800000,0.02462200,0.02900000,0.02317600,0.02796400,4195835333.60000000,1609891199999,109967856.26363300,238159,2150013343.60000000,56387744.01533100,0
1609891200000,0.02796400,0.03226500,0.02714700,0.03081900,4680573055.00000000,1609977599999,139257214.82224200,275881,2395143763.00000000,71330378.97384200,0
1609977600000,0.03081700,0.03190100,0.02712200,0.02867300,3076158137.00000000,1610063999999,91400985.76072100,204235,1551617688.00000000,46147042.72993100,0
1610064000000,0.02866100,0.02891400,0.02450000,0.02729900,3048483070.00000000,1610150399999,82540238.76504800,189442,1541218040.00000000,41753014.10214300,0
1610150400000,0.02728000,0.02995000,0.02626200,0.02881200,2120822542.00000000,1610236799999,59869248.75594600,136672,1104322961.00000000,31157326.80119400,0
1610236800000,0.02881100,0.03090000,0.02429500,0.02707000,3046114570.00000000,1610323199999,85178721.75568800,179293,1522695076.00000000,42585702.59228700,0
1610323200000,0.02707000,0.02717900,0.01940000,0.02434400,4698228539.00000000,1610409599999,106910234.36004400,238225,2372535355.00000000,53954925.56265800,0
1610409600000,0.02439300,0.02572600,0.02170100,0.02299000,2897758177.00000000,1610495999999,68317964.28657800,146861,1493724344.00000000,35229101.21132400,0
1610496000000,0.02299000,0.02650000,0.02192600,0.02607300,1994788135.00000000,1610582399999,48170926.91157100,114726,1040741388.00000000,25156498.53935000,0
1610582400000,0.02607300,0.02700000,0.02444800,0.02574300,1796950314.00000000,1610668799999,46311807.03647400,109624,892484294.00000000,23020435.86793400,0
1610668800000,0.02573300,0.02700000,0.02271500,0.02530600,2456379944.00000000,1610755199999,62018727.48904700,141969,1251999135.00000000,31628918.52743700,0
1610755200000,0.02530000,0.02896000,0.02525900,0.02686300,2648290072.00000000,1610841599999,72404565.28739500,168472,1359936878.00000000,37167716.70642900,0
1610841600000,0.02684200,0.02826000,0.02500100,0.02715200,2011466312.00000000,1610927999999,53600045.27160900,132557,999062189.00000000,26643491.98886900,0
1610928000000,0.02715700,0.03083300,0.02628600,0.03080300,2656144034.00000000,1611014399999,77165997.49499300,165599,1365445475.00000000,39669324.86476300,0
1611014400000,0.03080100,0.03167800,0.02800100,0.02901500,2007620755.00000000,1611100799999,59887831.84735700,133601,1007865068.00000000,30086910.51948600,0
1611100800000,0.02906100,0.03498200,0.02850000,0.03459500,5309724858.00000000,1611187199999,168917675.54098300,317033,2740419685.00000000,87150578.05697000,0
1611187200000,0.03459500,0.03536800,0.02728000,0.02791800,4621772623.00000000,1611273599999,147178261.39072400,274368,2227422765.00000000,71039898.84586700,0
1611273600000,0.02789900,0.03255400,0.02511100,0.03126800,3142297280.00000000,1611359999999,91999146.50417600,196776,1599445664.00000000,46903338.05237600,0
1611360000000,0.03126700,0.03198300,0.02920000,0.03006800,1642149862.00000000,1611446399999,50235464.06272100,107617,835184165.00000000,25563766.07326400,0
1611446400000,0.03006100,0.03189500,0.02951400,0.03060600,1560004669.00000000,1611532799999,47991194.40688700,98752,781242240.00000000,24047419.67858400,0
1611532800000,0.03065600,0.03244500,0.02933400,0.02975800,1776728667.00000000,1611619199999,55243625.13880700,114377,883941593.00000000,27505513.47994500,0
1611619200000,0.02973500,0.03049100,0.02806100,0.02944400,1391082692.00000000,1611705599999,40626140.59424200,80317,701108430.00000000,20480643.81887000,0
1611705600000,0.02941900,0.02946800,0.02560000,0.02636100,1884434657.00000000,1611791999999,51526904.84839400,108178,925015082.00000000,25308388.73200600,0
1611792000000,0.02636300,0.02884100,0.02592000,0.02738900,1547734948.00000000,1611878399999,43108625.64837100,98073,779108887.00000000,21706578.63206000,0
1611878400000,0.02741700,0.02948200,0.02648300,0.02783000,2687609358.00000000,1611964799999,75355198.61935000,179174,1352621241.00000000,37935488.96466400,0
1611964800000,0.02784300,0.02816800,0.02633800,0.02684200,1488409059.00000000,1612051199999,40666159.53539100,102110,743158748.00000000,20306327.89893000,0
1612051200000,0.02684200,0.02719100,0.02460300,0.02539700,1683994422.00000000,1612137599999,43814988.19702900,107735,796829644.00000000,20752227.41579100,0
1612137600000,0.02536700,0.02980000,0.02436800,0.02938200,3155394379.00000000,1612223999999,85546000.73578800,193069,1630602071.00000000,44251838.81863400,0
1612224000000,0.02937800,0.02968300,0.02773000,0.02812700,1743811936.00000000,1612310399999,49845051.45963500,132377,889062472.00000000,25423586.32397700,0
1612310400000,0.02813200,0.03025300,0.02800100,0.02917700,1735656601.00000000,1612396799999,50593720.29617000,117531,884319442.00000000,25780215.42808400,0
1612396800000,0.02917900,0.02946800,0.02695600,0.02771000,1799075344.00000000,1612483199999,50873439.15949800,130740,889873640.00000000,25179091.83994800,0
1612483200000,0.02768400,0.03230000,0.02761500,0.03209600,2308903368.00000000,1612569599999,69863835.48171900,179356,1236506669.00000000,37435230.31921000,0
